OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
65776,Van Ness Ave&O'Farrell St NS-N/SI,V N OFA2,,8102,37.784782,-122.42120800000001,,OFARRELL ST,VAN NESS AVE,,,,0,1720006111000,15526202,146,5,POINT (-122.421208 37.784782),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,11,36,20,20
68159,24th St&Douglass St NE-NS/BZ,24STDOU0,24STDOUG,3468,37.751101999999996,-122.438361,,DOUGLASS ST,24TH ST,NS,NE,BZ,0,1720006111000,15515143,146,8,POINT (-122.438361 37.751102),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,5,22,84,84
66329,Potrero Ave&15th St NE-FS/BZ,POTR15S1,,7298,37.767334,-122.407623,1,15TH ST,POTRERO AVE,,,,0,1720006111000,15523343,146,6,POINT (-122.407623 37.767334),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,3,9,20,33,33
65692,Curtis St&Prague St W-NS/SB,CURTPRA0,CURTPRAG,4336,37.710209,-122.437955,,PRAGUE ST,CURTIS ST,NS,WE,,0,1720006111000,15520119,146,11,POINT (-122.437955 37.710209),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,7,58,58
68482,Pennsylvania AVE&25 ST NS NW,PENN25S0,,7524,37.752624,-122.392758,,I-280 S OFF RAMP,PENNSYLVANIA AVE,,,,0,1720006111000,15525820,146,10,POINT (-122.392758 37.752624),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,26,54,54
66612,Junipero Serra&Sloat Blvd SW-FS/BZ,J.S.SLO0,J.S.SLOA,5141,37.734307,-122.471675,1,SLOAT BLVD,JUNIPERO SERRA BLVD,FS,SW,BZ,1,1720006111000,15517944,146,7,POINT (-122.471675 37.734307),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,62,62
67002,Sacramento St&Buchanan St SW-NS/BZ,SACOBUC1,SACOBUCH,6292,37.790194,-122.430855,1,BUCHANAN ST,SACRAMENTO ST,NS,SW,BZ,1,1720006111000,15521927,146,2,POINT (-122.430855 37.790194),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,30,102,102
65614,Sunnydale Ave&Rutland St E-NS/PS,SUNYRUT0,SUNYRUTL,6576,37.70986,-122.40851,1,RUTLAND ST,SUNNYDALE AVE,NS,EA,,0,1720006111000,15523168,146,10,POINT (-122.40851 37.70986),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,9,40,75,75
65806,Kirkwood Ave&Earl St NE-NS/SB,KIRKEAR1,,8052,37.728665,-122.373086,,EARL ST,KIRKWOOD AVE,,,,0,1720006111000,15526284,146,10,POINT (-122.373086 37.728665),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,78,78
66571,Kiska Rd&Dormitory Rd N-FS,KISKDORM,KRWDDORM,4827,37.72988,-122.37527,,DORMITORY RD,KIRKWOOD AVE,FS,NO,FL,0,1720006111000,15517577,146,10,POINT (-122.37527 37.72988),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,78,78
