Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 19-20,December 2019,WEEKDAY,Grid,"138,330"
FY 19-20,January 2020,SUNDAY,Grid,"80,340"
FY 19-20,January 2020,SATURDAY,Grid,"91,400"
FY 19-20,January 2020,WEEKDAY,Grid,"148,720"
FY 19-20,February 2020,SUNDAY,Grid,"84,260"
FY 19-20,February 2020,SATURDAY,Grid,"102,630"
FY 19-20,February 2020,WEEKDAY,Grid,"159,250"
FY 19-20,March 2020,SUNDAY,Grid,"46,650"
FY 19-20,March 2020,SATURDAY,Grid,"49,420"
FY 19-20,March 2020,WEEKDAY,Grid,"82,800"
FY 19-20,April 2020,SUNDAY,Grid,"9,520"
FY 19-20,April 2020,SATURDAY,Grid,"10,890"
FY 19-20,April 2020,WEEKDAY,Grid,"14,200"
FY 19-20,May 2020,SUNDAY,Grid,"9,290"
FY 19-20,May 2020,SATURDAY,Grid,"10,480"
FY 19-20,May 2020,WEEKDAY,Grid,"13,780"
FY 19-20,June 2020,SUNDAY,Grid,"12,180"
FY 19-20,June 2020,SATURDAY,Grid,"13,720"
FY 19-20,June 2020,WEEKDAY,Grid,"17,930"
FY 20-21,July 2020,SUNDAY,Grid,"13,510"
FY 20-21,July 2020,SATURDAY,Grid,"15,450"
FY 20-21,July 2020,WEEKDAY,Grid,"20,030"
FY 20-21,August 2020,SUNDAY,Grid,"15,170"
FY 20-21,August 2020,SATURDAY,Grid,"18,230"
FY 20-21,August 2020,WEEKDAY,Grid,"22,450"
FY 20-21,September 2020,SUNDAY,Grid,"20,040"
FY 20-21,September 2020,SATURDAY,Grid,"23,350"
FY 20-21,September 2020,WEEKDAY,Grid,"29,090"
FY 20-21,October 2020,SUNDAY,Grid,"21,210"
FY 20-21,October 2020,SATURDAY,Grid,"26,020"
FY 20-21,October 2020,WEEKDAY,Grid,"31,780"
FY 20-21,November 2020,SUNDAY,Grid,"19,580"
FY 20-21,November 2020,SATURDAY,Grid,"24,150"
FY 20-21,November 2020,WEEKDAY,Grid,"30,890"
FY 20-21,December 2020,SUNDAY,Grid,"16,540"
FY 20-21,December 2020,SATURDAY,Grid,"21,680"
FY 20-21,December 2020,WEEKDAY,Grid,"28,740"
FY 20-21,January 2021,SUNDAY,Grid,"18,040"
FY 20-21,January 2021,SATURDAY,Grid,"21,820"
FY 20-21,January 2021,WEEKDAY,Grid,"28,190"
FY 20-21,February 2021,SUNDAY,Grid,"22,590"
FY 20-21,February 2021,SATURDAY,Grid,"26,420"
FY 20-21,February 2021,WEEKDAY,Grid,"33,690"
FY 20-21,March 2021,SUNDAY,Grid,"23,620"
FY 20-21,March 2021,SATURDAY,Grid,"29,310"
FY 20-21,March 2021,WEEKDAY,Grid,"35,950"
FY 20-21,April 2021,SUNDAY,Grid,"25,180"
FY 20-21,April 2021,SATURDAY,Grid,"29,840"
FY 20-21,April 2021,WEEKDAY,Grid,"39,530"
FY 20-21,May 2021,SUNDAY,Grid,"27,870"
FY 20-21,May 2021,SATURDAY,Grid,"31,500"
FY 20-21,May 2021,WEEKDAY,Grid,"42,180"
FY 20-21,June 2021,SUNDAY,Grid,"29,330"
FY 20-21,June 2021,SATURDAY,Grid,"34,100"
FY 20-21,June 2021,WEEKDAY,Grid,"46,070"
FY 21-22,July 2021,SUNDAY,Grid,"31,630"
FY 21-22,July 2021,SATURDAY,Grid,"35,890"
FY 21-22,July 2021,WEEKDAY,Grid,"49,030"
FY 21-22,August 2021,SUNDAY,Grid,"34,300"
FY 21-22,August 2021,SATURDAY,Grid,"39,690"
FY 21-22,August 2021,WEEKDAY,Grid,"54,990"
FY 21-22,September 2021,SUNDAY,Grid,"36,920"
FY 21-22,September 2021,SATURDAY,Grid,"43,950"
FY 21-22,September 2021,WEEKDAY,Grid,"61,820"
FY 21-22,October 2021,SUNDAY,Grid,"33,910"
FY 21-22,October 2021,SATURDAY,Grid,"47,540"
FY 21-22,October 2021,WEEKDAY,Grid,"59,940"
FY 21-22,November 2021,SUNDAY,Grid,"36,700"
FY 21-22,November 2021,SATURDAY,Grid,"46,330"
FY 21-22,November 2021,WEEKDAY,Grid,"62,620"
FY 21-22,December 2021,SUNDAY,Grid,"32,030"
FY 21-22,December 2021,SATURDAY,Grid,"38,530"
FY 21-22,December 2021,WEEKDAY,Grid,"55,460"
FY 21-22,January 2022,SUNDAY,Grid,"34,580"
FY 21-22,January 2022,SATURDAY,Grid,"38,340"
FY 21-22,January 2022,WEEKDAY,Grid,"55,370"
FY 21-22,February 2022,SUNDAY,Grid,"38,730"
FY 21-22,February 2022,SATURDAY,Grid,"46,260"
FY 21-22,February 2022,WEEKDAY,Grid,"59,980"
FY 21-22,March 2022,SUNDAY,Grid,"41,390"
FY 21-22,March 2022,SATURDAY,Grid,"48,110"
FY 21-22,March 2022,WEEKDAY,Grid,"66,110"
FY 21-22,April 2022,SUNDAY,Grid,"43,560"
FY 21-22,April 2022,SATURDAY,Grid,"52,340"
FY 21-22,April 2022,WEEKDAY,Grid,"70,530"
FY 21-22,May 2022,SUNDAY,Grid,"44,770"
FY 21-22,May 2022,SATURDAY,Grid,"52,950"
FY 21-22,May 2022,WEEKDAY,Grid,"72,400"
FY 21-22,June 2022,SUNDAY,Grid,"45,990"
FY 21-22,June 2022,SATURDAY,Grid,"53,930"
FY 21-22,June 2022,WEEKDAY,Grid,"67,380"
FY 22-23,July 2022,SUNDAY,Grid,"49,700"
FY 22-23,July 2022,SATURDAY,Grid,"57,530"
FY 22-23,July 2022,WEEKDAY,Grid,"72,650"
FY 22-23,August 2022,SUNDAY,Grid,"59,270"
FY 22-23,August 2022,SATURDAY,Grid,"67,250"
FY 22-23,August 2022,WEEKDAY,Grid,"84,090"
FY 22-23,September 2022,SUNDAY,Grid,"57,950"
FY 22-23,September 2022,SATURDAY,Grid,"71,220"
FY 22-23,September 2022,WEEKDAY,Grid,"95,440"
FY 22-23,October 2022,SUNDAY,Grid,"59,770"
FY 22-23,October 2022,SATURDAY,Grid,"70,290"
FY 22-23,October 2022,WEEKDAY,Grid,"93,930"
FY 22-23,November 2022,SUNDAY,Grid,"52,720"
FY 22-23,November 2022,SATURDAY,Grid,"64,130"
FY 22-23,November 2022,WEEKDAY,Grid,"87,820"
FY 22-23,December 2022,SUNDAY,Grid,"49,080"
FY 22-23,December 2022,SATURDAY,Grid,"51,220"
FY 22-23,December 2022,WEEKDAY,Grid,"79,590"
FY 22-23,January 2023,SUNDAY,Grid,"51,800"
FY 22-23,January 2023,SATURDAY,Grid,"56,900"
FY 22-23,January 2023,WEEKDAY,Grid,"85,530"
FY 22-23,February 2023,SUNDAY,Grid,"55,220"
FY 22-23,February 2023,SATURDAY,Grid,"66,100"
FY 22-23,February 2023,WEEKDAY,Grid,"93,050"
FY 22-23,March 2023,SUNDAY,Grid,"54,730"
FY 22-23,March 2023,SATURDAY,Grid,"66,650"
FY 22-23,March 2023,WEEKDAY,Grid,"90,340"
FY 22-23,April 2023,SUNDAY,Grid,"62,570"
FY 22-23,April 2023,SATURDAY,Grid,"74,110"
FY 22-23,April 2023,WEEKDAY,Grid,"98,790"
FY 22-23,May 2023,SUNDAY,Grid,"60,240"
FY 22-23,May 2023,SATURDAY,Grid,"69,610"
FY 22-23,May 2023,WEEKDAY,Grid,"97,950"
FY 22-23,June 2023,SUNDAY,Grid,"58,890"
FY 22-23,June 2023,SATURDAY,Grid,"70,800"
FY 22-23,June 2023,WEEKDAY,Grid,"91,190"
FY 23-24,July 2023,SUNDAY,Grid,"64,280"
FY 23-24,July 2023,SATURDAY,Grid,"74,650"
FY 23-24,July 2023,WEEKDAY,Grid,"90,110"
FY 23-24,August 2023,SUNDAY,Grid,"71,620"
FY 23-24,August 2023,SATURDAY,Grid,"78,600"
FY 23-24,August 2023,WEEKDAY,Grid,"100,740"
FY 23-24,September 2023,SUNDAY,Grid,"69,540"
FY 23-24,September 2023,SATURDAY,Grid,"78,270"
FY 23-24,September 2023,WEEKDAY,Grid,"110,500"
FY 23-24,October 2023,SUNDAY,Grid,"69,770"
FY 23-24,October 2023,SATURDAY,Grid,"79,700"
FY 23-24,October 2023,WEEKDAY,Grid,"109,430"
FY 23-24,November 2023,SUNDAY,Grid,"58,580"
FY 23-24,November 2023,SATURDAY,Grid,"74,830"
FY 23-24,November 2023,WEEKDAY,Grid,"100,410"
FY 23-24,December 2023,SUNDAY,Grid,"59,200"
FY 23-24,December 2023,SATURDAY,Grid,"66,140"
FY 23-24,December 2023,WEEKDAY,Grid,"94,270"
FY 23-24,January 2024,SUNDAY,Grid,"60,880"
FY 23-24,January 2024,SATURDAY,Grid,"65,950"
FY 23-24,January 2024,WEEKDAY,Grid,"98,720"
FY 23-24,February 2024,SUNDAY,Grid,"60,780"
FY 23-24,February 2024,SATURDAY,Grid,"74,170"
FY 23-24,February 2024,WEEKDAY,Grid,"106,390"
FY 23-24,March 2024,SUNDAY,Grid,"66,070"
FY 23-24,March 2024,SATURDAY,Grid,"76,260"
FY 23-24,March 2024,WEEKDAY,Grid,"108,510"
FY 23-24,April 2024,SUNDAY,Grid,"69,740"
FY 23-24,April 2024,SATURDAY,Grid,"78,900"
FY 23-24,April 2024,WEEKDAY,Grid,"105,770"
FY 23-24,May 2024,SUNDAY,Grid,"69,150"
FY 23-24,May 2024,SATURDAY,Grid,"73,190"
FY 23-24,May 2024,WEEKDAY,Grid,"111,730"
FY 23-24,June 2024,SUNDAY,Grid,"70,690"
FY 23-24,June 2024,SATURDAY,Grid,"77,930"
FY 23-24,June 2024,WEEKDAY,Grid,"100,890"
FY 15-16,January 2016,SUNDAY,Historic,"15,840"
FY 15-16,January 2016,SATURDAY,Historic,"16,590"
FY 15-16,January 2016,WEEKDAY,Historic,"14,850"
FY 15-16,February 2016,SUNDAY,Historic,"18,760"
FY 15-16,February 2016,SATURDAY,Historic,"19,650"
FY 15-16,February 2016,WEEKDAY,Historic,"17,590"
FY 15-16,March 2016,SUNDAY,Historic,"22,060"
FY 15-16,March 2016,SATURDAY,Historic,"23,110"
FY 15-16,March 2016,WEEKDAY,Historic,"20,690"
FY 15-16,April 2016,SUNDAY,Historic,"21,610"
FY 15-16,April 2016,SATURDAY,Historic,"22,630"
FY 15-16,April 2016,WEEKDAY,Historic,"20,260"
FY 15-16,May 2016,SUNDAY,Historic,"23,450"
FY 15-16,May 2016,SATURDAY,Historic,"24,570"
FY 15-16,May 2016,WEEKDAY,Historic,"21,990"
FY 15-16,June 2016,SUNDAY,Historic,"23,480"
FY 15-16,June 2016,SATURDAY,Historic,"24,600"
FY 15-16,June 2016,WEEKDAY,Historic,"22,020"
FY 16-17,July 2016,SUNDAY,Historic,"23,540"
FY 16-17,July 2016,SATURDAY,Historic,"22,550"
FY 16-17,July 2016,WEEKDAY,Historic,"26,720"
FY 16-17,August 2016,SUNDAY,Historic,"21,790"
FY 16-17,August 2016,SATURDAY,Historic,"20,880"
FY 16-17,August 2016,WEEKDAY,Historic,"24,730"
FY 16-17,September 2016,SUNDAY,Historic,"18,790"
FY 16-17,September 2016,SATURDAY,Historic,"18,000"
FY 16-17,September 2016,WEEKDAY,Historic,"21,320"
FY 16-17,October 2016,SUNDAY,Historic,"17,400"
FY 16-17,October 2016,SATURDAY,Historic,"16,670"
FY 16-17,October 2016,WEEKDAY,Historic,"19,760"
FY 16-17,November 2016,SUNDAY,Historic,"15,800"
FY 16-17,November 2016,SATURDAY,Historic,"15,150"
FY 16-17,November 2016,WEEKDAY,Historic,"17,940"
FY 16-17,December 2016,SUNDAY,Historic,"16,240"
FY 16-17,December 2016,SATURDAY,Historic,"15,560"
FY 16-17,December 2016,WEEKDAY,Historic,"18,430"
FY 16-17,January 2017,SUNDAY,Historic,"14,100"
FY 16-17,January 2017,SATURDAY,Historic,"13,510"
FY 16-17,January 2017,WEEKDAY,Historic,"16,000"
FY 16-17,February 2017,SUNDAY,Historic,"16,700"
FY 16-17,February 2017,SATURDAY,Historic,"16,010"
FY 16-17,February 2017,WEEKDAY,Historic,"18,960"
FY 16-17,March 2017,SUNDAY,Historic,"19,650"
FY 16-17,March 2017,SATURDAY,Historic,"18,820"
FY 16-17,March 2017,WEEKDAY,Historic,"22,300"
FY 16-17,April 2017,SUNDAY,Historic,"19,240"
FY 16-17,April 2017,SATURDAY,Historic,"18,430"
FY 16-17,April 2017,WEEKDAY,Historic,"21,840"
FY 16-17,May 2017,SUNDAY,Historic,"20,880"
FY 16-17,May 2017,SATURDAY,Historic,"20,000"
FY 16-17,May 2017,WEEKDAY,Historic,"23,710"
FY 16-17,June 2017,SUNDAY,Historic,"20,910"
FY 16-17,June 2017,SATURDAY,Historic,"20,040"
FY 16-17,June 2017,WEEKDAY,Historic,"23,730"
FY 17-18,July 2017,SUNDAY,Historic,"23,610"
FY 17-18,July 2017,SATURDAY,Historic,"22,120"
FY 17-18,July 2017,WEEKDAY,Historic,"26,830"
FY 17-18,August 2017,SUNDAY,Historic,"21,850"
FY 17-18,August 2017,SATURDAY,Historic,"20,480"
FY 17-18,August 2017,WEEKDAY,Historic,"24,840"
FY 17-18,September 2017,SUNDAY,Historic,"18,830"
FY 17-18,September 2017,SATURDAY,Historic,"17,650"
FY 17-18,September 2017,WEEKDAY,Historic,"21,420"
FY 17-18,October 2017,SUNDAY,Historic,"17,460"
FY 17-18,October 2017,SATURDAY,Historic,"16,350"
FY 17-18,October 2017,WEEKDAY,Historic,"19,840"
FY 17-18,November 2017,SUNDAY,Historic,"15,850"
FY 17-18,November 2017,SATURDAY,Historic,"14,860"
FY 17-18,November 2017,WEEKDAY,Historic,"18,020"
FY 17-18,December 2017,SUNDAY,Historic,"16,290"
FY 17-18,December 2017,SATURDAY,Historic,"15,260"
FY 17-18,December 2017,WEEKDAY,Historic,"18,510"
FY 17-18,January 2018,SUNDAY,Historic,"14,140"
FY 17-18,January 2018,SATURDAY,Historic,"13,250"
FY 17-18,January 2018,WEEKDAY,Historic,"16,080"
FY 17-18,February 2018,SUNDAY,Historic,"16,750"
FY 17-18,February 2018,SATURDAY,Historic,"15,700"
FY 17-18,February 2018,WEEKDAY,Historic,"19,040"
FY 17-18,March 2018,SUNDAY,Historic,"19,700"
FY 17-18,March 2018,SATURDAY,Historic,"18,470"
FY 17-18,March 2018,WEEKDAY,Historic,"22,400"
FY 17-18,April 2018,SUNDAY,Historic,"19,300"
FY 17-18,April 2018,SATURDAY,Historic,"18,080"
FY 17-18,April 2018,WEEKDAY,Historic,"21,930"
FY 17-18,May 2018,SUNDAY,Historic,"20,950"
FY 17-18,May 2018,SATURDAY,Historic,"19,630"
FY 17-18,May 2018,WEEKDAY,Historic,"23,800"
FY 17-18,June 2018,SUNDAY,Historic,"20,970"
FY 17-18,June 2018,SATURDAY,Historic,"19,650"
FY 17-18,June 2018,WEEKDAY,Historic,"23,830"
FY 18-19,July 2018,SUNDAY,Historic,"21,670"
FY 18-19,July 2018,SATURDAY,Historic,"20,520"
FY 18-19,July 2018,WEEKDAY,Historic,"27,180"
FY 18-19,August 2018,SUNDAY,Historic,"20,060"
FY 18-19,August 2018,SATURDAY,Historic,"18,990"
FY 18-19,August 2018,WEEKDAY,Historic,"25,160"
FY 18-19,September 2018,SUNDAY,Historic,"17,300"
FY 18-19,September 2018,SATURDAY,Historic,"16,370"
FY 18-19,September 2018,WEEKDAY,Historic,"21,690"
FY 18-19,October 2018,SUNDAY,Historic,"16,020"
FY 18-19,October 2018,SATURDAY,Historic,"15,170"
FY 18-19,October 2018,WEEKDAY,Historic,"20,100"
FY 18-19,November 2018,SUNDAY,Historic,"14,550"
FY 18-19,November 2018,SATURDAY,Historic,"13,780"
FY 18-19,November 2018,WEEKDAY,Historic,"18,260"
FY 18-19,December 2018,SUNDAY,Historic,"14,950"
FY 18-19,December 2018,SATURDAY,Historic,"14,160"
FY 18-19,December 2018,WEEKDAY,Historic,"18,750"
FY 18-19,January 2019,SUNDAY,Historic,"12,990"
FY 18-19,January 2019,SATURDAY,Historic,"12,290"
FY 18-19,January 2019,WEEKDAY,Historic,"16,280"
FY 18-19,February 2019,SUNDAY,Historic,"15,370"
FY 18-19,February 2019,SATURDAY,Historic,"14,560"
FY 18-19,February 2019,WEEKDAY,Historic,"19,290"
FY 18-19,March 2019,SUNDAY,Historic,"18,080"
FY 18-19,March 2019,SATURDAY,Historic,"17,130"
FY 18-19,March 2019,WEEKDAY,Historic,"22,690"
FY 18-19,April 2019,SUNDAY,Historic,"17,720"
FY 18-19,April 2019,SATURDAY,Historic,"16,770"
FY 18-19,April 2019,WEEKDAY,Historic,"22,210"
FY 18-19,May 2019,SUNDAY,Historic,"19,230"
FY 18-19,May 2019,SATURDAY,Historic,"18,200"
FY 18-19,May 2019,WEEKDAY,Historic,"24,110"
FY 18-19,June 2019,SUNDAY,Historic,"19,250"
FY 18-19,June 2019,SATURDAY,Historic,"18,220"
FY 18-19,June 2019,WEEKDAY,Historic,"24,140"
FY 19-20,July 2019,SUNDAY,Historic,"20,400"
FY 19-20,July 2019,SATURDAY,Historic,"22,740"
FY 19-20,July 2019,WEEKDAY,Historic,"20,520"
FY 19-20,August 2019,SUNDAY,Historic,"18,880"
FY 19-20,August 2019,SATURDAY,Historic,"21,040"
FY 19-20,August 2019,WEEKDAY,Historic,"18,990"
FY 19-20,September 2019,SUNDAY,Historic,"16,280"
FY 19-20,September 2019,SATURDAY,Historic,"18,140"
FY 19-20,September 2019,WEEKDAY,Historic,"16,360"
FY 19-20,October 2019,SUNDAY,Historic,"15,080"
FY 19-20,October 2019,SATURDAY,Historic,"16,810"
FY 19-20,October 2019,WEEKDAY,Historic,"15,170"
FY 19-20,November 2019,SUNDAY,Historic,"13,690"
FY 19-20,November 2019,SATURDAY,Historic,"15,270"
FY 19-20,November 2019,WEEKDAY,Historic,"13,780"
FY 19-20,December 2019,SUNDAY,Historic,"14,080"
FY 19-20,December 2019,SATURDAY,Historic,"15,680"
FY 19-20,December 2019,WEEKDAY,Historic,"14,150"
FY 19-20,January 2020,SUNDAY,Historic,"12,220"
FY 19-20,January 2020,SATURDAY,Historic,"13,620"
FY 19-20,January 2020,WEEKDAY,Historic,"12,290"
FY 19-20,February 2020,SUNDAY,Historic,"14,470"
FY 19-20,February 2020,SATURDAY,Historic,"16,130"
FY 19-20,February 2020,WEEKDAY,Historic,"14,560"
FY 19-20,March 2020,SUNDAY,Historic,"17,030"
FY 19-20,March 2020,SATURDAY,Historic,"18,970"
FY 19-20,March 2020,WEEKDAY,Historic,"17,120"
FY 15-16,January 2016,SUNDAY,Muni Metro,"78,400"
FY 15-16,January 2016,SATURDAY,Muni Metro,"81,640"
FY 15-16,January 2016,WEEKDAY,Muni Metro,"162,880"
FY 15-16,February 2016,SUNDAY,Muni Metro,"83,070"
FY 15-16,February 2016,SATURDAY,Muni Metro,"86,520"
FY 15-16,February 2016,WEEKDAY,Muni Metro,"172,610"
FY 15-16,March 2016,SUNDAY,Muni Metro,"83,550"
FY 15-16,March 2016,SATURDAY,Muni Metro,"87,040"
FY 15-16,March 2016,WEEKDAY,Muni Metro,"173,630"
FY 15-16,April 2016,SUNDAY,Muni Metro,"84,120"
FY 15-16,April 2016,SATURDAY,Muni Metro,"87,620"
FY 15-16,April 2016,WEEKDAY,Muni Metro,"174,800"
FY 15-16,May 2016,SUNDAY,Muni Metro,"82,280"
FY 15-16,May 2016,SATURDAY,Muni Metro,"85,680"
FY 15-16,May 2016,WEEKDAY,Muni Metro,"170,950"
FY 15-16,June 2016,SUNDAY,Muni Metro,"85,270"
FY 15-16,June 2016,SATURDAY,Muni Metro,"88,810"
FY 15-16,June 2016,WEEKDAY,Muni Metro,"177,180"
FY 16-17,July 2016,SUNDAY,Muni Metro,"60,970"
FY 16-17,July 2016,SATURDAY,Muni Metro,"86,800"
FY 16-17,July 2016,WEEKDAY,Muni Metro,"174,800"
FY 16-17,August 2016,SUNDAY,Muni Metro,"60,600"
FY 16-17,August 2016,SATURDAY,Muni Metro,"86,300"
FY 16-17,August 2016,WEEKDAY,Muni Metro,"173,780"
FY 16-17,September 2016,SUNDAY,Muni Metro,"59,910"
FY 16-17,September 2016,SATURDAY,Muni Metro,"85,330"
FY 16-17,September 2016,WEEKDAY,Muni Metro,"171,820"
FY 16-17,October 2016,SUNDAY,Muni Metro,"61,370"
FY 16-17,October 2016,SATURDAY,Muni Metro,"87,400"
FY 16-17,October 2016,WEEKDAY,Muni Metro,"175,980"
FY 16-17,November 2016,SUNDAY,Muni Metro,"57,250"
FY 16-17,November 2016,SATURDAY,Muni Metro,"81,530"
FY 16-17,November 2016,WEEKDAY,Muni Metro,"164,210"
FY 16-17,December 2016,SUNDAY,Muni Metro,"54,880"
FY 16-17,December 2016,SATURDAY,Muni Metro,"78,140"
FY 16-17,December 2016,WEEKDAY,Muni Metro,"157,360"
FY 16-17,January 2017,SUNDAY,Muni Metro,"56,250"
FY 16-17,January 2017,SATURDAY,Muni Metro,"80,100"
FY 16-17,January 2017,WEEKDAY,Muni Metro,"161,290"
FY 16-17,February 2017,SUNDAY,Muni Metro,"59,600"
FY 16-17,February 2017,SATURDAY,Muni Metro,"84,890"
FY 16-17,February 2017,WEEKDAY,Muni Metro,"170,940"
FY 16-17,March 2017,SUNDAY,Muni Metro,"59,950"
FY 16-17,March 2017,SATURDAY,Muni Metro,"85,370"
FY 16-17,March 2017,WEEKDAY,Muni Metro,"171,950"
FY 16-17,April 2017,SUNDAY,Muni Metro,"60,370"
FY 16-17,April 2017,SATURDAY,Muni Metro,"85,950"
FY 16-17,April 2017,WEEKDAY,Muni Metro,"173,090"
FY 16-17,May 2017,SUNDAY,Muni Metro,"59,040"
FY 16-17,May 2017,SATURDAY,Muni Metro,"84,070"
FY 16-17,May 2017,WEEKDAY,Muni Metro,"169,280"
FY 16-17,June 2017,SUNDAY,Muni Metro,"61,190"
FY 16-17,June 2017,SATURDAY,Muni Metro,"87,140"
FY 16-17,June 2017,WEEKDAY,Muni Metro,"175,460"
FY 17-18,July 2017,SUNDAY,Muni Metro,"63,710"
FY 17-18,July 2017,SATURDAY,Muni Metro,"92,640"
FY 17-18,July 2017,WEEKDAY,Muni Metro,"168,510"
FY 17-18,August 2017,SUNDAY,Muni Metro,"63,340"
FY 17-18,August 2017,SATURDAY,Muni Metro,"92,110"
FY 17-18,August 2017,WEEKDAY,Muni Metro,"167,520"
FY 17-18,September 2017,SUNDAY,Muni Metro,"62,630"
FY 17-18,September 2017,SATURDAY,Muni Metro,"91,070"
FY 17-18,September 2017,WEEKDAY,Muni Metro,"165,640"
FY 17-18,October 2017,SUNDAY,Muni Metro,"64,150"
FY 17-18,October 2017,SATURDAY,Muni Metro,"93,270"
FY 17-18,October 2017,WEEKDAY,Muni Metro,"169,650"
FY 17-18,November 2017,SUNDAY,Muni Metro,"59,850"
FY 17-18,November 2017,SATURDAY,Muni Metro,"87,030"
FY 17-18,November 2017,WEEKDAY,Muni Metro,"158,290"
FY 17-18,December 2017,SUNDAY,Muni Metro,"57,340"
FY 17-18,December 2017,SATURDAY,Muni Metro,"83,400"
FY 17-18,December 2017,WEEKDAY,Muni Metro,"151,710"
FY 17-18,January 2018,SUNDAY,Muni Metro,"58,790"
FY 17-18,January 2018,SATURDAY,Muni Metro,"85,480"
FY 17-18,January 2018,WEEKDAY,Muni Metro,"155,490"
FY 17-18,February 2018,SUNDAY,Muni Metro,"62,300"
FY 17-18,February 2018,SATURDAY,Muni Metro,"90,600"
FY 17-18,February 2018,WEEKDAY,Muni Metro,"164,790"
FY 17-18,March 2018,SUNDAY,Muni Metro,"62,670"
FY 17-18,March 2018,SATURDAY,Muni Metro,"91,130"
FY 17-18,March 2018,WEEKDAY,Muni Metro,"165,740"
FY 17-18,April 2018,SUNDAY,Muni Metro,"63,100"
FY 17-18,April 2018,SATURDAY,Muni Metro,"91,740"
FY 17-18,April 2018,WEEKDAY,Muni Metro,"166,870"
FY 17-18,May 2018,SUNDAY,Muni Metro,"61,700"
FY 17-18,May 2018,SATURDAY,Muni Metro,"89,720"
FY 17-18,May 2018,WEEKDAY,Muni Metro,"163,200"
FY 17-18,June 2018,SUNDAY,Muni Metro,"63,960"
FY 17-18,June 2018,SATURDAY,Muni Metro,"92,990"
FY 17-18,June 2018,WEEKDAY,Muni Metro,"169,150"
FY 18-19,July 2018,SUNDAY,Muni Metro,"62,840"
FY 18-19,July 2018,SATURDAY,Muni Metro,"96,940"
FY 18-19,July 2018,WEEKDAY,Muni Metro,"166,130"
FY 18-19,August 2018,SUNDAY,Muni Metro,"62,460"
FY 18-19,August 2018,SATURDAY,Muni Metro,"96,360"
FY 18-19,August 2018,WEEKDAY,Muni Metro,"165,160"
FY 18-19,September 2018,SUNDAY,Muni Metro,"61,770"
FY 18-19,September 2018,SATURDAY,Muni Metro,"95,270"
FY 18-19,September 2018,WEEKDAY,Muni Metro,"163,290"
FY 18-19,October 2018,SUNDAY,Muni Metro,"63,260"
FY 18-19,October 2018,SATURDAY,Muni Metro,"97,590"
FY 18-19,October 2018,WEEKDAY,Muni Metro,"167,270"
FY 18-19,November 2018,SUNDAY,Muni Metro,"59,020"
FY 18-19,November 2018,SATURDAY,Muni Metro,"91,060"
FY 18-19,November 2018,WEEKDAY,Muni Metro,"156,060"
FY 18-19,December 2018,SUNDAY,Muni Metro,"56,580"
FY 18-19,December 2018,SATURDAY,Muni Metro,"87,280"
FY 18-19,December 2018,WEEKDAY,Muni Metro,"149,560"
FY 18-19,January 2019,SUNDAY,Muni Metro,"57,980"
FY 18-19,January 2019,SATURDAY,Muni Metro,"89,430"
FY 18-19,January 2019,WEEKDAY,Muni Metro,"153,300"
FY 18-19,February 2019,SUNDAY,Muni Metro,"61,450"
FY 18-19,February 2019,SATURDAY,Muni Metro,"94,790"
FY 18-19,February 2019,WEEKDAY,Muni Metro,"162,460"
FY 18-19,March 2019,SUNDAY,Muni Metro,"61,800"
FY 18-19,March 2019,SATURDAY,Muni Metro,"95,340"
FY 18-19,March 2019,WEEKDAY,Muni Metro,"163,390"
FY 18-19,April 2019,SUNDAY,Muni Metro,"62,220"
FY 18-19,April 2019,SATURDAY,Muni Metro,"95,990"
FY 18-19,April 2019,WEEKDAY,Muni Metro,"164,510"
FY 18-19,May 2019,SUNDAY,Muni Metro,"60,860"
FY 18-19,May 2019,SATURDAY,Muni Metro,"93,890"
FY 18-19,May 2019,WEEKDAY,Muni Metro,"160,890"
FY 18-19,June 2019,SUNDAY,Muni Metro,"63,080"
FY 18-19,June 2019,SATURDAY,Muni Metro,"97,310"
FY 18-19,June 2019,WEEKDAY,Muni Metro,"166,760"
FY 19-20,July 2019,SUNDAY,Muni Metro,"73,920"
FY 19-20,July 2019,SATURDAY,Muni Metro,"87,630"
FY 19-20,July 2019,WEEKDAY,Muni Metro,"166,530"
FY 19-20,August 2019,SUNDAY,Muni Metro,"73,490"
FY 19-20,August 2019,SATURDAY,Muni Metro,"87,110"
FY 19-20,August 2019,WEEKDAY,Muni Metro,"165,570"
FY 19-20,September 2019,SUNDAY,Muni Metro,"72,660"
FY 19-20,September 2019,SATURDAY,Muni Metro,"86,150"
FY 19-20,September 2019,WEEKDAY,Muni Metro,"163,700"
FY 19-20,October 2019,SUNDAY,Muni Metro,"74,420"
FY 19-20,October 2019,SATURDAY,Muni Metro,"88,230"
FY 19-20,October 2019,WEEKDAY,Muni Metro,"167,660"
FY 19-20,November 2019,SUNDAY,Muni Metro,"69,430"
FY 19-20,November 2019,SATURDAY,Muni Metro,"82,320"
FY 19-20,November 2019,WEEKDAY,Muni Metro,"156,420"
FY 19-20,December 2019,SUNDAY,Muni Metro,"66,540"
FY 19-20,December 2019,SATURDAY,Muni Metro,"78,890"
FY 19-20,December 2019,WEEKDAY,Muni Metro,"149,930"
FY 19-20,January 2020,SUNDAY,Muni Metro,"68,210"
