Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 16-17,January 2017,SUNDAY,Connector,"7,830"
FY 16-17,January 2017,SATURDAY,Connector,"9,650"
FY 16-17,January 2017,WEEKDAY,Connector,"15,280"
FY 16-17,February 2017,SUNDAY,Connector,"8,720"
FY 16-17,February 2017,SATURDAY,Connector,"10,440"
FY 16-17,February 2017,WEEKDAY,Connector,"16,230"
FY 16-17,March 2017,SUNDAY,Connector,"7,880"
FY 16-17,March 2017,SATURDAY,Connector,"9,450"
FY 16-17,March 2017,WEEKDAY,Connector,"16,430"
FY 16-17,April 2017,SUNDAY,Connector,"9,150"
FY 16-17,April 2017,SATURDAY,Connector,"10,670"
FY 16-17,April 2017,WEEKDAY,Connector,"17,190"
FY 16-17,May 2017,SUNDAY,Connector,"8,780"
FY 16-17,May 2017,SATURDAY,Connector,"10,530"
FY 16-17,May 2017,WEEKDAY,Connector,"16,690"
FY 16-17,June 2017,SUNDAY,Connector,"9,390"
FY 16-17,June 2017,SATURDAY,Connector,"9,730"
FY 16-17,June 2017,WEEKDAY,Connector,"15,790"
FY 17-18,July 2017,SUNDAY,Connector,"8,160"
FY 17-18,July 2017,SATURDAY,Connector,"9,540"
FY 17-18,July 2017,WEEKDAY,Connector,"15,260"
FY 17-18,August 2017,SUNDAY,Connector,"8,180"
FY 17-18,August 2017,SATURDAY,Connector,"9,340"
FY 17-18,August 2017,WEEKDAY,Connector,"16,350"
FY 17-18,September 2017,SUNDAY,Connector,"9,280"
FY 17-18,September 2017,SATURDAY,Connector,"10,670"
FY 17-18,September 2017,WEEKDAY,Connector,"17,820"
FY 17-18,October 2017,SUNDAY,Connector,"8,890"
FY 17-18,October 2017,SATURDAY,Connector,"10,450"
FY 17-18,October 2017,WEEKDAY,Connector,"18,220"
FY 17-18,November 2017,SUNDAY,Connector,"7,120"
FY 17-18,November 2017,SATURDAY,Connector,"9,750"
FY 17-18,November 2017,WEEKDAY,Connector,"15,750"
FY 17-18,December 2017,SUNDAY,Connector,"5,750"
FY 17-18,December 2017,SATURDAY,Connector,"9,320"
FY 17-18,December 2017,WEEKDAY,Connector,"15,130"
FY 17-18,January 2018,SUNDAY,Connector,"7,490"
FY 17-18,January 2018,SATURDAY,Connector,"9,670"
FY 17-18,January 2018,WEEKDAY,Connector,"14,660"
FY 17-18,February 2018,SUNDAY,Connector,"7,610"
FY 17-18,February 2018,SATURDAY,Connector,"10,450"
FY 17-18,February 2018,WEEKDAY,Connector,"16,420"
FY 17-18,March 2018,SUNDAY,Connector,"8,740"
FY 17-18,March 2018,SATURDAY,Connector,"9,710"
FY 17-18,March 2018,WEEKDAY,Connector,"16,340"
FY 17-18,April 2018,SUNDAY,Connector,"9,360"
FY 17-18,April 2018,SATURDAY,Connector,"10,470"
FY 17-18,April 2018,WEEKDAY,Connector,"16,860"
FY 17-18,May 2018,SUNDAY,Connector,"9,350"
FY 17-18,May 2018,SATURDAY,Connector,"9,820"
FY 17-18,May 2018,WEEKDAY,Connector,"17,210"
FY 17-18,June 2018,SUNDAY,Connector,"9,510"
