Exit stations,Entry stations->,,WEEKDAY,,,Jan 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
OR,4.095238,3.333333,1.428571,3.52381,11.285714,0.47619,10,11.904762,17.714286,1.47619,8.571429,1.380952,1.47619,1.380952,2.52381,0.238095,0.190476,2.047619,12.095238,8.52381,14.285714,5.952381,2.52381,18.809524,1.571429,71.142857,65.952381,34.333333,27.142857,11.952381,6.238095,4.47619,3,2.428571,1.095238,1.095238,0.380952,1.095238,2.714286,0.952381,1.619048,15.047619,1.333333,0.047619,3.380952,0.333333,0.714286,1.047619,3.095238,3.619048,411.047619,,,,,,,,,,,,,
RR,8.52381,13.333333,14.285714,4.952381,8.190476,2.809524,25.571429,40.619048,37.666667,3.714286,21.142857,7.857143,9.333333,5.47619,6.095238,0.761905,3.809524,3.190476,25.047619,27.285714,30.238095,14.619048,20.857143,7.571429,10.333333,120.333333,97.809524,99.809524,87.238095,45.238095,26.47619,12.52381,25.761905,5.714286,2.142857,1.47619,2.761905,4.761905,12.380952,4.761905,3.428571,37.380952,1.428571,0.47619,4.428571,1.571429,1.714286,1.380952,8.285714,19.380952,981.952381,,,,,,,,,,,,,
OW,12.809524,15.47619,3.619048,3.714286,24.571429,9.333333,22.238095,17.380952,34.809524,10.142857,49.619048,33.619048,22.904762,14.952381,17.857143,7.571429,8.904762,3.190476,7.238095,4.52381,5.857143,1.238095,0.857143,10.714286,8.714286,342,233.952381,293.761905,211.047619,101.428571,71.52381,21.428571,26.666667,13.904762,6.047619,3.142857,9.47619,1.428571,5.333333,8.380952,9.761905,32,7.47619,3.666667,4.047619,3.47619,1.571429,2.904762,4.047619,11.571429,1781.904762,,,,,,,,,,,,,
EM,134,258.809524,115.428571,92.761905,165.142857,104.142857,202.809524,229.380952,230.619048,192.571429,242.238095,145.857143,189.238095,167.47619,103.857143,84.857143,73.952381,66.285714,153.52381,187.238095,157.380952,89.666667,84.904762,134.095238,375.380952,43.428571,12.809524,57.142857,68.285714,184.047619,283.333333,174.619048,275.619048,220.761905,86.857143,72.52381,181.047619,43.571429,127.238095,64.285714,49.333333,79.619048,56.714286,76,24.714286,21.047619,24.333333,38.809524,37.380952,144.142857,6429.285714,,,,,,,,,,,,,
MT,141.809524,219.190476,104.714286,83.285714,129.904762,84.857143,188.571429,194.571429,184.095238,160.761905,193.238095,104.190476,188.52381,161.047619,82.238095,61.333333,67.333333,59.952381,131.761905,160.52381,122.095238,76.952381,68.571429,110.809524,279.238095,16.761905,37.142857,25.714286,60.190476,211.380952,355.380952,254.190476,473.952381,297.238095,118.714286,87,142.142857,41.571429,139.190476,88.666667,74.142857,97.47619,75.809524,49.047619,16.571429,22.428571,24.142857,32.952381,27.47619,116.904762,6245.761905,,,,,,,,,,,,,
PL,138.047619,220.47619,72.428571,54.761905,132.428571,70.904762,148.095238,159.52381,194.190476,136.666667,237.809524,125.714286,165.857143,140.571429,69.952381,53,53.571429,54.095238,117.571429,101.047619,82.52381,42.142857,32.952381,82.952381,279.904762,77.142857,25.47619,48.714286,52.714286,305.52381,434.714286,253.428571,460.952381,331.571429,130.333333,52.619048,118,38.380952,134.666667,109.428571,95.904762,233.047619,77.571429,40.095238,19.380952,19.047619,21.380952,24.142857,33.333333,107.190476,6211.952381,,,,,,,,,,,,,
CC,91.285714,174.333333,73.904762,72.904762,105.761905,80.285714,157.857143,149.952381,142.52381,130.761905,242,91.714286,126.142857,98.809524,55.666667,45.095238,41.714286,42.047619,103.428571,80,80.095238,38.619048,27.809524,72.714286,214.095238,67.666667,48.571429,49.857143,33.238095,143.380952,245.619048,171.190476,290.47619,214.285714,108.714286,42.333333,79.142857,33.285714,90.285714,83.47619,78.190476,111,71.047619,33.095238,10.857143,14.619048,19.47619,22,22.47619,96.52381,4720.333333,,,,,,,,,,,,,
16,75.52381,78.095238,30.47619,31.428571,61.095238,41.285714,94.47619,89.285714,73.047619,65.095238,94.809524,41.333333,52.047619,43.238095,27.904762,16.571429,18.238095,18,38.238095,29.333333,26.714286,16.666667,11.904762,40.761905,101,180.761905,187.47619,324.619048,158.857143,17.571429,58.47619,106.666667,188.047619,136.47619,71.47619,18.238095,31.571429,12.428571,42.952381,47.095238,51.904762,75.571429,45.333333,16.952381,7,5.52381,5.428571,8.904762,14.333333,41.333333,3071.571429,,,,,,,,,,,,,
24,74.47619,72.761905,26.952381,22.285714,58.47619,27.190476,73.761905,63.857143,63.285714,43.142857,85.285714,45.761905,47.904762,22.285714,22.142857,18.809524,12.428571,11.190476,30.047619,20.952381,18.619048,13.285714,5.952381,27.142857,78.952381,250.619048,289.142857,499.380952,278.809524,60.809524,18.809524,99.761905,153.285714,127.190476,74.619048,7.238095,19.666667,14.619048,41.047619,49.428571,55.285714,56.809524,45.47619,9.666667,5.571429,4.190476,5.380952,6,12.904762,37.380952,3210.047619,,,,,,,,,,,,,
GP,17.428571,21.190476,9.047619,7.428571,25.619048,9.952381,22.47619,21.095238,24.047619,19.380952,21.714286,13.47619,13.333333,11.809524,9.190476,7.52381,2.47619,2.809524,15.761905,10.952381,9.714286,2.619048,3.333333,12.47619,24.428571,166.761905,217.190476,294.714286,164.857143,108,97.809524,8.809524,42.761905,28.857143,15.904762,3.619048,8.571429,2.333333,13.571429,16.761905,25.666667,35.190476,24.285714,3.619048,3.238095,1.428571,1.190476,2.47619,5.428571,13.190476,1645.52381,,,,,,,,,,,,,
