Exit stations,Entry stations->,,WEEKDAY,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
MT,476.055556,923.333333,641.833333,633.444444,710.111111,725.111111,1068.111111,1389.5,1084.166667,1011.333333,990.333333,567.166667,830.944444,733.722222,524.611111,421.444444,745.555556,1025.444444,876.555556,1635.111111,1230.388889,713.722222,644.611111,975,1661.333333,156.444444,166.388889,203.166667,557.555556,1308.666667,2203.944444,1575.555556,2545.777778,1914.166667,1059.333333,544.5,1651.388889,380.555556,560.833333,783.944444,737,367,1445.555556,629.388889,100.777778,716.277778,0,0,111.388889,360.888889,42319.444444,,,,,,,,,,,,,,
PL,419.833333,674.166667,371.222222,331.222222,539.944444,369.555556,661.111111,807.555556,817.666667,613.222222,746.722222,507.222222,523.222222,471,302.722222,218.722222,313.722222,363.444444,418.277778,519.333333,477.444444,280.833333,237.277778,478.555556,1045.666667,947.666667,382.555556,146.888889,412.166667,1297,1657.944444,1133.222222,2004.277778,1316.888889,551.888889,257.5,752.722222,202.555556,378.5,433.833333,422.222222,929.388889,723,316.944444,102.111111,270.555556,0,0,101,254.277778,27504.777778,,,,,,,,,,,,,,
CC,303.166667,583.388889,351.666667,373.944444,438.666667,426.944444,683.444444,795.666667,682.222222,541.555556,698.055556,361.833333,421.833333,381.166667,253.611111,206.833333,287.888889,291.444444,360.277778,490.666667,368.222222,233.833333,188.944444,458.555556,841.277778,556.777778,554.388889,345,71.888889,527.277778,883.944444,715.555556,1210.833333,777.777778,470.222222,213.277778,548.888889,185.833333,306.333333,362.611111,336.722222,320.555556,552.055556,228.333333,51.5,212.055556,0,0,71.444444,213.5,20741.888889,,,,,,,,,,,,,,
16,151,217.277778,112.888889,133.055556,227.166667,208.888889,322.055556,381,286,225.388889,280.888889,153.555556,129.111111,131.111111,82,76.833333,78.722222,83.166667,103.277778,146.111111,90.444444,51.5,50.166667,167.055556,346.888889,1078.833333,1376.388889,1492.833333,585.5,31.444444,187.944444,291.333333,576.388889,286.833333,147,62.833333,180.222222,54.388889,125.944444,127,128.722222,163.111111,246,68.333333,19.944444,60.333333,0,0,30.388889,82.055556,11639.333333,,,,,,,,,,,,,,
24,154.611111,172.888889,62.277778,90,179.555556,106.833333,197.166667,277,248.333333,126.944444,203.722222,133.833333,84.111111,76.833333,49.888889,40.277778,36.222222,32.777778,69.5,71.722222,59.333333,35.166667,30.444444,92.944444,212.666667,1433,1832.333333,1996.055556,943.111111,202.555556,38.888889,240.888889,500,242.555556,121.444444,27.5,70.888889,36.888889,97.5,87.888889,124.611111,150.444444,201.222222,38.666667,20.222222,26.333333,0,0,22.333333,57.833333,11358.222222,,,,,,,,,,,,,,
GP,35.555556,68.5,27.833333,27.388889,95.555556,28.555556,69.055556,138.611111,151.333333,50.944444,62.666667,64.388889,39.333333,28.277778,28.722222,12.722222,11.277778,15.833333,36.833333,45.166667,41.222222,14.888889,15.944444,42.222222,58.722222,1022.777778,1238,1312.888889,629.777778,283.722222,236.277778,24.444444,110.5,59.555556,46.333333,15.888889,58.777778,15.944444,39.777778,30.277778,61.444444,99.5,114.166667,24.722222,13.222222,12,0,0,10.777778,30.222222,6702.555556,,,,,,,,,,,,,,
BP,55.555556,93.111111,31.111111,31.5,72.222222,36.222222,76.111111,110.777778,147.5,63.111111,75.055556,61.055556,62.166667,38.722222,24.444444,19,17.777778,19.111111,41.944444,38.777778,34.444444,7.611111,12.055556,42.944444,81.5,1273.666667,1650.444444,2389.555556,1071.833333,500.666667,480.5,118.944444,33.888889,76.666667,71.833333,23.222222,59.888889,14.277778,40.666667,60.333333,109.888889,110,126.055556,22.277778,6.833333,14.777778,0,0,10.111111,38.166667,9598.333333,,,,,,,,,,,,,,
DC,103.5,153.666667,52.166667,34.611111,86.5,39.277778,82.555556,128.777778,200.722222,113.833333,132.555556,135.888889,104.944444,73.5,51.277778,50.777778,55.444444,59.444444,96.611111,71.611111,64.777778,27.444444,19.111111,37.222222,69.833333,1181.5,1609.444444,1537.888889,748.222222,295.055556,270.333333,62.444444,98.666667,29.833333,44.222222,36.5,108.777778,42.222222,84.777778,66.944444,135.444444,191,245.111111,47.222222,12.277778,38.166667,0,0,24.444444,71.388889,9027.944444,,,,,,,,,,,,,,
CM,14.5,26.722222,5,7.611111,26.611111,9.277778,19.222222,66.111111,114.111111,10.5,11.166667,13.666667,9.555556,8.222222,6,5,4.444444,4.666667,22.611111,11.722222,15.277778,6.888889,2.777778,3.222222,14.555556,786.888889,903.888889,657.166667,429.611111,133.333333,117.111111,42.722222,76.722222,38.388889,12.888889,3.277778,14.888889,3.666667,18.388889,13.888889,47.222222,131.666667,87.444444,3.5,1.333333,3.055556,0,0,3.777778,13.444444,3983.722222,,,,,,,,,,,,,,
CV,4.722222,7.111111,4.333333,5.388889,40.944444,7.611111,19.722222,70.333333,110.666667,107.833333,46.5,40.666667,36.944444,48.722222,18.888889,13.722222,12.777778,23.666667,4.055556,2.888889,5.222222,0.777778,2.277778,5.555556,11.666667,497.888889,527.055556,335.666667,229.388889,71.5,29,19.333333,22.555556,36.666667,3.222222,11.166667,84.666667,1.111111,1.722222,2.555556,7,23.222222,6.333333,58.666667,8.222222,16.722222,0,0,0.722222,1.555556,2648.944444,,,,,,,,,,,,,,
ED,13.388889,27.722222,14.388889,10.611111,91.555556,22.388889,68.055556,216.944444,234.111111,162.777778,124.611111,116.833333,102.555556,125.277778,64.833333,32.388889,59.444444,56.777778,8.888889,4.277778,5.888889,0.944444,2.222222,9.666667,27.111111,1887.222222,1588.222222,811.555556,585.444444,217.611111,75.833333,63.388889,71.277778,108.277778,15.833333,93.111111,42.555556,0.888889,4.055556,21.666667,11.833333,123.444444,17.722222,39.5,71.388889,43.5,0,0,2.111111,4.055556,7504.166667,,,,,,,,,,,,,,
NC,4.388889,5.333333,3.333333,4.5,23.888889,5.944444,49.277778,111.333333,126.222222,9.388889,7.222222,9.611111,10.277778,4.666667,5.555556,0.888889,3,3.833333,39,29.055556,56.222222,8.944444,4.5,23.777778,5.888889,325.333333,332.5,221.055556,199.5,67,39.777778,16.166667,17.555556,35.555556,2.833333,1.277778,1.444444,9.444444,18.333333,7.833333,8.055556,53.111111,6.055556,1.166667,11.5,6.111111,0,0,13.833333,20.722222,1972.222222,,,,,,,,,,,,,,
WP,18.333333,11.666667,6.555556,10.833333,60.111111,12.277778,132.333333,159.388889,211.833333,19.722222,26.555556,31.055556,14.388889,9.111111,16.611111,7.444444,11.611111,9.888889,141.833333,72.833333,131.5,21.277778,13.222222,34.333333,14.388889,484.388889,461.333333,460.666667,376.222222,131.333333,107.055556,47.833333,47.777778,78.388889,15.5,2.277778,3.555556,22.111111,25.555556,20.166667,29.333333,121.166667,16.5,1.833333,17.777778,15.388889,0,0,18.611111,26.777778,3730.666667,,,,,,,,,,,,,,
SS,11.166667,32.611111,5.111111,8.055556,23.944444,7,26.611111,59.666667,83.888889,14.111111,14.722222,19.111111,12,9.833333,5.166667,3.666667,3.388889,3.5,23.055556,24.611111,21.555556,5.722222,6.222222,12.111111,16.888889,572.055556,686.833333,489.222222,352.833333,120.5,94.055556,30.666667,65.055556,68.277778,16.111111,3,19.5,6.666667,18.944444,13.333333,30.166667,53.333333,61.722222,6.833333,1.5,3.5,0,0,4.333333,19.111111,3191.277778,,,,,,,,,,,,,,
SB,20.888889,37.888889,11.111111,10.222222,30.5,14,31.944444,62.833333,78.555556,15.166667,25.166667,24.055556,12.888889,14,8.722222,7.611111,4.666667,9,21.944444,27,19.888889,8.944444,8,13.055556,24.722222,588.888889,650.222222,493.555556,334.388889,137.888889,131.333333,64.777778,123.166667,142.944444,48.111111,4.611111,13.166667,8.277778,32.833333,35,15.333333,64.777778,46.222222,6.444444,4.111111,2.388889,0,0,7.888889,22.777778,3521.888889,,,,,,,,,,,,,,
SO,64.944444,113.777778,71.833333,93.333333,184.166667,70.888889,113.888889,106.111111,119.5,46.055556,69.333333,36.388889,44.5,29.666667,18.944444,16.5,22.166667,26.611111,146.555556,173.388889,168.055556,99,81.777778,137.611111,133.722222,368.388889,381.888889,729.333333,319.777778,157.944444,141.111111,86,117.777778,186.388889,137.055556,18.555556,122.777778,56.833333,137.611111,52,51.944444,53.944444,212.5,31.944444,15.055556,12.333333,0,0,18,89.888889,5687.777778,,,,,,,,,,,,,,
