Exit stations,Entry stations->,,WEEKDAY,,,Mar 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WP,4.521739,7.173913,2.173913,2.347826,11.26087,3.956522,30.086957,21.391304,26.434783,3.130435,7.782609,7.782609,5.434783,1.869565,3.391304,3.391304,2.913043,3.304348,52.782609,22.434783,34.695652,5.826087,4.913043,11.043478,6.521739,69.956522,75.608696,125.086957,88.434783,45.695652,39.26087,10.652174,10.391304,14.217391,6.652174,0.217391,1.695652,9.26087,6.217391,5.217391,8.652174,22.782609,3,0.173913,4.26087,1.73913,0.869565,1.652174,7.73913,12.391304,858.391304,,,,,,,,,,,,,
SS,5.695652,8.913043,2.347826,1,3.130435,2.217391,3.826087,4.782609,11.26087,3.434783,2.652174,2.913043,3.521739,5,3.347826,1.782609,0.826087,1.173913,3.304348,3.73913,2.73913,1.043478,0.478261,1.391304,4.043478,35.26087,32.782609,75.956522,53.130435,32.478261,34.130435,8,15.652174,17.434783,6.130435,2,1.73913,3.652174,5.913043,2.73913,6.652174,14.391304,6.608696,0.347826,0.173913,0.782609,0.217391,0.130435,0.73913,7.608696,449.217391,,,,,,,,,,,,,
SB,8.130435,9.086957,0.869565,0.869565,4.782609,4.826087,4.391304,4.956522,9.304348,1.956522,8.565217,6.086957,4.565217,5,5.086957,2.434783,1.304348,2.347826,10.73913,5.391304,3.173913,1.173913,0.782609,2.173913,6,26.521739,39.826087,75.695652,52.434783,39.608696,37.347826,23.173913,35.521739,33.478261,12.173913,2.391304,1.26087,2.130435,9.391304,7.826087,3.956522,10.434783,6.086957,0.695652,1.043478,0.130435,1.26087,0,3.086957,4.521739,544,,,,,,,,,,,,,
SO,7.73913,14.304348,5.434783,4.73913,9.086957,2.086957,10.869565,8.086957,10.826087,4.043478,9.130435,5.217391,8.086957,5.652174,3.347826,2.478261,3.304348,1.826087,24.173913,14.956522,17.347826,8,6.565217,8.608696,12.26087,17.043478,18.782609,51.347826,28.913043,22.173913,16.913043,9.173913,25.652174,39.826087,29.478261,2,10.869565,8.043478,27.217391,12.608696,8.913043,12.26087,33.347826,3,2.434783,1.521739,1.173913,0.391304,4.217391,28.043478,623.521739,,,,,,,,,,,,,
MB,7.608696,9.956522,3.869565,1,10.347826,2.608696,4.869565,3.782609,9.826087,1.73913,4.173913,5.782609,2.478261,2.782609,2.173913,0.695652,0.782609,0.826087,7.043478,2.347826,2.304348,1.086957,0.434783,1.26087,6.434783,17.130435,36.086957,41.043478,40.173913,23.869565,21.478261,12.434783,25.956522,30.434783,13.565217,0.652174,1.73913,0.26087,3.217391,6.130435,4.086957,36.565217,7,0,0.521739,0.434783,0.043478,0.043478,0.391304,4.73913,424.217391,,,,,,,,,,,,,
WD,1.695652,2.826087,1.347826,0.173913,1.391304,1.173913,1.869565,3.652174,3.173913,15.913043,22.217391,10.869565,18.608696,26,9.652174,10.043478,6.391304,1.826087,1.913043,0.652174,0.608696,0.130435,0,0.173913,2.086957,28.434783,21.347826,31.608696,19.130435,10.086957,8.434783,5.652174,5.26087,3.217391,0.173913,15.347826,10.173913,0.652174,0.304348,0.26087,0.608696,2.869565,0.26087,3.173913,3.478261,1.086957,2.26087,2.217391,0.043478,0.695652,321.173913,,,,,,,,,,,,,
OA,2.391304,4.913043,1.782609,1.565217,5.347826,2.173913,2.478261,3.652174,2.565217,2.565217,2.608696,5.956522,2.26087,0.913043,1.782609,1.826087,1.869565,2.26087,5.565217,5.043478,4.043478,2.304348,0.869565,1.565217,0.826087,7.434783,5.73913,6.565217,6.086957,3.304348,2.73913,1.130435,2.913043,1.347826,0,0.565217,7.347826,1.73913,6,0.434783,0.913043,4.043478,0.130435,2.391304,0.478261,0.478261,1.130435,1.652174,0.782609,4.782609,139.26087,,,,,,,,,,,,,
WS,4.304348,5.73913,1.695652,3.608696,5,4.695652,4.347826,6.869565,6.347826,14.521739,17,11.565217,13.130435,12.304348,17.043478,12.478261,20.043478,15,2.478261,1.521739,0.130435,0.173913,0.26087,0.391304,1.26087,10.217391,11.217391,9.782609,8.217391,4.521739,1.869565,1.217391,2.391304,3.217391,0.130435,1.521739,4.565217,0.130435,1.826087,0.869565,0.130435,2.043478,0.26087,1.304348,0.695652,2.26087,17.869565,13.652174,0.217391,0.826087,282.869565,,,,,,,,,,,,,
ML,1.478261,3.695652,1.652174,1.26087,5.521739,1.826087,3.695652,5.043478,4.652174,5.478261,9.26087,4.565217,5.782609,6.608696,15.304348,9.478261,13.130435,17.347826,1.869565,0.826087,0.826087,0.217391,0.304348,0.869565,0.869565,7.217391,10.652174,10.913043,11.565217,3.086957,2.869565,0.956522,0.913043,2.521739,0.652174,1.695652,3.73913,0.478261,1.695652,0.173913,0.782609,1.73913,0.043478,1.782609,1.173913,18.565217,4.478261,3.565217,0.73913,0.913043,214.478261,,,,,,,,,,,,,
BE,4.217391,5.478261,1.478261,0.826087,9.086957,4.043478,4.869565,6.043478,5.695652,10.521739,11.869565,8.608696,8.608696,6.956522,12.73913,9.608696,9.173913,16.956522,1.695652,1.869565,0.782609,0.217391,0.304348,0.869565,3.869565,12.26087,10.478261,16.478261,15.304348,4.826087,4.173913,0.826087,2.173913,1.565217,0.608696,0.521739,4.913043,0.434783,1.782609,0.086957,0.173913,1,0.173913,1.478261,0.913043,16.130435,3.304348,3.478261,0.478261,1.347826,251.304348,,,,,,,,,,,,,
