Exit stations,Entry stations->,,WEEKDAY,,,Oct 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
GP,16.571429,19.857143,4.142857,3.52381,6.904762,5,14.809524,15,17.142857,12.47619,17.857143,19.142857,12.857143,9.380952,8.904762,6.142857,2.666667,2.714286,11.238095,7.095238,4.095238,1.333333,1.285714,4.952381,11.571429,71.047619,117.095238,169.666667,89.714286,51.238095,47.190476,5.238095,15.047619,17.190476,14,3.238095,4.952381,1.952381,7.047619,8.952381,18.190476,13.095238,11.428571,2.571429,1.238095,1.190476,1,0.761905,4.238095,11.142857,925.095238,,,,,,,,,,,,,
BP,20.095238,23.904762,5.47619,3.238095,11.904762,6,10.333333,14.809524,23.190476,16.619048,21.380952,15.047619,10.809524,14.952381,7,7.428571,3.52381,3.47619,8.952381,2.52381,5.571429,1.761905,1.428571,2.238095,18.952381,133.904762,185.52381,439.047619,209.857143,103.047619,96.857143,15.047619,6.952381,19.047619,20.238095,3.952381,5.428571,1.095238,10.619048,17.47619,41.904762,26.571429,26.52381,2.761905,1.904762,2.285714,0.857143,1.47619,1.47619,6.952381,1641.428571,,,,,,,,,,,,,
DC,12.809524,19.238095,3.666667,5.714286,9.666667,4.142857,10.857143,12.857143,21.333333,15,21.333333,20.761905,13.714286,10.142857,6.142857,3.857143,2.857143,3.238095,7.428571,4.809524,9.571429,1.428571,1.190476,1.904762,14.619048,129.571429,145.52381,307.952381,182.47619,106.904762,80.809524,20.190476,22.571429,8.190476,8.52381,2.142857,13.714286,1.714286,9.571429,18.857143,33.571429,41.47619,30.952381,3.47619,1.47619,1.857143,2.619048,2.047619,3.666667,13.857143,1432,,,,,,,,,,,,,
CM,6.714286,8.095238,0.857143,1.142857,4.285714,2.190476,4.952381,8,11.857143,2.428571,2.619048,1.52381,3.285714,3.761905,3.047619,2.047619,4.142857,1.809524,3.619048,2.857143,3.047619,1,0.428571,1.238095,5.095238,48.52381,56.380952,110,82.095238,37.761905,40.666667,14.666667,20.952381,8.761905,3.238095,1.095238,2.52381,0.857143,8.190476,5.952381,14.857143,29.761905,18.571429,0.095238,0.095238,1.238095,0.333333,0.285714,4.333333,9,610.285714,,,,,,,,,,,,,
CV,1.571429,1.190476,2.047619,0.904762,3.333333,1.666667,3.428571,2.619048,3.666667,24.52381,15.047619,13.47619,14.761905,10.238095,4.047619,3.47619,5.428571,5.095238,1.428571,0.285714,1.095238,0.095238,0.619048,0.52381,3.809524,34.666667,36.809524,38.333333,31.142857,10.619048,7.285714,2.571429,5.047619,3.619048,1.285714,1.761905,27.52381,0.095238,0.333333,1.190476,2.952381,2.857143,0.666667,20.52381,1.047619,1.333333,0.47619,0.904762,0.285714,0.380952,358.095238,,,,,,,,,,,,,
ED,4.857143,9.380952,0.952381,2.142857,9.047619,2.952381,11.714286,7.904762,8.428571,36.285714,56.095238,25.47619,30.52381,40.761905,16.857143,10.52381,12.904762,11.619048,2.47619,1.285714,0.857143,0.380952,0.333333,1.380952,9.095238,82.857143,71.619048,79.380952,74.52381,23.428571,12.52381,7.047619,5.666667,15.666667,2.52381,24.52381,6.714286,0.380952,1.190476,2.190476,2.428571,14.333333,1.809524,7,8.428571,4.190476,3.952381,3.809524,0.619048,1.380952,772.428571,,,,,,,,,,,,,
NC,0.857143,1.666667,1.190476,1.190476,2.238095,0.380952,4.857143,8.714286,6.333333,2.904762,1.238095,1.285714,1.238095,2.047619,1.047619,0.952381,0.190476,0.190476,8,6.095238,8.333333,1.47619,0.238095,2.571429,0.619048,19.571429,22.238095,31.095238,27.904762,7.666667,5.333333,2.333333,1.380952,2.333333,0.571429,0.142857,0.52381,1.380952,12.857143,2.571429,0.857143,9.047619,0.47619,0.047619,1.333333,0.095238,0.047619,0.142857,7.428571,6.619048,229.857143,,,,,,,,,,,,,
WP,4.285714,9,1.809524,2.761905,10.142857,2.571429,35.190476,22.761905,26,4.52381,8.904762,7.619048,5.333333,2.190476,3.619048,3.666667,2.714286,2.428571,50.571429,20.857143,39.142857,6.428571,3.047619,9.619048,4.904762,81.333333,78.190476,123.761905,96.52381,46.714286,38.809524,6.904762,11.142857,15.857143,7.047619,0.52381,1.619048,11.238095,6.761905,4.809524,7.428571,20.952381,2.904762,0.142857,4.047619,2,0.619048,2.190476,5,14,880.619048,,,,,,,,,,,,,
SS,4.761905,9.52381,1.809524,0.571429,5.380952,1.761905,5.142857,4.904762,11.190476,1.428571,3.095238,3.142857,3.190476,3.952381,4.380952,2.285714,2.095238,2.52381,3.619048,3.238095,2.47619,0.333333,0.619048,1.142857,5.714286,36.333333,41.952381,74.952381,56.761905,26.285714,33.761905,8.52381,15.190476,17.571429,6.571429,1.428571,1.857143,1.714286,4.238095,3.47619,9.238095,14.285714,8.285714,0.428571,0.285714,0.428571,0.190476,0.142857,1.095238,8.047619,461.333333,,,,,,,,,,,,,
SB,10.619048,9.285714,2.238095,0.904762,3.761905,4.619048,4.714286,7.47619,8.428571,3.238095,7.047619,6.857143,4.238095,5.333333,3.428571,3.238095,0.904762,3.333333,9.285714,4.52381,3.380952,1,0.904762,2.52381,7.52381,24.380952,43.190476,66.47619,55.142857,36.666667,41.380952,19.095238,43.619048,38.809524,15,2.428571,2.761905,2.190476,8.238095,8.238095,3.952381,10.047619,7.380952,0.095238,0.619048,0.142857,0.952381,0.190476,3.190476,5.619048,558.619048,,,,,,,,,,,,,
SO,8,21.142857,5.380952,3.142857,6.809524,4.333333,12.428571,10.47619,11.571429,5.428571,8.619048,7.142857,7.095238,7.238095,5.809524,3.047619,2.285714,2.380952,25.333333,16.190476,16.952381,6.857143,5.285714,8.333333,15.952381,18.952381,19.285714,55.809524,34.761905,25.666667,15.47619,9.619048,24.190476,41.428571,27.142857,2.047619,12,7.904762,28.904762,10.809524,8.571429,11.142857,35.190476,2.809524,2.142857,1.380952,0.761905,0.428571,4.52381,27,655.190476,,,,,,,,,,,,,
MB,7.285714,11.047619,3.571429,1,8.904762,2.095238,5.238095,6.238095,7.857143,2.238095,4.095238,3.238095,2.47619,2.952381,5.095238,1.52381,0.095238,1.238095,6.428571,1.238095,2.47619,1.142857,0.666667,1.047619,5.761905,15.47619,30.714286,39.428571,43.761905,26.333333,19.904762,12.47619,25.952381,33.190476,16.47619,0.52381,1.47619,0.428571,1.666667,6.571429,6.380952,35.571429,6.238095,0.095238,0.285714,0.047619,0.52381,0.047619,0.809524,6.095238,425.428571,,,,,,,,,,,,,
WD,1.380952,1.619048,1.571429,0.714286,3.714286,0.904762,2.952381,3.142857,3.571429,17.666667,23.333333,10.190476,16.904762,25.285714,8.047619,9.428571,6.047619,2.190476,1.238095,0.666667,0.47619,0.047619,0.095238,0.285714,1.047619,27.857143,19.666667,23.047619,20.952381,7.857143,6.714286,4.238095,3.333333,2.857143,0.238095,19.285714,8.952381,0.047619,0.285714,0.428571,0.285714,2.904762,0.333333,2.761905,3.47619,1.428571,1.714286,1.714286,0.238095,0.285714,303.428571,,,,,,,,,,,,,
OA,1.761905,4.380952,1.47619,1.904762,3.666667,1.857143,2.761905,2.095238,2.904762,2.571429,2.952381,4.761905,1.904762,0.904762,1.142857,2.190476,1.619048,2.47619,4.904762,4.904762,3.380952,1.428571,0.619048,1,1.619048,6.571429,4.285714,7.142857,4.952381,2.714286,2.142857,1.190476,2.380952,1.571429,0.095238,1,7.47619,1.380952,5.095238,0.380952,0.571429,2.952381,0.52381,2.380952,0.761905,0.904762,0.809524,1.095238,0.714286,5.047619,125.333333,,,,,,,,,,,,,
WS,2.47619,5.47619,1.238095,2.666667,2.47619,4.285714,3.904762,6.857143,5.619048,12.428571,15.761905,13.761905,11.666667,11.761905,17.952381,19.142857,22.095238,9.047619,1.190476,2,0.238095,0,0.095238,0.47619,2.333333,9.761905,11.571429,9.809524,10.142857,5.47619,2.761905,0.952381,2.047619,2.904762,1.285714,2.761905,3.285714,0.047619,2.714286,0.428571,0.047619,1.571429,0.142857,1.47619,0.666667,2.142857,8.761905,16.809524,0.47619,0.428571,273.428571,,,,,,,,,,,,,
ML,2.238095,4.380952,1.904762,1.809524,2.190476,2.285714,5.428571,4.333333,3.952381,6.333333,8.238095,4.047619,5.52381,6.857143,12.666667,8,11.190476,16.761905,1.761905,0.47619,0.666667,0.904762,0.095238,0.190476,0.761905,4.904762,10.095238,9.714286,10.857143,3.095238,2.190476,1.238095,1.333333,2.380952,0.571429,0.619048,3.619048,0.047619,0.666667,0.190476,0.666667,0.809524,0.285714,1.380952,0.714286,11.619048,2.904762,5.666667,0.619048,1.190476,190.380952,,,,,,,,,,,,,
BE,2.761905,6.714286,1.285714,1.47619,10.666667,3.238095,7.142857,8.857143,8.52381,10.571429,11.952381,7.809524,9.285714,7.52381,12.047619,8.857143,12.52381,16.714286,2.857143,2,1.333333,0.238095,0.285714,1.190476,2,11.952381,14.952381,15.857143,18.380952,4.095238,2.666667,0.809524,2.47619,3.142857,0.142857,0.809524,4.714286,0.380952,2.809524,0.047619,0.238095,0.571429,0.190476,1.52381,1.52381,15.952381,5.428571,5,0.666667,1.142857,273.333333,,,,,,,,,,,,,
