Exit stations,Entry stations->,,WEEKDAY,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
RR,22.888889,31.111111,30.888889,15.888889,51.388889,11.611111,63.944444,197.666667,197.111111,35.277778,48.666667,31.277778,23.277778,10.388889,17.833333,6.888889,10.611111,16.944444,80.777778,116.555556,148.555556,68.833333,54.944444,25.333333,20.166667,1068,1060,547.944444,661,222.833333,100.777778,56.944444,48,45.611111,3.611111,5.222222,8.055556,23,36.666667,9.277778,14.388889,139.777778,25.611111,5.333333,16.555556,14.055556,0,0,24.222222,41.888889,5517.611111,,,,,,,,,,,,,,
OW,23.722222,32.611111,11.222222,13.777778,70.111111,26.222222,46.5,59.722222,91.722222,30.111111,97.722222,75.222222,34.944444,31.722222,31.333333,13.111111,13.388889,12.777778,16.5,12.388889,13.5,4.166667,2.388889,19.5,26.722222,1763.555556,1544.666667,1033.5,893.277778,382.555556,203.888889,55.5,71.666667,66.444444,13.111111,6.388889,27.944444,5.055556,16.166667,19.777778,25.944444,109.333333,38.611111,10.277778,9.722222,11.722222,0,0,9.222222,18.944444,7148.388889,,,,,,,,,,,,,,
EM,549.944444,1061.055556,677.888889,716.944444,1077.5,898.944444,1432.666667,2017.611111,1743.277778,1246.944444,1157.166667,682.722222,997.666667,912.833333,652.444444,550.944444,999.833333,1437.5,1044.166667,2016,1589.888889,1014.055556,908.111111,1234.388889,2281.5,227.944444,139.611111,482.222222,647.111111,1166.666667,1899.833333,1265,1586.5,1383.333333,880.222222,633.555556,2311.055556,390.944444,609.666667,661.166667,586,368.222222,1088.944444,942.833333,142.333333,888.444444,0,0,171.944444,472.444444,47848,,,,,,,,,,,,,,
MT,540.277778,910.777778,628.555556,572.277778,824.5,779.722222,1230.777778,1623.333333,1244.333333,1150.666667,1017.333333,559.5,865.166667,765.666667,596.444444,432,786,1083.333333,863.388889,1667.833333,1259.944444,766.611111,654.388889,987.722222,1730.444444,147.666667,196.111111,181.777778,618.333333,1482.611111,2483.277778,1692.666667,2559.611111,1999.277778,1124.277778,562.277778,1815.555556,365.222222,574.777778,785.166667,823.888889,419.111111,1454.666667,672.333333,96.444444,793.5,0,0,141.222222,408.777778,44939.555556,,,,,,,,,,,,,,
PL,425.333333,661.888889,310.277778,306.5,539.388889,388.388889,672.111111,855.111111,836.666667,599.444444,684.555556,421.388889,490.944444,474.777778,298.5,212,302.722222,331,412.666667,519.222222,392.888889,216.555556,172.5,424.555556,962.833333,723.833333,308.611111,157.111111,337.277778,1220.222222,1556.833333,1028.722222,1953.944444,1238.444444,547.888889,236.611111,661.111111,174.277778,335.222222,416.833333,388.611111,932.833333,629.777778,254.5,87.555556,289.611111,0,0,115.333333,251.111111,25758.5,,,,,,,,,,,,,,
CC,333.888889,603.166667,384.944444,402.222222,537.777778,477.277778,832,919.333333,760.277778,599.277778,724.444444,381.444444,484.722222,427.666667,293,240.611111,310.944444,320.833333,410.944444,543.944444,399.944444,242.166667,193.666667,559.666667,884.055556,640.166667,605.444444,314.222222,101.111111,561.277778,977.166667,756.555556,1354.055556,884.111111,515.277778,252.222222,689.055556,180.722222,297.777778,394.944444,373.5,414.388889,620.055556,245.555556,48.611111,268.5,0,0,93.777778,251.444444,23108.166667,,,,,,,,,,,,,,
16,195.166667,248.666667,115.888889,137.666667,296.444444,217.333333,359.277778,449.5,310.5,242.777778,304.944444,155.444444,146.277778,154.444444,110.611111,83.111111,100.388889,106.5,129.111111,169.444444,110.277778,70,53.055556,183.388889,375.611111,1196.944444,1610.944444,1423.166667,657.277778,41.888889,195.5,333.888889,643.777778,379.111111,177.666667,74.833333,231.555556,63.611111,124.333333,151.888889,136.388889,198.888889,271.833333,83.222222,19.055556,92.388889,0,0,44.166667,84.611111,13062.777778,,,,,,,,,,,,,,
24,182.888889,181.333333,64.944444,86,221.444444,112.555556,204.166667,316.833333,282.555556,153.166667,208.388889,118.611111,103.888889,73.166667,59.666667,42.555556,39.166667,30.944444,75.166667,75.555556,65.388889,33.555556,30.166667,95.666667,204.333333,1602.611111,2101.388889,1827.611111,1004.888889,205.555556,49.444444,263.777778,543.166667,262.611111,126.833333,26.333333,69.666667,28.222222,85.777778,104.444444,125.722222,157.777778,224.611111,35.555556,16.888889,29.555556,0,0,20.555556,53.611111,12028.722222,,,,,,,,,,,,,,
GP,40.5,76.5,24.388889,30.388889,120.611111,31.888889,75.666667,158.277778,160.888889,51.444444,62.5,57.333333,37.5,29.944444,28.611111,17.555556,13.333333,7.722222,47.666667,46,35.5,19.888889,16.5,47.444444,63.222222,1083.055556,1407.388889,1174.222222,692.611111,329.166667,271.5,23.722222,121.277778,67.055556,56.722222,15.944444,60.388889,18.277778,34.111111,34.833333,62.5,110.333333,134.666667,27.277778,11.277778,14.111111,0,0,11,38.055556,7100.777778,,,,,,,,,,,,,,
BP,64.388889,93.666667,32.888889,37.222222,98.055556,37.222222,80.555556,132.666667,159,83.111111,92.055556,55.055556,68.333333,41.666667,36.777778,17.333333,19.777778,19.055556,48.444444,41.333333,38.444444,9.388889,10.555556,42.611111,86.666667,1274.444444,1722.888889,2300.166667,1165.777778,576.166667,509.722222,126.111111,39.388889,92.555556,80.888889,25.444444,52.5,12.555556,42.611111,68.222222,104.111111,130.777778,142.666667,23.777778,6.5,14.777778,0,0,18.611111,37.555556,10014.5,,,,,,,,,,,,,,
DC,120.111111,169.111111,62.111111,48.666667,115.388889,44.888889,104.5,146.333333,212.5,111.888889,155.944444,128.611111,120.222222,88.444444,79,54.222222,70.277778,58.5,101.666667,80.333333,60.166667,22.277778,20.888889,40.833333,86.611111,1316.388889,1717.666667,1428.555556,850.888889,381.944444,301.5,64.055556,120.944444,27.666667,45.333333,39.388889,114.166667,50.111111,84,91.333333,139.833333,219.111111,272,46.944444,11.666667,47.777778,0,0,26.777778,80.888889,9782.444444,,,,,,,,,,,,,,
CM,17.944444,23.444444,3.777778,6,38,9.055556,28.222222,76.555556,116.111111,9.777778,9.666667,8.833333,6.388889,7.277778,4.555556,3.722222,6.277778,3.666667,25.222222,9.722222,16.666667,2.555556,2.777778,3.888889,14.166667,835.888889,1001,622.166667,481.888889,166.722222,128.944444,49.222222,80,37.444444,13,4.333333,16.888889,2.777778,17.444444,19.833333,43.111111,154.444444,93.111111,2.111111,2.5,2.555556,0,0,7.944444,16.555556,4254.166667,,,,,,,,,,,,,,
CV,5.166667,9.222222,4.888889,7,64.333333,11.277778,28.611111,81.277778,109.222222,124.333333,46.055556,49.611111,36.833333,43.833333,17.444444,13.111111,14.5,27.222222,4.611111,1.722222,3.666667,1.722222,2.666667,6.388889,8.055556,503.666667,556.333333,283,283.388889,85.222222,31.222222,17.111111,27.277778,43.555556,4.611111,10.388889,101.666667,1.944444,0.666667,4.722222,5.388889,21.611111,6.611111,61.444444,6.722222,20.277778,0,0,0.444444,1.055556,2801.111111,,,,,,,,,,,,,,
ED,12.111111,23.222222,11.722222,13.388889,133.611111,23.166667,59.944444,219.222222,293.222222,190.388889,132,172.166667,99.777778,133.944444,71.333333,35.388889,63.111111,53.611111,8.111111,4,5.055556,1.555556,2.833333,10.833333,29.277778,1931.777778,1767.111111,745.722222,759.611111,279.222222,87.166667,70.277778,63.444444,128.166667,17.444444,109.5,38.777778,0.944444,3.888889,23.055556,14.166667,126.722222,15.722222,55.555556,65.277778,45.277778,0,0,3.388889,3.555556,8158.777778,,,,,,,,,,,,,,
NC,5.333333,6.444444,3,4.388889,29.777778,5.888889,38.222222,117,130.333333,8.111111,6.333333,12.333333,7.666667,4.166667,7.722222,1.333333,0.777778,3.888889,47.833333,33.555556,50.277778,7.666667,5.111111,22.388889,4.277778,305.833333,331.833333,199.5,204.222222,74.555556,32.333333,17.722222,15.222222,45.388889,3.222222,1.833333,1.166667,9.333333,17.611111,9.722222,10,50.333333,6,1.111111,10.444444,5.611111,0,0,18.166667,19.333333,1954.333333,,,,,,,,,,,,,,
WP,17.333333,12.888889,8.5,4.111111,83.388889,14.388889,137.277778,177.333333,233.611111,19.555556,22.777778,35.5,15.222222,7.388889,25.055556,6.5,9.555556,9.166667,163.888889,78.666667,126.444444,32.888889,19.166667,38.666667,18.777778,514.111111,490.888889,453.5,408.5,151.888889,109.277778,47.277778,53.333333,91.166667,17.944444,1.166667,2.833333,20,21.833333,20.166667,22.166667,111.222222,13.777778,1.333333,15.611111,16.666667,0,0,15.444444,25.277778,3943.444444,,,,,,,,,,,,,,
SS,15,33.722222,8.611111,10,35.111111,11.722222,24.833333,68.444444,97.333333,12.833333,14.944444,17.5,13.055556,8.777778,10,4.777778,9.833333,4.722222,21.555556,25.222222,19.722222,5.055556,5.166667,9.277778,25.444444,632.055556,703.5,463.055556,385.722222,145.555556,108.5,37.055556,77.444444,81.055556,18.666667,5.166667,23.777778,8.055556,19.333333,16,29.944444,64,68.055556,5.722222,1.833333,2.777778,0,0,10.777778,17.888889,3438.611111,,,,,,,,,,,,,,
SB,23.722222,42.777778,12.777778,9.5,39.222222,14.833333,28.944444,63.388889,85.111111,18,22.222222,17.5,11.611111,13.388889,9.944444,7.888889,3.555556,7.666667,24.888889,25.555556,19.888889,7.888889,6.5,14.5,27.222222,576.055556,747.944444,435.388889,383.833333,140.055556,126.333333,68.055556,113.555556,143.111111,36.944444,4.944444,11.833333,10.611111,22.555556,34.222222,14.055556,57.944444,51.222222,4.111111,2.666667,2,0,0,13.166667,25.111111,3584.222222,,,,,,,,,,,,,,
SO,59.5,121.444444,69.055556,92.166667,203.777778,69.222222,127,127.777778,130.555556,44.833333,65.5,41.555556,50.055556,27.833333,25.666667,21.166667,19.777778,28.444444,139.166667,168.111111,158.5,95.055556,81.333333,169.666667,135.388889,394.055556,494.333333,732.222222,394.666667,198.222222,152.777778,103.277778,141.555556,216.611111,148.611111,18.388889,104.944444,53.722222,112.333333,56,47.388889,50.555556,250.555556,33.666667,12.944444,15.722222,0,0,19.388889,99,6123.5,,,,,,,,,,,,,,
MB,27.555556,69.888889,29.888889,29.666667,159.333333,39.055556,66.944444,124.166667,142.666667,15.5,21.388889,16.388889,12.166667,8.944444,5.833333,4.611111,2.944444,4.5,25.722222,25.444444,20.833333,12.888889,9.777778,20.388889,40.111111,973.5,1232.777778,635.055556,544.222222,247.222222,201.055556,131.222222,160.111111,268.611111,94.055556,5.277778,13.833333,7.166667,11.888889,68.777778,39.777778,225.222222,46.055556,7.111111,3.944444,2,0,0,5.055556,14,5874.555556,,,,,,,,,,,,,,
