Exit stations,Entry stations->,,WEEKDAY,,,May 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
EM,201.318182,398.227273,222.045455,229.227273,359.045455,217.5,401.409091,475.272727,480.454545,334.818182,395.818182,238.590909,327.272727,265.545455,179.863636,150.818182,182.318182,218.727273,303.272727,412.090909,384.090909,302.136364,254.318182,344.772727,704.227273,106.136364,20.5,116.727273,133.545455,338.090909,508.909091,332.181818,431.590909,407.409091,168.409091,168.454545,531.818182,89.681818,204.909091,144,109.818182,217.727273,164.545455,199.863636,68,71.272727,80.727273,95.5,46.863636,239.409091,12979.272727,,,,,,,,,,,,,
MT,176.090909,307.545455,171.090909,155.136364,244.909091,162,300.045455,351.863636,336.954545,254.454545,294.272727,161.909091,280.409091,233.227273,124.590909,99.181818,131.772727,137.090909,237.318182,315.181818,266.272727,176.818182,151.5,246.181818,434.136364,25.318182,57.954545,36,106.454545,362.681818,583.136364,399.454545,636.409091,495.454545,194.590909,153.045455,312.136364,65.636364,190.681818,166.363636,147.636364,222.863636,189.636364,113.136364,47.727273,55.863636,62.454545,75.863636,41.181818,197.090909,10688.727273,,,,,,,,,,,,,
PL,179.681818,281.727273,97.181818,91.909091,244.181818,104.772727,228.590909,233.5,281.909091,193.909091,290.681818,199.681818,204.818182,180.590909,95.681818,70.636364,72.454545,74.227273,154.318182,136.454545,132.363636,59.727273,53.409091,135.5,369.727273,144.227273,47.272727,65.954545,78.545455,426.136364,557.863636,349.090909,613.545455,448.5,167.454545,73.681818,184,49.227273,177.727273,144.5,120.045455,599.954545,128.454545,60.136364,56.727273,30.272727,35.545455,41.363636,44.136364,150.272727,8962.272727,,,,,,,,,,,,,
CC,134.409091,231.5,114.681818,125.681818,194.409091,142.772727,241.545455,246.5,226.954545,190.454545,311.818182,146.909091,170.454545,157.318182,82.136364,71.954545,72.181818,73.863636,146.045455,125.818182,119.818182,67.909091,59.863636,152.590909,309.727273,133.863636,93.636364,72.954545,51.227273,196.454545,318.090909,239.045455,407.181818,321.909091,154.5,85.363636,153.772727,46.090909,125.772727,127.454545,118,229.727273,138.5,59.909091,29.227273,26.681818,35.363636,39.772727,31.727273,135.272727,7288.818182,,,,,,,,,,,,,
16,98,104.136364,47.681818,57.227273,108.818182,64.272727,144.818182,148.681818,116.772727,95.681818,125.409091,56.727273,67.090909,58.545455,40.227273,26.545455,28.545455,26.363636,50.954545,41.227273,36.5,24.954545,16.545455,75.227273,152.5,341.045455,343.318182,485.363636,226.181818,22.181818,79.363636,145.954545,243.727273,188.409091,90.5,33.590909,51.545455,19.727273,56.5,61.454545,67.954545,140.136364,80.909091,25.090909,12.772727,10.681818,10.727273,13.409091,19.045455,54.818182,4637.863636,,,,,,,,,,,,,
24,90.5,86.954545,30.772727,36,91.454545,41.454545,96.5,99.181818,90.090909,59.818182,101.454545,69,58.227273,30.954545,27.636364,28.409091,13.5,13.863636,40.909091,22.772727,25.318182,19.090909,9.954545,44.181818,102.227273,463.681818,477.409091,651,366.681818,84.590909,25.318182,132.545455,201.863636,162.090909,87.227273,11.318182,28.863636,14.318182,47.409091,56.545455,69.727273,101.272727,75.272727,13.545455,12.454545,7.545455,6.681818,8.909091,13.363636,39.772727,4489.636364,,,,,,,,,,,,,
GP,24.5,29.863636,11.636364,12.181818,44.772727,10.454545,31.090909,38.090909,45.909091,25.363636,22.136364,32.318182,16.136364,12.681818,8.636364,7.727273,7.045455,6,21.727273,16.318182,13.136364,6.272727,6.045455,21.318182,31.136364,301.181818,341.545455,398.363636,224.136364,152.954545,137.318182,9.863636,46.409091,40.363636,22.863636,5.727273,13.227273,3,14.5,26.045455,30.318182,64.409091,39.181818,4.590909,8.454545,4.818182,2.545455,2.181818,6.409091,17.045455,2419.954545,,,,,,,,,,,,,
BP,30.363636,39.909091,9.727273,12.545455,27.772727,14.727273,30.954545,34.636364,51.227273,31.181818,36.409091,25.227273,29.863636,23.272727,12.181818,8.409091,7.136364,6.409091,21.909091,12.590909,9.818182,2.863636,3.045455,24.954545,45.409091,369.227273,388.090909,735.863636,373.818182,204.454545,204.590909,42.454545,14.272727,40.681818,44.090909,7.090909,14.909091,2.863636,22.727273,34.681818,56.272727,74.681818,51.954545,6.227273,3.5,3.227273,4.545455,5,6.636364,19.045455,3283.454545,,,,,,,,,,,,,
DC,27.136364,51.636364,19.136364,13.136364,30.5,12.181818,22.454545,31.954545,64.045455,27,49.636364,42.681818,32.636364,25.636364,18.136364,12.454545,15,13.454545,23.181818,22.5,18.909091,7.090909,5.409091,11.454545,26.318182,394.590909,427,527.954545,336.909091,196.136364,179.772727,41.954545,51.727273,18.272727,21.954545,11.954545,28.136364,6.454545,24,47.454545,64.227273,125.363636,86.681818,9.363636,6.318182,9.090909,7.772727,11.090909,11.772727,27.181818,3296.818182,,,,,,,,,,,,,
CM,9,10.090909,2.590909,2.409091,7.409091,2.727273,7.409091,10.136364,23.318182,3.136364,9.090909,4.363636,5.818182,3.5,2.318182,2.545455,4.272727,2.409091,5.818182,3.818182,8.272727,2.363636,1.136364,2.863636,7.318182,162.363636,176.954545,210.045455,149.772727,82.863636,85.363636,28.5,47.045455,21.727273,9.090909,1.545455,3.818182,1.272727,8.681818,9.318182,23.363636,105,37.363636,0.409091,0.590909,1.181818,0.772727,0.772727,4.590909,9.318182,1325.863636,,,,,,,,,,,,,
