Exit stations,Entry stations->,,WEEKDAY,,,Jul 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
24,179.818182,165.772727,59.409091,88.909091,216.545455,98.863636,189.636364,287.545455,255.363636,130.863636,197.090909,122.318182,88.045455,73.636364,64.136364,41.681818,36.5,33,73,71.454545,59.318182,33.636364,33.409091,92,197.954545,1627.863636,1990.545455,1768.954545,934.909091,188.090909,46,233.136364,394.727273,231.136364,114.681818,27.272727,78.681818,35.318182,96.454545,104.772727,120.409091,172.454545,217.136364,37.363636,19.181818,26.818182,0,0,23.681818,50,11429.5,,,,,,,,,,,,,,
GP,41.636364,61.045455,27.409091,31.954545,128.5,34.636364,71.863636,147.409091,174.409091,49.409091,63.681818,53.272727,39.5,28,28.090909,14.409091,16.454545,13.227273,38.909091,44.227273,35.863636,13.818182,18.5,53.909091,69.409091,1111.909091,1354.272727,1144,644.5,307.909091,237.863636,23.727273,101.727273,56.318182,50.818182,13.181818,59.363636,15.636364,32.272727,33.363636,65.590909,121.318182,125.136364,23.136364,13.454545,15.681818,0,0,10.772727,32.681818,6894.181818,,,,,,,,,,,,,,
BP,57.090909,70.863636,20,22.818182,100.318182,28.409091,51.909091,112.227273,150.045455,58.590909,64.136364,49.636364,51.954545,36.136364,24.227273,14.818182,17.909091,14.045455,40.681818,37.5,36,8,8.363636,23.181818,49.409091,1328.318182,1739.181818,2123.636364,1022.045455,480.727273,382.954545,97.318182,34.227273,67.954545,67.909091,17.545455,52.590909,10.545455,31.5,49.954545,92.954545,150.954545,117.318182,18.545455,7.409091,14.909091,0,0,14.5,32.272727,9103.545455,,,,,,,,,,,,,,
DC,48.272727,85.409091,29.136364,25.909091,84.227273,21.909091,61.090909,134.227273,187.227273,61.772727,65.863636,65.727273,54.181818,30.318182,35.727273,24,29.272727,25.227273,50.227273,47.318182,40.454545,12.363636,14.590909,23.727273,49.863636,1328.181818,1705.5,1375,820.045455,353.772727,264.545455,59.545455,81.409091,28.681818,37.590909,23.272727,83.136364,20.681818,41,57.318182,116.181818,232.363636,210.136364,28.136364,12.454545,25.5,0,0,14.227273,41.818182,8268.545455,,,,,,,,,,,,,,
CM,16.772727,24,5.090909,5.681818,31.863636,9.454545,21.181818,71.727273,107.818182,7.863636,8.954545,13,8.409091,7.5,4.863636,5,6.090909,3.772727,20.454545,11.5,16.545455,4.318182,2.227273,4.272727,11.772727,856,978.863636,602.545455,471.636364,156.318182,116.272727,49.909091,66.090909,34.318182,13.272727,2.318182,14.954545,3,16.318182,20.681818,44.454545,148.227273,79.045455,3.227273,3.136364,2.227273,0,0,7,14.5,4134.454545,,,,,,,,,,,,,,
CV,4.681818,6.227273,5.727273,7.5,55.045455,9.181818,26.272727,78.409091,112.272727,127.363636,44.5,60.590909,40.045455,39.818182,15.818182,9.818182,17.318182,23.363636,4.681818,3.681818,3.954545,0.954545,2.590909,6.863636,11.409091,512.681818,554.818182,271.5,260.727273,78.954545,32.590909,15.409091,19.863636,25.954545,3.272727,12.590909,92.363636,0.954545,0.772727,4.409091,4.772727,24.954545,6.227273,64.363636,9.545455,16.5,0,0,0.636364,1.045455,2733,,,,,,,,,,,,,,
ED,12.909091,28,12.545455,16.636364,180.136364,29.818182,66.181818,217.818182,261.136364,182.5,135,166.181818,101.863636,136.772727,60.636364,39.181818,68.318182,55.681818,9.909091,4.954545,5.227273,2.045455,2.318182,11.136364,29.545455,2059.545455,1788.863636,734.954545,712.727273,242.272727,93.727273,68.181818,63.727273,83.863636,16.227273,89.318182,47.909091,2.090909,4.772727,22.727273,13.590909,146.863636,17.818182,60.954545,66.727273,43,0,0,1.727273,4.545455,8222.590909,,,,,,,,,,,,,,
NC,4.227273,5.227273,2.863636,4.772727,27.772727,4.863636,42.590909,107.727273,111.318182,7.181818,7.454545,14.590909,8.272727,4.363636,4.909091,1.318182,2,3.636364,40.5,31.545455,47.045455,10.363636,3.454545,19,4.772727,301.409091,321.863636,186.454545,190.090909,69.409091,33.590909,15.727273,14.409091,19.818182,3.363636,1.318182,1.318182,6.818182,19.681818,6.454545,10.818182,55.454545,5.409091,0.909091,9.681818,4.863636,0,0,17.181818,17.909091,1835.727273,,,,,,,,,,,,,,
WP,17,13.954545,6,8.409091,68.045455,11.181818,136.727273,171.363636,215.909091,20.454545,23.318182,32.818182,13.954545,7.636364,15.363636,6.454545,9,6.772727,130.363636,68.363636,124.636364,26.954545,12.136364,36.454545,15.590909,529.909091,494.590909,424.636364,393.727273,150.909091,116.272727,41.272727,46.5,45.863636,16.681818,0.727273,5.318182,20.181818,21.272727,18.363636,23.954545,133.090909,18.636364,1.818182,17.5,14.681818,0,0,14.454545,25.454545,3774.681818,,,,,,,,,,,,,,
SS,14.5,31.727273,5.590909,10.045455,34.863636,8.227273,24.545455,66.5,90.363636,16.863636,16.363636,18.727273,10.727273,10.090909,5.909091,4.318182,5,4.681818,20.181818,24.954545,19.318182,7.227273,7.045455,12.090909,20.318182,644.454545,752.818182,457.909091,373.272727,147.590909,101.636364,32.818182,52.818182,52.181818,21.045455,5.636364,24.454545,6.181818,15.727273,14.545455,28.863636,64.363636,59.954545,10.181818,2.363636,3,0,0,8.545455,21.636364,3392.181818,,,,,,,,,,,,,,
SB,19.863636,34.863636,12.409091,8.090909,36.409091,15.045455,25.045455,61.636364,75.954545,18.772727,21.863636,18.136364,11.545455,16.454545,11.045455,8.227273,4.090909,8.181818,22.590909,26.863636,17.136364,9.363636,6.363636,10.045455,23.136364,588.681818,689.636364,431.318182,344.681818,145.318182,122.727273,67.636364,109.409091,119.681818,37.681818,4.363636,11.636364,10.090909,21.727273,28.272727,12.681818,62.772727,52.545455,3.545455,2.772727,1.863636,0,0,12.318182,18.409091,3422.909091,,,,,,,,,,,,,,
SO,69.454545,138,75.272727,103.045455,142.227273,66.954545,129.181818,109.727273,125.590909,44.636364,69.272727,44.272727,49.590909,29.636364,20.5,24.136364,18.136364,29.636364,151.5,193.636364,189.318182,113.954545,89.727273,148.863636,146.318182,421.318182,425.272727,869.318182,387.454545,181.545455,147.954545,108.409091,147.454545,211.954545,140.863636,19.045455,122.545455,58.181818,135.727273,56.454545,51.727273,59.5,255.818182,38.181818,15.227273,12.636364,0,0,25.727273,114.681818,6329.590909,,,,,,,,,,,,,,
MB,27.363636,70.545455,32.227273,34.5,157.318182,29.818182,58.227273,121.090909,133.863636,16.454545,22.909091,17.090909,13.454545,8.090909,5,3.681818,3.727273,3.818182,30.227273,22.045455,24.136364,12.681818,12.136364,23.318182,44.136364,1048.818182,1295.545455,625.318182,557.272727,248.863636,192.681818,120.5,136.318182,211.727273,87.045455,5.636364,19.227273,5.590909,17.454545,57.681818,42.363636,278.318182,57.090909,4.954545,5.090909,0.954545,0,0,5.636364,16.045455,5968,,,,,,,,,,,,,,
WD,6.681818,13.681818,7.5,9.545455,78.681818,12.954545,23.318182,114.863636,132.545455,91.318182,60.681818,83.863636,61.727273,70.136364,34.318182,21.727273,33.772727,26.5,3.818182,3.318182,3.045455,0.318182,2.045455,5.318182,14.136364,848.136364,730,307.545455,290.818182,103.045455,42,31.545455,25.409091,34.227273,3.681818,74.090909,43.681818,1.045455,2.318182,8.5,4.636364,44.5,6.636364,14.863636,30.090909,20.727273,0,0,0.818182,1.363636,3585.5,,,,,,,,,,,,,,
OA,10.636364,31.272727,27.454545,32.318182,47.772727,23.090909,27.772727,36.454545,44.818182,17.272727,11.681818,27.545455,5.272727,6.136364,7.318182,5.772727,15.318182,17.454545,30.090909,40.909091,33,20.772727,12,15.227273,8.090909,155.863636,118.909091,88.5,65.727273,24.363636,22.636364,16.636364,9.045455,12.409091,3.136364,7.454545,58.772727,9.772727,20.727273,2.681818,5,20.5,4.272727,26.272727,6.318182,13.090909,0,0,2.681818,15.318182,1265.545455,,,,,,,,,,,,,,
WS,15.909091,49.636364,21.954545,22.090909,228.772727,35.090909,60.954545,215.454545,188.818182,93.136364,87.409091,101.227273,80.454545,70.454545,98.090909,77.909091,83.772727,85.681818,14.318182,14.272727,14.863636,5.636364,6.5,14.181818,15.136364,797.181818,774.590909,304.090909,282.818182,99.409091,30.227273,15.454545,18.272727,25.909091,2.136364,17.818182,40.272727,6.772727,15.090909,2.909091,1.954545,19.545455,2.454545,16.954545,15.318182,30.272727,0,0,7.136364,10.681818,4239,,,,,,,,,,,,,,
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PC,10.045455,7.954545,3.727273,3.954545,34.181818,6.636364,46.909091,49.363636,54.090909,7.090909,11.954545,18.636364,8.045455,4.954545,5.636364,2.454545,2.818182,4.363636,90.181818,31.090909,44,12.5,9.363636,15.363636,6.545455,92.954545,114.772727,106.727273,95.045455,37.318182,21.409091,13.772727,16.363636,13.136364,6.409091,0.727273,1.681818,17,12.954545,6.590909,10.772727,24.045455,4.5,1.045455,3.454545,6.818182,0,0,7.090909,21.727273,1128.181818,,,,,,,,,,,,,,
AN,13.227273,10.227273,5.090909,5.136364,49.772727,8.136364,112.181818,119.272727,165.409091,19.909091,18.227273,39.318182,16.272727,5.636364,15.409091,5.454545,8.454545,7.272727,100.272727,52.227273,95.090909,13.181818,9.454545,35.181818,18.454545,378.818182,302,280.681818,266.772727,110.090909,55.681818,38.681818,37.363636,43.409091,19.136364,1.136364,5.818182,23.181818,25.272727,21.227273,20,121.954545,19.772727,1.681818,21.5,12.045455,0,0,24.727273,23.545455,2802.772727,,,,,,,,,,,,,,
Entries,4398.772727,7356.090909,4453.5,4061.590909,11292.590909,5059.227273,8476.636364,12988.136364,13379.409091,6704.909091,7453.954545,5598.454545,5975.045455,5121.636364,4337.954545,2971.5,4828.636364,5859.136364,5415.5,7437.136364,6323.045455,3428.090909,2860.227273,5253.454545,7538.590909,41667.636364,42323.954545,28652.045455,24156.045455,12787.818182,12036.363636,7554.136364,10538.954545,8322.454545,4296.909091,2792.772727,8464,1965.227273,3742.318182,3408.772727,3509.136364,7050.227273,6475.318182,3455.590909,1285.363636,4354.409091,0,0,1249.636364,2802.454545,401464.772727,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
