Exit stations,Entry stations->,,WEEKDAY,,,Feb 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
LF,7.421053,7.052632,7.947368,6.315789,65.157895,8.368421,57.368421,168.210526,149.947368,7.842105,12.631579,17.684211,5.105263,1.684211,6.263158,1.526316,3.578947,6,95.263158,55.263158,52.315789,15.105263,13.736842,66.105263,3.736842,877.736842,834.210526,252.157895,274.157895,64.315789,37.105263,19.105263,14.526316,28.789474,4.526316,0.421053,1.315789,10.736842,25.052632,5.789474,9.947368,76.210526,14.157895,0.578947,22.052632,3.473684,0,0,14,14.421053,3446.421053,,,,,,,,,,,,,,
OR,7.842105,11.789474,4.578947,8.052632,50.210526,7,40.789474,120.263158,130,9.368421,15.736842,12.105263,7.894737,2.105263,4.421053,1.842105,3.631579,7.473684,36.052632,32.052632,35,17.157895,18.578947,47.947368,2.894737,788.210526,729.526316,229.842105,234.210526,61.368421,29.736842,29.684211,18.578947,22.157895,1.842105,1.894737,2.368421,6.526316,9.631579,6.421053,9.473684,62.210526,11.631579,0.789474,12.578947,5.263158,0,0,6.631579,11.368421,2926.736842,,,,,,,,,,,,,,
RR,23.263158,33.894737,27.526316,19.157895,52.263158,11.736842,58.052632,207.947368,205.263158,36.421053,43.052632,23.684211,21.947368,5.526316,16.157895,7.894737,10.421053,17.105263,81.105263,113.947368,136.894737,60.157895,57.157895,22.263158,17.473684,1086.578947,1165.736842,548.894737,655.684211,214.263158,100.736842,48.421053,53.052632,45.684211,4.473684,4.210526,9.526316,22.421053,35.315789,12.526316,12.526316,104.789474,27.315789,5.631579,13.052632,11.894737,0,0,16.789474,33.526316,5543.368421,,,,,,,,,,,,,,
OW,20.736842,29.947368,9.578947,12.842105,70.947368,21.473684,39.947368,57.947368,105.263158,33.684211,88.368421,82.473684,39.157895,29.578947,31.368421,14.631579,11.947368,9.894737,15.947368,9.421053,16.789474,4.947368,2.578947,16.684211,25.578947,1774.894737,1578.842105,1040.263158,877.105263,359.157895,203.315789,55.421053,78,67.736842,14.842105,10.052632,24.473684,5.105263,15.473684,19.368421,24,83.105263,34.947368,8.473684,7.052632,13.947368,0,0,9.789474,14.052632,7121.157895,,,,,,,,,,,,,,
EM,461.947368,1000.631579,688,703.157895,1052.842105,901.368421,1324.315789,1895.368421,1717.315789,1199.578947,1173.315789,628.684211,977.157895,855.947368,601.526316,506.315789,1053.947368,1500,1034.842105,2062.736842,1588.684211,1014.526316,914.894737,1222.210526,2241.263158,189.631579,146.578947,503.263158,674.578947,1207.157895,1960.526316,1299.052632,1655.421053,1358.526316,881.789474,653.842105,2385.473684,411.631579,624.894737,660.421053,636.368421,310.473684,1113.263158,916.947368,150.684211,816.315789,0,0,139.052632,460,47476.473684,,,,,,,,,,,,,,
MT,488.105263,957.421053,658,673.736842,867.421053,804.578947,1183.842105,1570,1258.315789,1163.894737,1061.157895,575.684211,883.105263,770.421053,588.526316,451.578947,848.894737,1158,909.526316,1799.894737,1296.894737,751.315789,674.473684,1065.947368,1787.789474,176.947368,173.210526,194.421053,676.842105,1534.421053,2518.789474,1749.263158,2645.947368,2069.842105,1181.263158,576.421053,1857.315789,399.578947,591.210526,866.842105,826.894737,362.526316,1644.894737,704.578947,104.631579,821.684211,0,0,115.736842,366.157895,46407.947368,,,,,,,,,,,,,,
PL,396.105263,629.947368,311.736842,314,556.736842,370.157895,658.157895,777.684211,831.947368,599.105263,710.421053,456.526316,494.315789,422.157895,282.736842,200.789474,278,339.842105,409.263158,523.210526,400.736842,206.368421,177.368421,410.105263,989.578947,752.157895,346.210526,125.526316,351.052632,1165.315789,1551.315789,1024.157895,1933.736842,1152.263158,505.578947,220.263158,628.631579,189.736842,358.947368,384.315789,433.263158,855.789474,747.789474,252.263158,87.052632,259.421053,0,0,99.526316,244.210526,25415.526316,,,,,,,,,,,,,,
CC,326.736842,617,385.473684,402.052632,560.578947,474.157895,748,882,749.210526,609.842105,721.052632,374.684211,461.368421,415.473684,287.368421,230.526316,306.473684,326.157895,394.631579,545.052632,392.052632,239.315789,199.894737,520.947368,892.578947,660.368421,645.368421,328.473684,78.473684,580.052632,968.894737,759.736842,1276.894737,805.157895,491.526316,228.368421,584.526316,198.684211,309.736842,393.473684,369.473684,334,608.684211,236.789474,53.684211,250.052632,0,0,76.157895,228.210526,22529.421053,,,,,,,,,,,,,,
16,157.947368,228.157895,119.210526,143.894737,299.789474,227.526316,337,415.473684,328.105263,240.578947,301.842105,145.947368,142.263158,146.473684,96.842105,76.736842,84.315789,94.210526,116.052632,148.894737,88.263158,49.842105,52,181.894737,369.736842,1253.368421,1651.263158,1380.315789,665.789474,37.842105,203.105263,301.947368,621.473684,302.631579,149.157895,69.473684,196.631579,58.947368,131.526316,137.421053,135.263158,147.684211,250.421053,70.315789,21.105263,75.210526,0,0,32.684211,87.368421,12573.947368,,,,,,,,,,,,,,
24,162.263158,160.473684,57.315789,82.894737,240.052632,108.947368,192.684211,309.052632,280.473684,137.526316,208.052632,119.947368,93.368421,71.631579,54.631579,45.631579,34.789474,30.631579,76.526316,79.684211,59.210526,35.421053,26.947368,92.526316,208.842105,1698.842105,2190.842105,1842.210526,1022.684211,222.526316,42.473684,231.052632,539.105263,245.631579,116.315789,29.842105,70.105263,32.157895,92.157895,88.894737,112.578947,130.052632,210.263158,33.052632,20.052632,30.210526,0,0,19.736842,48.578947,12038.894737,,,,,,,,,,,,,,
