Exit stations,Entry stations->,,WEEKDAY,,,Sep 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
SB,22.9,39.4,11.1,10.65,40.05,14.2,27.5,64.9,79.4,18,24.2,24.55,11.85,15.55,12.6,7.15,3.9,8.1,26.75,26.35,17.9,7.3,8.15,14,23.2,635.75,757.15,430.4,394.3,141.9,128.75,68.95,116.8,152.4,40.2,5.7,12.4,10.2,23.75,34.1,13.7,57.85,56.6,4.55,4.4,2.25,0,0,13.1,23,3687.85,,,,,,,,,,,,,,
SO,68.05,120.8,66.15,86.65,127,56.25,125.15,104.95,135.8,43.25,66.35,44.9,47.2,30.7,26.3,20.3,24.1,26.9,154.7,183.1,179.95,101.5,82.65,141.25,135.7,379.75,431.85,758.45,429.35,176.9,142.6,96.05,146.8,218.2,148.65,18.95,111.85,57.1,118.1,55.2,47.4,63.55,223.7,30.95,20.9,15.6,0,0,24,112.2,6027.75,,,,,,,,,,,,,,
MB,24.9,73.05,31.8,34.8,144.75,35.15,64.4,128.15,132.9,14.9,22.95,23.55,13.95,10.1,5.65,3.35,3.6,2.65,25.55,26.05,23.75,14.85,12.1,22.2,44.35,1037.95,1300.3,603.1,590.85,252.55,199.05,131.9,165.35,302.1,94,4.9,14.8,4.75,15,64.65,38.85,250.5,50,6.7,6.55,1.1,0,0,5.8,14.35,6094.55,,,,,,,,,,,,,,
WD,6.2,12.25,6.9,5.2,49.5,12.45,26.6,120.15,132.6,111.35,62.85,112.7,54.2,64.2,40.1,19.85,28.75,26.4,4.15,5.05,3.1,0.1,1.4,5.05,13.75,890.75,776.55,317.95,298.9,109.25,40.75,31.2,31.2,65.7,3.95,64.7,44.3,1.55,1.75,6.25,5.1,41.65,6.9,20.45,31.8,19.95,0,0,0.95,1.7,3738.1,,,,,,,,,,,,,,
OA,10.6,34.1,28,33.35,59.8,20.7,30.4,40.75,54.4,20.45,12,42,8,4.95,10.55,5.6,16,18.1,33.85,43.35,37.65,18.95,12.45,12.95,9.1,192.7,154.95,107.75,86.95,29.7,25.45,18,12.2,17.25,3.25,7.55,62.05,11.5,19.45,4.65,5.75,17.75,4.85,28.65,9.45,10.95,0,0,2.8,19.25,1470.9,,,,,,,,,,,,,,
WS,16.9,44.5,27.3,26.55,195.05,34.25,70.4,219.4,180.55,100.85,86.35,162.75,86.8,90.1,168.15,105.9,116.05,112.95,18.75,17.4,16.1,3.85,6.3,16.05,16.65,804.25,826.7,303.9,286.05,107.65,30.15,16.05,23.6,60.95,2.2,22.4,40,7.35,13.2,3.9,1.6,20.95,1.15,16.7,14.85,32.8,0,0,8.1,13.55,4597.95,,,,,,,,,,,,,,
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PC,9.35,6.7,2.5,5.45,35.3,7.9,57.6,58.75,60.85,13.15,13.3,19.6,7.1,5.35,12.05,3.6,2.35,4.3,96.3,39.7,48.25,10.45,11.2,20.85,8.65,112.5,119.5,114.15,101.7,39.95,24.6,14.3,22.3,30.6,7.9,0.8,1.95,15.85,14.75,7.7,11.65,21.3,4.85,1.6,4.55,4.9,0,0,6.85,27.05,1271.9,,,,,,,,,,,,,,
AN,11.75,10.25,5.15,6.7,54.45,12.55,124.85,129.6,167.55,25.5,19.2,50.15,15.45,7.3,27.45,6.5,8,9.1,129.05,65.2,97.85,16.5,12.25,38.15,19.25,395.5,340.55,292.3,287.55,114.15,62.25,46.8,47.65,100.45,19.35,1.3,4.6,21.85,27.8,18.25,28.7,101.8,18.85,2.05,23.1,17.25,0,0,28.65,22.8,3093.3,,,,,,,,,,,,,,
