Exit stations,Entry stations->,,WEEKDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
LF,4.363636,4.5,2.227273,1.818182,14.136364,3.045455,13.909091,25.227273,21.954545,3.409091,8.181818,14.227273,2.545455,1.272727,1.909091,0.409091,0.909091,0.5,49.363636,18.136364,24.090909,6.045455,8.045455,19.318182,1.954545,121.181818,98.272727,49.409091,52.772727,18.590909,14.181818,4,2.636364,3.818182,2.727273,0.818182,1.090909,2.090909,12.454545,0.954545,2.636364,33.181818,2.954545,0.136364,9.818182,0.363636,0.590909,0.954545,7.227273,7.409091,701.772727,,,,,,,,,,,,,
OR,4.5,3.909091,1.136364,2.318182,9.590909,1.590909,10.090909,15,19.409091,2.136364,11.681818,9.454545,3.045455,2.954545,1.863636,0.954545,0.590909,1.590909,11.636364,9.363636,15.409091,7.227273,5.363636,15.136364,2.045455,100.181818,83.909091,39.318182,42.727273,15.272727,8.5,5.318182,4.045455,4.909091,0.681818,0.681818,0.590909,0.954545,5.636364,1.136364,0.818182,22.409091,2.045455,0.045455,5.409091,1,0.818182,0.818182,3.954545,3.863636,523.045455,,,,,,,,,,,,,
RR,8.181818,13.590909,13.272727,4.272727,7.272727,3.454545,20.5,40.818182,35.136364,5.045455,23.045455,17.909091,7.318182,6.363636,6.318182,2.181818,3.227273,3.318182,28.772727,34,37.863636,20.545455,19.181818,8.863636,9.954545,159.545455,127.727273,103.681818,107.772727,49.954545,30.545455,14.318182,23.772727,8.5,1.909091,1.227273,2,5.909091,19.318182,1.590909,4.090909,49.909091,3.909091,0.5,7.545455,1.590909,2.363636,1.409091,7,17.863636,1134.363636,,,,,,,,,,,,,
OW,10.636364,13.272727,3.272727,3.363636,29.818182,9.318182,22.363636,18,30.318182,9.181818,53.090909,48.545455,22.318182,16.772727,15.772727,10.772727,5.954545,5.545455,9.590909,5.5,9.863636,1.636364,1.454545,9.409091,12.136364,367.5,251.227273,276,232.272727,113.5,88.318182,21.545455,28.318182,18,5.136364,4.818182,10.090909,0.681818,6,11.909091,7.318182,39.409091,12.227273,2.681818,4.318182,3.818182,1.590909,4.045455,3.454545,10.636364,1902.727273,,,,,,,,,,,,,
EM,139.090909,282.545455,127.454545,123.772727,238.590909,122.090909,229.318182,262.227273,237.5,189.636364,252.909091,156.954545,212.727273,167.681818,102.681818,94.5,86.590909,89.545455,170.590909,241.636364,206.045455,136.727273,116.5,180.863636,410.863636,50.227273,15.363636,67.681818,93.590909,185.545455,294.409091,184.5,281.181818,244.409091,83.909091,86.136364,253.636364,54.681818,140.909091,67,52.318182,126.772727,66.227273,88.909091,42.181818,27.272727,29.136364,44.5,33.090909,159.136364,7351.772727,,,,,,,,,,,,,
MT,151.909091,236.727273,108.045455,92.045455,171.909091,101.545455,210,230.818182,198.590909,176.5,214.136364,135.681818,203.181818,167.590909,87.136364,77.772727,80.363636,74.090909,152.636364,183.727273,161.863636,98.045455,89.409091,138.318182,299,15.545455,34.454545,22.318182,69.363636,224.227273,364.909091,234.909091,492.090909,289.5,122.363636,90.954545,172.909091,50.954545,152.727273,93.772727,83.181818,133.045455,99.272727,58.272727,27.590909,29,26.636364,38.636364,33.772727,113.545455,6915,,,,,,,,,,,,,
PL,159.727273,232.136364,87.227273,63.863636,181.045455,77.818182,158.5,162.772727,197.863636,154.090909,252,150.409091,153.772727,131.909091,76.318182,58.045455,58.045455,49.136364,130.090909,116.363636,94.636364,43.227273,34.863636,90.590909,260.227273,82.636364,27.045455,46.363636,59.318182,301.545455,407.818182,251.181818,468.590909,338,137.045455,51.045455,126.136364,45.545455,138.5,107.681818,92.727273,330.590909,82.818182,46.363636,39.590909,22.136364,24.181818,24.954545,44.772727,106.409091,6577.681818,,,,,,,,,,,,,
CC,119.181818,179.227273,88.136364,95.772727,138.5,91.409091,183.136364,173.818182,164.954545,126.363636,247.090909,118.818182,140.409091,104.454545,77.454545,51.045455,51.363636,46.636364,122.318182,96.909091,99.454545,55.590909,41,100.045455,226.772727,90.5,58.363636,49.227273,29.954545,136.181818,230.772727,175,296.272727,230.590909,120.545455,53.818182,111.590909,41.318182,106.863636,91.454545,78.363636,137.863636,95,45,17.727273,18.681818,18.818182,28.818182,20.590909,101.5,5324.681818,,,,,,,,,,,,,
16,79.772727,77.909091,34.545455,40.090909,85.863636,57.772727,104.727273,106.772727,84.909091,74.136364,97.727273,61.909091,54.227273,49.045455,34.090909,22.681818,20.318182,22.5,45.272727,32,38.727273,21,13.954545,48.136364,120.772727,173.772727,207.363636,334.727273,155.954545,13.954545,51.454545,104.590909,173.136364,136.227273,69.454545,16.681818,39.545455,15.5,52.772727,47.409091,53.272727,95.818182,60.636364,17.590909,9.227273,8.954545,8.454545,10.954545,16.909091,41.727273,3344.954545,,,,,,,,,,,,,
24,81.727273,79.909091,28.136364,29.318182,71.5,32.545455,80.136364,67.5,65.772727,43.772727,92.545455,55.863636,52.181818,23.954545,22.272727,19.090909,12.090909,14.409091,38.863636,25.227273,21.227273,16.5,8.636364,33.545455,91.681818,258.136364,312.363636,478.772727,260.545455,47.318182,15.5,91.272727,147.045455,122.863636,64.181818,6.818182,22.909091,12.954545,44.272727,48.363636,53.136364,72.954545,53.363636,12.409091,9.681818,4.909091,5.454545,6.363636,13.090909,35,3308.090909,,,,,,,,,,,,,
