Exit stations,Entry stations->,,WEEKDAY,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,,
OR,8.363636,14.181818,7.545455,6.681818,52.5,5.909091,42.681818,114.090909,118.863636,8.136364,17.909091,24.636364,9.727273,1.909091,4.863636,1.863636,3.181818,12.272727,40.090909,24.5,43.681818,19.681818,12.181818,59.136364,3.681818,775.681818,726.318182,241.818182,231.045455,55.681818,29,28.5,14.863636,18.136364,3.636364,3.590909,1.909091,7.954545,21.409091,10.954545,7.727273,77.045455,11.409091,0.545455,15.181818,3.590909,2944.272727,,,,,,,,,,,,,,
RR,24.727273,35.5,31.136364,20.545455,49.227273,14.545455,56.545455,221.863636,197.045455,32.954545,47.5,51.454545,21.772727,9.818182,15.272727,10.045455,11.454545,22.318182,84.772727,113.681818,140.681818,67.818182,59.863636,23.090909,18.909091,1091.772727,1203.090909,550.272727,663.954545,211.863636,112.727273,53.772727,44.818182,38.454545,6.227273,3.818182,10.045455,23.636364,60.681818,10.681818,11.863636,132.590909,25.227273,5.681818,17.863636,8.727273,5670.318182,,,,,,,,,,,,,,
OW,23.636364,36.772727,10.363636,10.954545,72.954545,24,47.454545,61.772727,96.818182,33.818182,91.272727,92.136364,47,36.818182,28.818182,15.681818,12.636364,12.454545,18.590909,10.590909,15.863636,4.181818,3.772727,19.818182,26.136364,1702.181818,1555.227273,1030.772727,853.181818,362.727273,216.318182,63.090909,75.136364,61.045455,12.590909,10.818182,27.045455,4.863636,39.181818,14.318182,27.454545,96.772727,34.636364,9.454545,8.909091,11.181818,7071.227273,,,,,,,,,,,,,,
EM,517.090909,1104.909091,719.045455,734.772727,1118.590909,944,1301,1810.909091,1658.136364,1188.681818,1183.272727,746.136364,960.227273,880.772727,629.772727,548.136364,1040.090909,1639.545455,1121.909091,2149.272727,1644,1021.136364,896.227273,1230.681818,2171.818182,200.681818,131.772727,498.909091,602.409091,1105.227273,1781.409091,1248.772727,1499.318182,1326.045455,859.545455,645.590909,2385.045455,610.772727,1038.227273,640.545455,648.136364,434.363636,1067.772727,950.227273,157.727273,758,47550.636364,,,,,,,,,,,,,,
MT,489,1024.136364,681.545455,688.136364,880.454545,835.545455,1222.681818,1525.181818,1205.954545,1106.545455,1057.590909,636.272727,857.590909,746.363636,600.727273,437.681818,848.909091,1211.5,973.5,1835.045455,1326.090909,752.454545,684.636364,1056.227273,1736.545455,155.181818,158.318182,195.045455,573.818182,1416,2413.318182,1647.409091,2518.727273,1940.772727,1163.181818,573.727273,1869.181818,541,915.409091,872.181818,818.818182,402.045455,1527.409091,751.363636,97.818182,736.090909,45707.136364,,,,,,,,,,,,,,
PL,381.636364,642.545455,313.045455,318.454545,622.909091,373.909091,690.181818,804.590909,788.454545,597.681818,733.136364,561.363636,475.454545,439.590909,280.590909,216.363636,292.5,361.545455,436.681818,487,406.454545,193.727273,179.454545,408.590909,949.590909,744.954545,304.272727,114.5,345.5,1219.454545,1612.772727,1051.727273,1899.363636,1193.136364,549.181818,238,623.045455,237.590909,586.863636,418,378.090909,1043.590909,670.954545,258.227273,115.045455,238.909091,25798.636364,,,,,,,,,,,,,,
CC,325.363636,623.590909,369.454545,400.136364,562.454545,489.318182,758.181818,865.636364,744.727273,568.363636,709.363636,406.727273,449.045455,395,287.181818,222.818182,306.227273,341.909091,407.772727,523.954545,387.454545,219.909091,191.636364,545.409091,845.863636,601.409091,592.136364,311.772727,79.136364,574.590909,953,732.636364,1214,782,496.272727,231.136364,594.454545,253.454545,531.454545,419.5,349.590909,405.863636,609.545455,248.181818,55.954545,224.045455,22207.636364,,,,,,,,,,,,,,
16,154.272727,212.090909,115.136364,154.363636,296.954545,213.590909,344.772727,407.454545,288.863636,235.909091,270,161.772727,138.590909,131.318182,84.136364,72.954545,66.818182,85.863636,109.272727,143.181818,101.363636,46.5,48.863636,172.5,361.818182,1160.5,1530.681818,1457.454545,636.181818,32.636364,206.772727,303.5,560.818182,283.181818,141.272727,62.409091,168.772727,72.363636,174.363636,122.863636,132.363636,176.181818,248.863636,70.136364,20,51.227273,12030.909091,,,,,,,,,,,,,,
24,158.818182,167.636364,58.954545,92.954545,236.272727,121.545455,215.181818,302.363636,271.590909,139.318182,199.045455,142.954545,85.681818,77.545455,55.045455,42.090909,33.181818,31.909091,74.409091,70.590909,59.318182,32,26.545455,98.545455,221.318182,1581.272727,2085.272727,1862.681818,998.863636,213.409091,38.318182,255.590909,514.545455,240.363636,125.454545,23.181818,79.590909,42.272727,143.227273,100.318182,117.227273,151.818182,215.590909,34.772727,21.363636,24.272727,11884.227273,,,,,,,,,,,,,,
GP,42.909091,67.863636,28.227273,27.727273,123.545455,34.909091,70.272727,155.954545,154.318182,51.681818,63.590909,83.045455,39.090909,28.772727,27.272727,12.727273,10.909091,25.136364,38.681818,50.045455,45.727273,18.727273,18.590909,42.636364,65.318182,1104.318182,1366.545455,1164.636364,665.454545,298.318182,253.136364,35.227273,115.545455,59.681818,55.363636,18.818182,70.227273,18.409091,66.909091,36.090909,55.454545,96.954545,133.772727,24.818182,13,10.727273,6991.090909,,,,,,,,,,,,,,
BP,58.863636,82,33.636364,31.5,97.5,39.5,71.181818,110.318182,161.136364,74.090909,77.636364,71.181818,61.818182,40.818182,30.818182,23.045455,17.681818,25.727273,46.818182,36,36.409091,8.363636,12.227273,39.5,79.954545,1297.818182,1701.818182,2189.409091,1100.590909,495.045455,495.045455,112.409091,53.454545,88.636364,77.454545,18.363636,61.545455,20.545455,74.681818,70.272727,96.409091,96.272727,142.863636,18.863636,6.090909,10.590909,9595.909091,,,,,,,,,,,,,,
DC,88.727273,158,47.363636,43.681818,120.5,49.181818,86.636364,140.636364,187.772727,116.409091,127.272727,155.909091,107.954545,77.136364,54.318182,47.227273,52.363636,63.636364,96.090909,75,67.909091,18.863636,18.227273,35.454545,73.727273,1245.954545,1707.863636,1361.681818,767.409091,297.181818,267.636364,58.727273,103.5,28.363636,42.181818,33.363636,107.454545,54.136364,137,72.818182,111.181818,190.409091,268.318182,49.954545,14.181818,30,9059.318182,,,,,,,,,,,,,,
CM,12.863636,25.590909,4.090909,5.681818,34.545455,8.590909,25.363636,71.5,121.409091,12.545455,8.181818,16.727273,10.136364,7.409091,5.863636,5.363636,5.636364,6.772727,27.818182,11.954545,17.863636,5.636364,2.909091,5.681818,14.227273,843.318182,1030.318182,628.454545,463.136364,138.318182,121.409091,47.909091,76.863636,37.227273,15.681818,3.136364,15,6.818182,33.227273,20.045455,44.681818,127.590909,84.545455,4.272727,2.227273,1.954545,4220.5,,,,,,,,,,,,,,
CV,3.863636,6.409091,5,9.454545,49.409091,8.5,21.181818,74.727273,108.954545,110.863636,58.090909,69.590909,38.545455,51.409091,37.272727,15.272727,18.954545,31.681818,8,4.727273,4.863636,1.772727,2.727273,5.818182,11.909091,518.136364,558.545455,289.818182,255.227273,74.681818,27.272727,23.363636,20.909091,36.727273,3.954545,11.909091,93.409091,1.409091,3.454545,3.409091,8.909091,22.090909,5.545455,60.045455,7.772727,12.181818,2797.772727,,,,,,,,,,,,,,
