Exit stations,Entry stations->,,WEEKDAY,,,Apr 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
MT,124.227273,162.954545,67.863636,39.045455,68.318182,56.363636,104.454545,121.227273,124.681818,104.227273,162.636364,100.636364,136.5,123.954545,65.863636,55.363636,46,42,110.681818,92,78.590909,46.636364,33.409091,58.409091,217.954545,12,15.136364,19.090909,42.545455,123.454545,201.772727,150.136364,344.272727,194.272727,82.545455,48.363636,78.681818,28.818182,114.636364,51,55.136364,51.545455,46.545455,30.590909,9.590909,15.909091,14.136364,14.863636,24.181818,74.136364,4187.363636,,,,,,,,,,,,,
PL,112.863636,167.363636,58.318182,32.590909,69.090909,62.136364,105.136364,105.045455,139.636364,103.454545,202.681818,109.045455,122.5,102.272727,61.363636,40.818182,36.818182,29.090909,90,72.136364,58.318182,25.772727,18.181818,43.954545,226.136364,60.363636,16.954545,21.727273,36.045455,190.5,276.454545,184.5,369.954545,251.454545,95.727273,36.045455,84,25.818182,99.227273,73.272727,66,95.818182,37.863636,26.590909,12.363636,10.863636,10.363636,13.272727,34,76.318182,4400.227273,,,,,,,,,,,,,
CC,87.318182,137.045455,55.409091,41.818182,60.863636,48.772727,111.772727,110.181818,103.590909,88.363636,188.454545,102.590909,90.181818,83.863636,49.681818,37.636364,37.818182,26.863636,94.090909,70.272727,54.136364,29.090909,15.318182,46.863636,167.318182,53.772727,35.136364,31.727273,17.5,87.272727,126.681818,99.454545,231.181818,168.272727,77.818182,30.409091,66.545455,28.545455,82.136364,57.272727,53.181818,53.045455,49.363636,20.909091,7.590909,7.181818,11.545455,14.636364,17.181818,66.954545,3434.636364,,,,,,,,,,,,,
16,73.045455,70.5,22,23.454545,38.818182,28.590909,65.681818,67.272727,57.863636,50.545455,85.590909,49.363636,43.909091,36.454545,26.090909,20.863636,13.545455,14.818182,32.636364,29.181818,27.909091,11.136364,9.636364,25.090909,94.681818,95.954545,115.363636,218.590909,104.045455,10.681818,32.363636,59.954545,128.409091,110.681818,55.954545,8.090909,25.227273,12.318182,49.136364,31.181818,37.863636,40.818182,30.954545,9.181818,3.772727,3.954545,3.590909,4.909091,16.227273,35.590909,2263.5,,,,,,,,,,,,,
24,74.363636,78.181818,18.772727,17.818182,29.454545,19.227273,44.363636,41.818182,46.636364,36.590909,84.954545,50.818182,37.454545,29.363636,15,14.590909,10.409091,9.681818,31.772727,17,17.045455,9.909091,6.090909,17.363636,65.954545,129.181818,173.590909,326.181818,160.727273,35.181818,11.954545,61.090909,117.727273,90.545455,53.772727,5.227273,14.272727,9.909091,39.090909,42.045455,41.272727,25.863636,27.5,9.5,4.681818,2.545455,4.727273,5.318182,11.318182,25.090909,2252.954545,,,,,,,,,,,,,
GP,18.5,20.727273,5.772727,5.090909,11.363636,4.318182,14.318182,16.863636,21.590909,17.136364,19.454545,18.136364,11.5,8.636364,9.363636,5.409091,2.181818,1.454545,13.045455,7.363636,4.772727,3.181818,1.681818,8.136364,13.136364,80.681818,126.318182,190.954545,97.181818,64.045455,58.090909,5.818182,15.909091,20.409091,15.181818,2.681818,6.318182,1.727273,11.090909,8.818182,22.136364,17.5,11.818182,3.409091,2.545455,0.909091,1.181818,1.136364,3.863636,12.909091,1045.772727,,,,,,,,,,,,,
BP,21.181818,25.318182,6.818182,3.272727,13.772727,4.636364,14.818182,17.954545,33.909091,19.727273,25.863636,22.818182,13,12.045455,8.045455,7,5,2.863636,10.727273,3,8.045455,0.909091,2.954545,6.727273,22.727273,149.227273,193.318182,468.272727,220.818182,109.090909,104.909091,18.272727,6.545455,18.318182,24.590909,3.090909,7.181818,0.681818,10.363636,19.954545,32.227273,24.909091,24.545455,4.727273,2.318182,2.863636,1.590909,2.409091,3.772727,8.045455,1775.181818,,,,,,,,,,,,,
DC,11.772727,18.863636,4.727273,5.681818,8.772727,3.545455,11.545455,15.409091,24.272727,11.545455,20.818182,22.954545,10.954545,10.045455,9.136364,3.909091,5.045455,5.409091,8.363636,7.227273,9.090909,2.636364,2.636364,3.318182,14.454545,137.954545,163.272727,309.227273,182.181818,110.045455,90.681818,20.136364,20.727273,9.136364,10.227273,2.409091,11.636364,0.727273,9.545455,21.181818,32.636364,46.136364,28.181818,2.590909,2.227273,2.818182,2.272727,1.636364,4.045455,13.909091,1487.681818,,,,,,,,,,,,,
CM,6.363636,7.727273,1.136364,2.090909,2.727273,2.590909,6.772727,6.454545,13,2.5,5.454545,3.090909,2.772727,2.818182,1.363636,2.545455,1.545455,1.363636,3.227273,2.363636,4.090909,1.409091,1.090909,0.727273,5.636364,50.772727,59.727273,113.090909,74.772727,46.363636,50,15.909091,27.727273,9.863636,3.818182,0.590909,2.272727,0.727273,7.863636,5.818182,15.045455,40.727273,15.590909,0.090909,0.272727,0.863636,0.5,0.318182,2.454545,9.318182,645.363636,,,,,,,,,,,,,
CV,0.727273,1.5,1.5,1.681818,3.818182,1.818182,5,3.363636,4.545455,22.636364,21.227273,21.272727,17.318182,32.681818,5.409091,3.318182,3.727273,6.545455,0.454545,0.545455,0.636364,0.090909,0.454545,0.863636,3.727273,35.272727,45.954545,40.454545,30.5,11.727273,6.318182,3.227273,3.5,2.409091,0.363636,2.363636,30.181818,0.090909,0.090909,1.590909,3.227273,2.863636,0.818182,16.590909,1.545455,1.363636,0.727273,0.954545,0.227273,0.227273,407.454545,,,,,,,,,,,,,
