Exit stations,Entry stations->,,WEEKDAY,,,Jul 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
LF,2.181818,2.045455,1.590909,0.136364,2.318182,1.545455,7.227273,6.136364,5.454545,1.863636,7.272727,2.727273,2.772727,0.863636,1.045455,0.818182,0.818182,0.363636,35.409091,12.818182,16.590909,1.227273,2.863636,5.5,1.454545,19.409091,22.045455,15.863636,17.090909,4.863636,7.136364,0.954545,2.136364,1.045455,0.863636,0.045455,0.590909,1.590909,10.545455,0.227273,0.590909,4.454545,1.181818,0.045455,1.954545,0.045455,0.681818,0.090909,1.409091,5.227273,243.136364,,,,,,,,,,,,,
OR,2.909091,2.363636,1.772727,1.045455,2.545455,1.409091,6.136364,5.5,10.636364,0.681818,9.681818,1.727273,1.318182,1.909091,0.545455,0.5,0.181818,1.181818,7.181818,9.090909,10.727273,2.136364,1.636364,5.590909,0.5,15.454545,23.954545,10.954545,13.227273,5.772727,4.090909,1,1.727273,1.409091,0.318182,0.454545,0.363636,0.318182,3.590909,0.227273,0.272727,3.681818,1,0.318182,1.136364,0.045455,0.090909,0.363636,2.181818,1.5,182.363636,,,,,,,,,,,,,
RR,5.636364,4.181818,3.590909,1.636364,2,1.136364,6.227273,8.727273,12.590909,3.818182,14.272727,6.5,7.5,3.409091,5.090909,0.772727,1.227273,0.863636,11.181818,15.136364,20.272727,5.636364,7.272727,3.409091,5.681818,34.045455,28.590909,26.909091,27.772727,11.272727,6.227273,3.272727,2.636364,2.590909,1.090909,0.272727,2.045455,3.590909,13.090909,1.863636,0.863636,4.545455,1.772727,0.136364,1.181818,0.454545,0.136364,0.545455,5.090909,7.954545,345.727273,,,,,,,,,,,,,
OW,8.545455,9.409091,5.363636,1.681818,8.363636,5.818182,9.636364,8.409091,19.590909,7.954545,38.636364,33.090909,17.227273,15.363636,9.5,10.409091,4.136364,4.272727,5.727273,3.454545,4.409091,0.818182,0.636364,5.409091,5.954545,172.272727,134.545455,172.181818,133,57.227273,42.818182,12.272727,17.954545,17.454545,4.681818,4.272727,8.181818,1.909091,5.545455,6.545455,8.090909,10.772727,4.909091,1.363636,1.636364,2,0.909091,1.863636,2.5,6.636364,1075.363636,,,,,,,,,,,,,
EM,100.818182,136.272727,38.636364,31.545455,45,39.772727,80.136364,76.5,84.136364,79.272727,145.272727,85.590909,113.090909,83.136364,52.863636,43.363636,30.318182,30,80.590909,86.136364,49.909091,24.181818,18.727273,40.181818,177.090909,10.136364,6.772727,28.363636,40.454545,69.227273,100.181818,71.318182,136.5,113.409091,41.318182,39.181818,80.454545,20.363636,78.772727,32.045455,23.318182,17.681818,14.5,23.181818,5.863636,9.090909,5.454545,12.136364,21.181818,71.045455,2844.5,,,,,,,,,,,,,
MT,104.136364,139.545455,40,22.5,36.5,36.545455,70.272727,83.681818,81.909091,80.818182,131.772727,88.090909,110.181818,87.636364,49.818182,47.272727,42.636364,31,85.681818,65.772727,49.863636,21.772727,24.681818,29.681818,156.181818,7.363636,10,14.227273,35.5,94.136364,135.409091,105.454545,266.818182,155.818182,68.727273,35.363636,73.454545,27.272727,90.272727,37.181818,38.181818,18.772727,31.818182,18.909091,3.590909,13,11,13.590909,16.909091,55.136364,3095.863636,,,,,,,,,,,,,
PL,113.409091,143.136364,35.863636,22.681818,39.727273,37.181818,72.863636,76.272727,100.409091,91.863636,171.181818,82.909091,95.227273,79.545455,50.727273,35.681818,21.181818,24.272727,75.090909,61.409091,38.863636,13.863636,8.681818,20.136364,171.863636,30.272727,12.818182,18.045455,27.318182,132.772727,197.363636,129.272727,298.363636,211.045455,82.181818,31.318182,58.681818,24.272727,78.818182,56.818182,45.454545,35.590909,31,19.272727,6.272727,6.136364,6.5,9.409091,24.681818,45.590909,3303.318182,,,,,,,,,,,,,
CC,91.090909,123.363636,33.727273,22.409091,41.318182,37.090909,84.636364,78.090909,76.772727,80.909091,173.863636,84.363636,72.136364,81,48.681818,40.636364,35.227273,30.681818,76.045455,55.954545,34.863636,16.136364,11.590909,28.318182,135.590909,38.181818,30.727273,19.5,12.909091,79,118.5,83.772727,203.318182,157.909091,75.590909,28.045455,61.954545,20.636364,72.818182,38.909091,40.909091,29.363636,41.363636,21.318182,4.363636,8.136364,5.818182,10.136364,21,58.363636,2877.045455,,,,,,,,,,,,,
16,60.318182,63.590909,13.909091,12.045455,24.181818,18.045455,47.909091,38.227273,43.045455,35.181818,67.409091,43.045455,34.272727,39.136364,17.909091,16.227273,10,10.954545,26.090909,19.727273,12.909091,5.272727,5.5,11.090909,61.090909,58.909091,87.545455,153.863636,90.454545,8,23.090909,49.318182,114.272727,95.954545,43.090909,6.681818,22.181818,6.818182,35.727273,30.772727,28.318182,20.954545,23.363636,8.772727,1.863636,3.909091,1.636364,4.818182,12.136364,36.727273,1706.272727,,,,,,,,,,,,,
24,58.681818,51.545455,9.363636,10.227273,22.818182,10.272727,31.909091,23.045455,30,28.181818,52.409091,37.636364,27.181818,23.818182,14.727273,14.090909,9.727273,6.727273,19.227273,13.363636,9.318182,6.590909,4.090909,6.772727,42.909091,93.318182,112.590909,220.318182,139.409091,27,7.863636,41.681818,84.272727,63.818182,38.136364,6.5,10.272727,6.636364,31.045455,32.636364,30.863636,16.727273,22.409091,3.772727,2.227273,2.045455,1.545455,2.454545,7.909091,14.909091,1585,,,,,,,,,,,,,
