Exit stations,Entry stations->,,WEEKDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
LF,7.285714,11.047619,6.761905,8.857143,73.333333,8.619048,51.571429,177.904762,146.047619,13.190476,19.380952,23.285714,7.761905,2.761905,5.142857,3.333333,5.142857,7.904762,83.761905,59.571429,66.333333,19.809524,16.285714,70.047619,6.666667,898.761905,798.238095,254.619048,270.761905,59.238095,41.714286,22.47619,10.333333,14.095238,4.666667,1.809524,1.52381,12.619048,27.714286,6.47619,9.285714,116.380952,12.761905,0.761905,26.52381,3.190476,0,0,12.238095,14.333333,3522.333333,,,,,,,,,,,,,,
OR,9.095238,10.714286,8.619048,8,55.47619,8,44.619048,131.761905,134.904762,11.47619,19,20.571429,6.142857,4.095238,6.190476,0.952381,4.142857,11.619048,36.952381,30.47619,40,19.428571,16.285714,62.857143,6.095238,846.190476,738.190476,252.619048,235.238095,67.619048,34.190476,24.333333,12.904762,13.238095,2.238095,2.285714,1.809524,7.428571,12.619048,9.809524,6.571429,96.095238,13.666667,0.952381,17.380952,4.52381,0,0,5.571429,9.047619,3122,,,,,,,,,,,,,,
RR,25.333333,32.095238,24.333333,16,45.047619,14.380952,49.142857,223.142857,213.904762,29.904762,49.095238,36.809524,22,12.428571,16.142857,8.666667,9.952381,18.571429,79.095238,110.571429,157.238095,68.619048,55.285714,35.571429,17.809524,1174.285714,1230.428571,571,634.714286,221.333333,111.428571,53.47619,30.047619,26.47619,5.095238,5.666667,11.857143,20.619048,34.190476,11.142857,13.428571,152.714286,26,3.761905,18.952381,7.809524,0,0,10.857143,27.666667,5774.095238,,,,,,,,,,,,,,
OW,23.047619,37.619048,14.666667,11.428571,63.809524,24.52381,46.761905,72.571429,110,29.095238,97.857143,82.380952,40.666667,34.952381,29.095238,14.428571,13.571429,14.904762,18,9.142857,19.619048,5.52381,4.571429,20.142857,25.47619,1828.857143,1526,1031.904762,858.571429,384.285714,216.809524,65.52381,63.190476,41.952381,14.285714,13.142857,32.285714,5.238095,15,13.428571,24.952381,109.047619,37.333333,9.904762,9.761905,14.714286,0,0,7.571429,18.047619,7205.666667,,,,,,,,,,,,,,
EM,530.52381,1153,745.428571,786.095238,1478.047619,1014.809524,1399.285714,1880.47619,1712.571429,1260.666667,1222.47619,666.857143,1032.904762,888.142857,631.095238,557.619048,1085.47619,1683,1123.619048,2177.714286,1741.428571,1045.285714,984.095238,1327.190476,2300.52381,210.761905,132.47619,535.904762,686.190476,1149.904762,1860.904762,1307.714286,1652.619048,1427.52381,892.952381,685.619048,2597.761905,502.428571,693.52381,671,658.333333,467.47619,1153,997.904762,167.238095,860.619048,0,0,120.333333,502.333333,50362.857143,,,,,,,,,,,,,,
MT,475.285714,990.952381,661.761905,674,1029.47619,835.190476,1178.238095,1479,1189.428571,1109.428571,1032,538.095238,852.428571,744.142857,598.571429,451.904762,850.714286,1222.761905,928,1764.571429,1323.761905,729.52381,703.52381,1132.714286,1713.571429,151.095238,179.52381,208.47619,611.095238,1428.333333,2407.761905,1669.666667,2557.571429,1944.666667,1170.428571,564.666667,1862.857143,396.761905,587.333333,851.619048,792.666667,461.47619,1535.428571,719.190476,103.047619,728,0,0,87.904762,350.095238,45578.714286,,,,,,,,,,,,,,
PL,382.857143,668,329.857143,332.190476,649.47619,378.857143,671.904762,825.380952,838.142857,602.666667,747.761905,403.761905,480.47619,447,268.238095,208.190476,293.952381,382.952381,419.904762,475,402.714286,188.142857,182.904762,418.52381,959.047619,803.095238,325.047619,145.904762,367.52381,1226.238095,1598.904762,1082.952381,1901.142857,1227.095238,564.190476,241.190476,674.333333,189.238095,380,421,391.619048,1241.904762,685.571429,269.52381,131.761905,241.380952,0,0,73.095238,238.571429,26379.190476,,,,,,,,,,,,,,
CC,316.857143,629.285714,377.904762,405.857143,660.571429,502.952381,792.52381,892.952381,779.952381,579.666667,758.952381,350.619048,466.047619,393.904762,289.571429,210.190476,305.333333,341.857143,404.190476,521.190476,407.809524,233.095238,199.761905,548.285714,868.238095,701.714286,631.47619,336.380952,85.47619,590.52381,965.333333,783.857143,1293.047619,846.285714,517.47619,247.714286,601,215.761905,338.095238,413.714286,374.333333,485.285714,652.333333,237.285714,60.333333,236.571429,0,0,76,223.095238,23150.666667,,,,,,,,,,,,,,
16,161.52381,236.190476,118.190476,158.714286,324.428571,236.761905,361.52381,443.095238,316.714286,234.238095,285.952381,154.428571,142.666667,133.857143,88.714286,75.285714,75.428571,95.952381,105.380952,148.142857,101.238095,53.380952,61.285714,190.714286,392.619048,1219.190476,1514.761905,1437.142857,644,41.095238,197.095238,307.52381,547.666667,306.095238,160.47619,70.333333,180.619048,53.285714,125.571429,133.142857,137.47619,202.904762,276,72.190476,24.047619,55.714286,0,0,22.619048,79.666667,12505.047619,,,,,,,,,,,,,,
24,158.380952,181.238095,62.047619,94.047619,226.904762,127.285714,217.380952,313.666667,297.142857,147.809524,202.142857,108.190476,85.904762,82.047619,56.857143,38.809524,35.285714,36.333333,78.761905,70.761905,64.047619,37.380952,33.285714,104.190476,219.285714,1650.761905,2057.904762,1899.809524,1010.428571,212.428571,43.428571,254.666667,432.619048,239.190476,125.142857,26.428571,76.571429,33.047619,98.666667,100.428571,123.428571,176.333333,237.761905,35.857143,23.47619,30.619048,0,0,18.904762,53.666667,12040.761905,,,,,,,,,,,,,,
