Exit stations,Entry stations->,,WEEKDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
LF,3.666667,1,2.388889,0.611111,3.666667,1,7.833333,9.277778,8.444444,1.833333,6.888889,3.444444,2.833333,1.5,1.222222,0.444444,2.111111,0.166667,34.111111,15.5,16.333333,1.833333,1.777778,7.055556,0.777778,26.388889,37.944444,22.111111,24.777778,4.222222,10.166667,1.777778,1.5,1.944444,1.166667,0.222222,0.222222,1.722222,8.388889,0.111111,0.611111,5.166667,1.222222,0.055556,1.833333,0.555556,0.777778,0.388889,3.555556,4.222222,296.777778,,,,,,,,,,,,,
OR,4.5,1.833333,1,0.444444,2,1.222222,5.944444,5.833333,9.833333,0.944444,9.777778,0.888889,2.055556,1.555556,0.944444,0.277778,0.444444,1.277778,9.777778,6.722222,10.611111,2.166667,1.444444,5.833333,1.111111,21.5,28.166667,15.277778,15.5,6.722222,4.055556,1.166667,1,1.388889,0.333333,0.388889,0.333333,1.388889,2.222222,0.833333,1.444444,6.444444,1.055556,0.055556,1.666667,0,0.277778,0.444444,1.611111,1.055556,202.777778,,,,,,,,,,,,,
RR,8.777778,5.888889,4.277778,1.222222,2.055556,1.5,8.777778,11.388889,17.388889,3.888889,17.333333,5.444444,5.5,3.277778,4.277778,1.944444,2.555556,1.222222,15.277778,17.611111,17.666667,7.166667,7.833333,3.166667,4.166667,37.666667,41.666667,36.5,34.555556,13.5,8.833333,4.277778,4.5,2.055556,1.111111,0.166667,2.722222,4.222222,13.555556,1.666667,1.555556,8.111111,1.666667,0.111111,1.333333,0.5,0.5,1.055556,3.944444,10.222222,415.611111,,,,,,,,,,,,,
OW,9,12.333333,3.055556,2.388889,14,7.388889,14.611111,10.166667,22.111111,7.222222,34.777778,29.611111,15.222222,20.555556,11.611111,7.555556,4.555556,3.333333,7.833333,3.277778,6,1.111111,1.166667,4.111111,7.111111,208.166667,176.833333,222.333333,164.277778,68.555556,49.611111,13.888889,19.333333,11.111111,5.277778,2.222222,8.944444,0.777778,6.111111,5.833333,9.111111,16.611111,4.888889,1.611111,1.722222,2.055556,0.611111,1.611111,4.5,4.777778,1270.888889,,,,,,,,,,,,,
EM,106,150.388889,50.444444,38.111111,62.611111,43.611111,93,103,97.555556,90,158.666667,96.555556,128.666667,93.777778,68.111111,56.166667,40.888889,34.055556,92.444444,92.111111,56.388889,31.666667,27.055556,38.277778,230.166667,10.555556,8.055556,36.888889,43.388889,80.888889,124.833333,75.888889,167.444444,132.111111,48.833333,43.277778,94.777778,23.222222,99.388889,31.722222,29.333333,27.055556,17.944444,28.777778,6.055556,8.277778,6.111111,14.222222,25.5,80.5,3344.777778,,,,,,,,,,,,,
MT,119.944444,168.388889,54.111111,32.666667,50.666667,44.777778,86.222222,104.444444,110,87.333333,161.388889,99.277778,137.555556,108.722222,58.277778,54.166667,44.222222,39.222222,93.5,84.055556,63.333333,36.444444,31.277778,42.722222,211.111111,8.666667,13.722222,19.722222,38.166667,112.777778,168,129.388889,321.055556,179.777778,70.833333,39.611111,74.444444,27.333333,99.5,45.833333,53.722222,31.5,28.833333,18.111111,5.944444,13.611111,10.722222,15,24.611111,71,3745.722222,,,,,,,,,,,,,
PL,117.611111,166.111111,46.666667,25.222222,50.388889,43.944444,100.111111,87.333333,122.722222,112.166667,186.777778,104.777778,120.5,97.388889,59.333333,37.833333,31.888889,27.611111,96.222222,74.444444,50.277778,21,11.888889,27.944444,214.666667,46.111111,18.611111,19.055556,36.666667,161.722222,240.222222,167.111111,372.611111,239.777778,91.611111,36.444444,68,26.111111,94.666667,65.5,57.777778,58.888889,35.444444,23.611111,7.388889,10.333333,6.277778,13.277778,30.611111,70.833333,4033.5,,,,,,,,,,,,,
CC,91.166667,135.888889,44.777778,26.5,48.722222,42.833333,99.444444,95.055556,85.111111,82.222222,195.777778,97.833333,79.055556,85.833333,43.666667,36.333333,39.666667,30,93,60.833333,46.888889,19.333333,13.611111,32.444444,171.555556,43.222222,32.611111,28.111111,11.888889,85.722222,128,91.777778,222.833333,163.5,81.333333,31,65.111111,23.055556,74.611111,51.944444,49.111111,35,44.055556,19.666667,3.388889,6.388889,11.777778,17.388889,20.111111,66.222222,3205.388889,,,,,,,,,,,,,
16,65.888889,63,18.166667,13.277778,29.222222,23.722222,57.055556,47.944444,49.333333,42.611111,74.333333,41.222222,41.555556,39.944444,21.777778,22.722222,11.777778,12.777778,27.444444,27.5,20.5,3.833333,5.944444,13.944444,72.055556,78.5,101.277778,179.888889,99.666667,7.388889,26.333333,51.055556,119.222222,91.833333,50.944444,9.722222,17.611111,7.944444,41.5,27.333333,32.555556,26.111111,22.277778,7.444444,2.611111,3.222222,1.611111,2.722222,14.388889,33.277778,1904,,,,,,,,,,,,,
24,62.444444,72,15.333333,14.166667,24.388889,13,37.5,34.666667,34.944444,27.388889,69.666667,42.833333,36.611111,26.444444,17.5,16.444444,9.944444,8.055556,30.055556,15.111111,14.444444,10,4.944444,9.555556,52.333333,105.222222,143.333333,285.388889,160.111111,29.388889,8.555556,44.388889,94.277778,78.833333,42.5,5.722222,11.555556,6.111111,34.611111,35.722222,34.833333,19.833333,24.222222,5.777778,3.277778,3.055556,2.5,2.055556,10.611111,18.888889,1910.555556,,,,,,,,,,,,,
