Exit stations,Entry stations->,,WEEKDAY,,,Sep 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
PL,166.909091,240.227273,83.272727,65.272727,173.863636,88.772727,176.045455,188.318182,218.681818,163.363636,266.818182,144.454545,172.727273,143.136364,80.181818,63.318182,64,52.454545,136.136364,115.545455,91.954545,44.636364,38.909091,97.545455,289.409091,97.863636,31.818182,60.681818,71.227273,318.045455,445,274.590909,493.590909,364.818182,142.272727,54.590909,127.954545,44.227273,143.545455,110.545455,102.136364,407,97.590909,47.636364,48.636364,24.136364,29,25.227273,42.227273,117.5,7087.818182,,,,,,,,,,,,,
CC,112.454545,199.227273,98,106.681818,171.590909,104.818182,207.818182,203.136364,193.136364,150.318182,263.454545,127.227273,147.5,109.272727,79.272727,53.909091,51.545455,53.772727,121.136364,99.181818,103.818182,48.636364,43.045455,112,243.045455,98.409091,75.590909,67,57.272727,160.090909,265.636364,203.272727,334.818182,250.772727,135.863636,50.318182,118.772727,44.727273,116.272727,93.136364,89,174.409091,98.727273,42.909091,21.136364,21.727273,19.909091,32.909091,23.318182,107.454545,5907.454545,,,,,,,,,,,,,
16,92.5,86.181818,34.636364,47.272727,111.590909,64.727273,123,122.136364,94.909091,77.681818,107.045455,58.681818,57.454545,53.772727,31.818182,25.454545,21.318182,22,47.090909,32.545455,36.136364,21.909091,13.909091,63.727273,135.090909,197.681818,239,354.272727,175,26.181818,63.545455,119.954545,201.409091,155.863636,77.863636,16.818182,36.272727,14.954545,57.272727,54.636364,54.590909,114.5,66.318182,18.136364,11.363636,8.136364,8.318182,12.727273,19.5,47.5,3734.409091,,,,,,,,,,,,,
24,91.454545,90.227273,28.863636,31.545455,102.181818,38.318182,95.090909,83.954545,76.772727,50.954545,101.5,60.590909,53.863636,27.136364,24.5,20.136364,13.363636,13.409091,37.181818,24.772727,23.818182,15.454545,8.454545,39.772727,91.863636,279.136364,332.545455,516.181818,296.045455,59.409091,23.272727,110,186.136364,150.636364,71.045455,9.863636,20.954545,13.136364,45.227273,53.863636,62.181818,81.909091,62.181818,13.136364,10.454545,4.5,4.681818,8.090909,13.318182,40.181818,3713.272727,,,,,,,,,,,,,
GP,26.5,28.409091,13.272727,11.909091,45.863636,8.181818,27.681818,30.227273,38.272727,24.818182,25.772727,14.409091,17.954545,13.090909,9.954545,6.909091,4.727273,5.045455,16.454545,13.227273,12.272727,5.318182,5.590909,21.818182,24.090909,176.090909,231,306.818182,185.545455,114.5,106.363636,10.454545,45.272727,34.590909,22.727273,4.5,9.5,3.681818,17.318182,17.772727,31,47.590909,34.909091,4.136364,5.590909,2.136364,1.454545,3.045455,5.818182,15.863636,1889.454545,,,,,,,,,,,,,
BP,28.681818,39.772727,10.545455,12.818182,42.136364,12.545455,29.090909,33.318182,41.636364,27.909091,40.272727,26.545455,24.590909,16.727273,13.681818,7.818182,8.818182,6.909091,15.636364,9.318182,10.772727,2.045455,3.545455,30.772727,48.590909,250.727273,314.818182,621.363636,301.136364,167.681818,182.363636,41,14.772727,33.636364,43.727273,5.045455,14.5,2.636364,21.5,28.090909,56,56.181818,56.409091,6.272727,3.545455,3.409091,3.227273,4.272727,4.318182,16.863636,2798,,,,,,,,,,,,,
DC,31.136364,54.727273,19.545455,14.363636,42.454545,12.136364,23.363636,32.409091,47.909091,26.818182,51.363636,31.272727,32.090909,24.090909,21.318182,13.181818,16.181818,12.818182,23.454545,17.818182,17.772727,6.045455,6.545455,11.409091,26.5,257.727273,283.727273,428.318182,264.181818,159.318182,149.318182,34.636364,38.318182,19.5,23.181818,13.045455,28.363636,6.272727,23.454545,42.636364,58.045455,98.863636,80.954545,10.363636,6.045455,9,7.409091,11.772727,11,33.181818,2715.363636,,,,,,,,,,,,,
CM,5.772727,9.727273,2.181818,4.181818,11.272727,2.954545,5.5,9.318182,18.954545,2.227273,5.954545,4.636364,3.136364,2.727273,2.590909,3,2.772727,2.409091,7.863636,3.363636,6.136364,2.727273,1,2.272727,8.409091,96.409091,103.5,172.727273,135.818182,70.772727,71.818182,24.318182,42.772727,22.909091,8.227273,1.727273,3.090909,1.227273,9,8.181818,22.090909,73.636364,28.681818,0.409091,0.590909,0.727273,0.954545,0.681818,4.318182,10.181818,1045.863636,,,,,,,,,,,,,
CV,2.409091,1.318182,3.318182,2.454545,14.590909,3.272727,4.954545,9.409091,10,45.5,26.090909,23.409091,25.363636,20.454545,10.318182,7.818182,7.181818,7.227273,1.227273,1.5,3.045455,0.954545,1.545455,2.5,5.954545,82.318182,88.136364,67.272727,55.545455,20.454545,9.818182,5.090909,5.363636,13.409091,1.636364,4.681818,40.590909,1.136364,0.272727,2.545455,2.363636,7.681818,1.363636,25.136364,3.590909,4.681818,1.318182,4.772727,0.181818,0.545455,691.727273,,,,,,,,,,,,,
ED,5,8.681818,3.409091,4.136364,41.454545,5.954545,14.545455,17.454545,20.863636,58.363636,68.272727,69.181818,46.045455,45.181818,26.590909,13.590909,20.045455,14.181818,5.590909,1.545455,2.590909,0.772727,0.409091,2.818182,9.181818,227.181818,172.727273,148.363636,122.863636,39.272727,23.454545,12.5,14.272727,30.590909,3.272727,39.636364,16.5,0.363636,2.818182,2.954545,2.363636,41.227273,3.818182,12.727273,34.363636,9.590909,7.727273,12,0.590909,2.954545,1490,,,,,,,,,,,,,
