Exit stations,Entry stations->,,WEEKDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
LF,0.772727,1.590909,0.409091,0.318182,1.272727,0.909091,5.636364,1.727273,2.181818,0.318182,3.636364,0.454545,0.318182,1.818182,0.090909,0.045455,0,0.090909,20.136364,6.045455,9.409091,0.590909,1.545455,3.227273,0.409091,2.636364,8.409091,1.181818,7.363636,0.909091,1.318182,0.272727,1.090909,0.136364,0.090909,0,0.136364,1.5,6.636364,0,0.409091,0.636364,0,0.136364,0.363636,0.045455,0,0,1.454545,2.681818,100.363636,,,,,,,,,,,,,,
OR,1.954545,1.727273,1.136364,0.772727,0.545455,1.136364,3.409091,2.5,2.909091,1.045455,2.818182,1.272727,1.090909,1.272727,0.772727,0.318182,0.045455,1,4.590909,4.272727,3.090909,1.227273,1.181818,2.818182,0.409091,5.363636,6,3.954545,7.545455,2.545455,1.5,0.181818,0.409091,0.318182,0.045455,0,0.227273,0.454545,1.090909,0.045455,0.227273,1.136364,0.318182,0.045455,0.181818,0.272727,0,0,1.590909,1.818182,78.590909,,,,,,,,,,,,,,
RR,2.954545,4.590909,2.318182,0.636364,1.772727,0.727273,5.636364,5.5,5.818182,3.090909,12.318182,2.590909,3.545455,2,2.318182,0.772727,0.272727,0.727273,5.863636,7.227273,6,3.045455,4.363636,1.090909,3.545455,10.636364,9.136364,7,13.045455,4.454545,3.181818,1.227273,0.818182,0.818182,0.545455,0.363636,0.727273,0.545455,5.681818,1.181818,0.863636,0.681818,0.136364,0.045455,0.181818,0.090909,0,0,3.954545,3.909091,157.954545,,,,,,,,,,,,,,
OW,6.454545,6.681818,2.181818,2.181818,6.818182,3.636364,13.545455,7.272727,23.227273,6.954545,25.272727,24.363636,15,11,5.318182,5.727273,2.454545,1.454545,6.318182,3.272727,2,0.409091,0.818182,3.227273,4.727273,75.954545,61.545455,79.136364,94.454545,32.136364,22.681818,7.818182,10.318182,6.636364,3.045455,2.136364,4.681818,0.363636,5.272727,4.363636,3.954545,5.772727,1.954545,0.681818,0.681818,0.454545,0,0,3.681818,4.272727,622.318182,,,,,,,,,,,,,,
EM,63.272727,80.545455,16.409091,9.636364,18.136364,17,36.863636,37.272727,45,35.363636,76.772727,46.954545,61.454545,38.590909,32.272727,22.545455,10.181818,12,35.636364,27,15.227273,4.090909,5.954545,11.818182,81.636364,6.136364,4.909091,15.818182,22.909091,38.863636,61.727273,36.545455,77.363636,48.772727,20.909091,15.136364,29.681818,11.318182,39.272727,13.090909,10.5,5.272727,6.545455,9.318182,1.636364,12.045455,0,0,14.409091,37.545455,1381.363636,,,,,,,,,,,,,,
MT,62.863636,76.818182,19,10.863636,18,15.727273,30.136364,38.818182,42.454545,34.545455,75.136364,57.545455,60.590909,40.363636,20.090909,22.772727,19.227273,12.590909,38.454545,25.409091,19.136364,5.318182,6.545455,11.454545,69.727273,5.181818,5.727273,9.5,18.045455,55.590909,78.090909,60.727273,142.818182,81.818182,29.136364,15.545455,32.727273,12.136364,48.636364,17.363636,16.545455,5.818182,12.136364,6.045455,0.181818,7.136364,0,0,10.863636,28.636364,1534,,,,,,,,,,,,,,
PL,63.136364,62.454545,13.227273,9.136364,15.909091,17.772727,36.863636,34.954545,55.590909,34.954545,87.454545,44.272727,45.863636,36.818182,19.318182,15.909091,11.318182,11.727273,28.954545,15.909091,9.045455,1.954545,2.363636,6.136364,76.772727,16.545455,9.590909,8.818182,17.545455,79.636364,94.090909,56.5,110.545455,81.227273,29.045455,9.272727,21.681818,5.545455,28.681818,21.863636,13.954545,15.818182,11.590909,6.636364,1.636364,5.181818,0,0,16.909091,23.318182,1443.454545,,,,,,,,,,,,,,
CC,63.136364,83.227273,16,13.681818,24.772727,20.727273,54.909091,43.5,67.863636,43.363636,128.590909,70,50.272727,55.227273,33.318182,23.5,16.272727,12.863636,41.181818,30.045455,18.045455,7.181818,7.181818,13.272727,98.636364,20,18.318182,17.636364,11.909091,76.409091,86.954545,56.909091,123.363636,105.454545,37.181818,16,40.318182,15.863636,42.318182,26.090909,26.318182,15.5,22.454545,9.090909,0.772727,8.909091,0,0,15.5,42.636364,1872.681818,,,,,,,,,,,,,,
16,34.318182,41.5,10.045455,4.954545,9.136364,9.227273,23.545455,21.363636,23.681818,15.363636,41.681818,27.590909,22.545455,18.363636,10.863636,9.136364,6.5,6.318182,10.727273,9.545455,5.5,1.454545,2.772727,4.318182,32.636364,29.636364,46.136364,85.363636,83.227273,5.409091,15.818182,34,72.636364,64.863636,18.727273,5.954545,9.318182,4.727273,16.954545,18.954545,12.5,11.272727,11.681818,2.863636,1.090909,1.318182,0,0,11.045455,16.954545,983.545455,,,,,,,,,,,,,,
24,30.5,25.590909,5.227273,4,7.318182,4.772727,16.136364,11,19.681818,16.318182,34.545455,22.454545,11.227273,10.5,6.636364,7.954545,6.863636,4.045455,13,4.681818,4.818182,1.272727,1.909091,2.681818,24,50.363636,65,103.727273,108.409091,18.727273,6.5,27.181818,59.5,46.227273,23.136364,3.272727,6.909091,2.818182,18.681818,18.636364,16,4.863636,9.227273,2.863636,0.272727,1.818182,0,0,4.409091,9.409091,905.090909,,,,,,,,,,,,,,
GP,12.454545,10.5,0.909091,0.636364,1.772727,2.727273,9.681818,7.181818,10.136364,4.681818,7.227273,9.090909,3.818182,7.090909,5.772727,1.727273,1.454545,1.954545,4.909091,3.545455,0.863636,0.227273,0.136364,1.727273,8.409091,34.863636,52.363636,65.272727,55.5,28.909091,24.545455,5.227273,14.181818,10.772727,6,0.954545,2.727273,0.318182,6.681818,4.863636,7.363636,5.545455,5.045455,2.318182,0.318182,0.954545,0,0,3.318182,6.636364,463.318182,,,,,,,,,,,,,,
BP,7.136364,11.227273,2.590909,1.318182,3.863636,4.772727,4.090909,4.772727,15.818182,4.272727,13.045455,8.590909,5.272727,7.954545,3.590909,2.636364,1.090909,1.545455,5.727273,2.5,1.090909,1,0.318182,1.045455,9.090909,68.363636,87.454545,137.090909,121.272727,67.5,59.409091,11.090909,4,10.818182,7.954545,0.5,2.545455,0.863636,3.227273,9.090909,18.5,16.272727,8.409091,0.272727,0.681818,0.636364,0,0,1.181818,4.590909,766.090909,,,,,,,,,,,,,,
DC,5.636364,6.863636,0.727273,1.863636,4.409091,0.909091,7.409091,7.363636,11.636364,5.545455,10.454545,6.454545,5.227273,4.590909,2.590909,2.954545,3.727273,2.272727,3.409091,2.227273,3.5,0.181818,0.545455,0.818182,5.818182,52,68.545455,97.409091,105.545455,60.272727,48.227273,10.5,12.590909,2.863636,3.954545,0.863636,4.090909,1.363636,4.318182,10.318182,14.318182,23.181818,9.5,1.227273,0.090909,2.227273,0,0,2.045455,7.863636,650.454545,,,,,,,,,,,,,,
CM,1.681818,3.227273,0.363636,1.045455,2.363636,0.227273,3.681818,3.681818,5.045455,0.454545,3,1.818182,0.727273,1.681818,1,1.681818,0.909091,0.545455,1.136364,0.181818,1.545455,0,0,0.363636,1.590909,18.409091,20.545455,33.363636,31.863636,19.181818,20.590909,5.636364,8.681818,4.318182,1.545455,0.181818,1.681818,0.272727,3.590909,1.954545,6.818182,18.272727,8.636364,0.136364,0,0.454545,0,0,0.909091,3.636364,248.636364,,,,,,,,,,,,,,
CV,0.590909,0.772727,1.136364,0.409091,1.272727,2.772727,1.863636,2.227273,2.545455,9.045455,13.818182,8.727273,11.772727,10.818182,2.590909,4.363636,3.136364,3.545455,0.227273,0.181818,0.818182,0.045455,0.090909,0.272727,3.045455,9.590909,15.409091,10.090909,16.318182,7.136364,3.818182,1.227273,0.545455,0.909091,0.227273,1.454545,17.545455,0.136364,0.136364,0.5,0.681818,1.5,0.727273,8.545455,0.363636,0.863636,0,0,0,0.272727,184.090909,,,,,,,,,,,,,,
ED,2.590909,4.454545,0.545455,1.590909,2.272727,1.909091,8.681818,6,5.818182,18.363636,31.863636,13.818182,16.681818,23.409091,9.590909,7.227273,6.545455,5.772727,0.681818,1.045455,0.363636,0.181818,0.227273,0.318182,4.954545,25.681818,29.590909,25.681818,43.954545,10.318182,6.590909,2.409091,1.818182,6.909091,1.772727,15.272727,3.272727,0.136364,0.272727,1.909091,1.545455,3.045455,1.272727,4.590909,1.045455,5,0,0,1.136364,0.363636,368.5,,,,,,,,,,,,,,
NC,0.954545,1.863636,1.045455,0.363636,0.545455,0.045455,4.772727,4.772727,3.227273,0.863636,0.545455,0.954545,0.590909,1,0.181818,0.272727,0.318182,0.409091,11.863636,6.909091,5.636364,1.5,0.181818,0.318182,0.181818,9.727273,11.090909,6.863636,14.181818,2.636364,3.227273,1.136364,0.454545,1.045455,0.181818,0,0.136364,0.590909,5.363636,0.227273,1.727273,4,0.5,0,0.318182,0.136364,0,0,2,2.727273,117.590909,,,,,,,,,,,,,,
