Exit stations,Entry stations->,,WEEKDAY,,,Jan 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
MT,513.52381,890.095238,607.714286,553.857143,721.047619,769.714286,1237.333333,1640.571429,1188.666667,1146.952381,975.904762,506.619048,861.142857,765.809524,578.904762,420.952381,771.952381,1048.047619,854.238095,1707.285714,1262,770.809524,653.333333,951.761905,1719.238095,136.380952,175.380952,155.428571,586.619048,1522.809524,2537.571429,1691,2528.666667,1965.571429,1129,549.666667,1808.428571,356.047619,540.428571,778.380952,823.904762,374.761905,1475.190476,694.095238,74.904762,774.809524,0,0,123.666667,390.809524,44311,,,,,,,,,,,,,,
PL,389.095238,630.52381,297.333333,268.619048,434.47619,327.761905,598.952381,793.238095,745.238095,553,639.857143,316.857143,448.714286,431.333333,268.095238,197.904762,267.47619,285.095238,378.52381,478.142857,360.571429,199.714286,156.619048,391.52381,855.904762,624.714286,274.333333,134.809524,286.428571,1122.809524,1446.952381,956.428571,1780.428571,1116.904762,514.714286,205.047619,582.428571,152.238095,326.142857,387.904762,350.095238,789.857143,559.714286,203.285714,68.714286,227.952381,0,0,115.52381,240.047619,23182.047619,,,,,,,,,,,,,,
CC,335.857143,601.619048,358.904762,375,466.190476,469.333333,793.952381,884.952381,722.619048,582.47619,714.619048,340.380952,460.47619,428.809524,271.52381,237.095238,296.714286,320.619048,418.904762,526.666667,386,238.380952,195.190476,519.666667,845.809524,595.904762,569.190476,262.619048,86.52381,539,920.428571,738.285714,1270.428571,851.904762,493.285714,233.571429,652.52381,184.428571,310.333333,378.571429,351.857143,379.666667,600.571429,241.380952,38.714286,260.52381,0,0,88.095238,256.52381,22096.095238,,,,,,,,,,,,,,
16,178.380952,232.238095,110.904762,130,252.380952,201.142857,361.904762,446.619048,310.714286,240.857143,296.666667,140.857143,142.380952,152.52381,113.142857,84.095238,87.428571,110.285714,127.142857,169.571429,116,67.571429,56.333333,179.047619,338.47619,1184.571429,1641.809524,1326.238095,628.190476,36.380952,192.428571,322,615.428571,358.190476,169.571429,77.047619,221.714286,61.142857,120.190476,143.714286,125.952381,174.714286,268.238095,75.809524,15.428571,86,0,0,47.190476,83.380952,12622,,,,,,,,,,,,,,
24,182.380952,174.095238,65.190476,79,196.761905,108.285714,187.428571,293.095238,268.380952,125.428571,196.428571,91.47619,94.428571,70.047619,52.333333,44.142857,39.666667,29.904762,69.952381,70.047619,59.952381,32.190476,31.619048,91.238095,201.857143,1628.52381,2173.380952,1735.857143,981.952381,205.47619,45.571429,259.857143,495.285714,242.47619,131.428571,24.619048,67.142857,30.380952,81.52381,105.095238,105.333333,151.857143,214.857143,34.619048,13.380952,30.809524,0,0,20.095238,49.238095,11684.095238,,,,,,,,,,,,,,
GP,45.285714,67.47619,26.285714,29.190476,102.571429,29,80.333333,152.190476,166.333333,49.857143,60.571429,44.333333,36.809524,30.666667,24.904762,15.285714,10.095238,10.619048,44.857143,50.904762,38.142857,19.666667,16.238095,42.095238,63,1120.47619,1398.619048,1105.047619,670.809524,329.761905,267.380952,26.857143,121.52381,63.52381,44.571429,13.428571,52.190476,17.857143,34.428571,27.380952,66.428571,100.619048,130.857143,29.142857,10.666667,15.142857,0,0,9.714286,31.666667,6944.809524,,,,,,,,,,,,,,
BP,61.47619,84.571429,30.428571,33.428571,75.52381,35.047619,74.333333,129.761905,156.238095,75.428571,76.714286,47.238095,53.52381,42.238095,32.47619,18.333333,15.380952,15.285714,39.904762,42.190476,38.904762,10.761905,7.761905,38.809524,77.714286,1293.714286,1696.809524,2163.666667,1122.47619,552.666667,494.714286,122.714286,32.619048,95.380952,81.904762,20.142857,46.190476,12.761905,38.904762,66.857143,94.904762,124.809524,137.142857,24,6.047619,14.190476,0,0,14.095238,34.952381,9605.142857,,,,,,,,,,,,,,
DC,60.428571,95.142857,36.047619,25.380952,80.095238,32.761905,71.285714,135.142857,192.285714,66.47619,82.904762,56,72.619048,41.904762,46.52381,26.857143,33.380952,32.333333,59.571429,57,46.619048,13.619048,10.52381,26.52381,49.952381,1309.285714,1695.857143,1321.047619,821.714286,368.714286,279.52381,57.190476,118.095238,26.619048,37.047619,23.714286,75.047619,25.238095,46.857143,68.52381,116.333333,227.380952,218.238095,31.761905,8.190476,24.047619,0,0,15.238095,44.285714,8411.333333,,,,,,,,,,,,,,
CM,13.857143,23.142857,4.238095,4.285714,31,8.333333,27.904762,76.714286,119.428571,8.666667,7.904762,5.380952,7.095238,8.380952,3.809524,4.333333,5.333333,3.714286,24.238095,8.904762,13,4.904762,1.333333,3.428571,13.666667,870.285714,1008.571429,592.380952,467,170.333333,130.52381,41.904762,80.047619,29.333333,11.142857,3.714286,16,3.619048,12.761905,17.52381,43,138.904762,93.380952,1.761905,1.761905,3.761905,0,0,6.428571,16.666667,4193.809524,,,,,,,,,,,,,,
CV,3.380952,7.666667,6.47619,6.52381,47,8.571429,25.095238,86.238095,107.52381,107.809524,47.285714,29.666667,39.857143,40,14.714286,13,16.095238,23.238095,5.095238,1.47619,4,0.952381,2.333333,6.047619,7.904762,501.285714,539.571429,258.761905,267.619048,92.238095,27.142857,15.285714,22.428571,23.714286,4.380952,8.238095,87.809524,1.428571,0.809524,4.619048,4.952381,16.619048,6.190476,58.52381,5.333333,15.571429,0,0,0.857143,1.285714,2622.619048,,,,,,,,,,,,,,
ED,11.142857,21.666667,11.47619,12.714286,103.904762,25.095238,59.285714,228.761905,287.666667,173.380952,124.619048,87.333333,97.47619,133.047619,62.809524,34.761905,54,45.285714,7.190476,3.428571,6.714286,0.809524,1.619048,8,26.52381,1955.571429,1757.380952,671.190476,728.380952,256.904762,79.714286,63,56,81.952381,15.52381,91.714286,33.142857,0.809524,2.47619,25,11.142857,104.857143,15,41.52381,50.952381,38.952381,0,0,3.047619,2.190476,7715.142857,,,,,,,,,,,,,,
NC,3.333333,5.142857,3.619048,3.809524,27.666667,7.333333,38.238095,115.142857,123.952381,6,4.238095,5.809524,7.619048,5.52381,5.52381,0.904762,1,3.142857,40.952381,33.666667,42.761905,7.095238,2.904762,19.285714,5.52381,288.047619,310.619048,165.190476,196.238095,65.47619,33.809524,15.047619,14.904762,22.666667,3.047619,1.380952,0.761905,7.333333,19.285714,9.333333,8.857143,42.333333,4.857143,0.857143,8.666667,3.190476,0,0,14.571429,17.380952,1774.047619,,,,,,,,,,,,,,
WP,15.809524,12,7.380952,7.095238,67.285714,12.857143,133,162.142857,222.047619,19.190476,20.52381,24.619048,14.47619,6.571429,18.428571,5.190476,6.809524,8.190476,140.714286,69.857143,105.904762,29.333333,15.904762,37.857143,14.285714,497.428571,457.333333,420.190476,390.142857,145.333333,102.857143,45.952381,50.619048,51.952381,13.619048,1.238095,4.190476,24.047619,21.380952,17.380952,23.095238,102.571429,14.571429,0.809524,12.333333,12.380952,0,0,15.952381,23.428571,3626.285714,,,,,,,,,,,,,,
SS,14.190476,31.47619,7.666667,7.761905,28.190476,11.333333,22.952381,65.619048,95.190476,11.857143,13.47619,12.904762,12,10.857143,10.761905,6,3.571429,2.952381,18.238095,23.904762,17.904762,6.095238,4.142857,10.761905,22.809524,624.52381,714.047619,432.571429,373.571429,143.047619,105.190476,31.285714,74.285714,61.666667,15.857143,5.238095,26.333333,8.285714,18.714286,15.428571,32,64.095238,70.47619,5.285714,2.52381,2.333333,0,0,7.238095,20.285714,3326.904762,,,,,,,,,,,,,,
SB,25.333333,35.52381,12.952381,8.238095,29.285714,14.571429,24.428571,62.333333,79.904762,15.095238,22.095238,15.809524,11.571429,10.380952,11.428571,6.47619,3.809524,7.904762,21.857143,22.428571,18.857143,7.666667,6.904762,12,26.857143,589.619048,743.809524,408.47619,364.571429,136.428571,112.571429,67.095238,103.904762,122.619048,38.142857,5.52381,10.333333,9.285714,24,33.904762,14.904762,56.190476,46.285714,3.619048,4.047619,3.571429,0,0,9.666667,24.428571,3446.714286,,,,,,,,,,,,,,
SO,47.666667,107.952381,56.333333,70.380952,103.142857,48.142857,94.095238,87.857143,105.52381,31.238095,52.47619,30.52381,46.333333,27.904762,20.285714,19.047619,18.52381,22.761905,126.428571,147.285714,133.047619,82.761905,66.380952,108.380952,107.238095,293.190476,345,527.047619,298.714286,136.571429,116.809524,82.047619,124.380952,191.428571,132.095238,15,88.285714,42.238095,97.428571,51.380952,43.095238,50.52381,182,27.47619,9.619048,14.285714,0,0,21.095238,90.619048,4742.047619,,,,,,,,,,,,,,
MB,22.666667,67.666667,30.047619,31.666667,116.619048,35.47619,61.285714,127.380952,137.285714,15.952381,21.809524,8.190476,11.285714,9.190476,5.47619,5.333333,1.761905,3.095238,23,22.095238,19.619048,10.142857,10.761905,22,40.952381,959.952381,1254.714286,561.142857,543.333333,244.619048,190.714286,127.761905,143.571429,208.333333,95,5.571429,14.190476,6.333333,14.380952,61.380952,36.428571,225.047619,41.095238,7.095238,2.857143,1.380952,0,0,4.142857,15,5624.809524,,,,,,,,,,,,,,
WD,6.952381,10.666667,7.52381,3.857143,39,10.333333,25.238095,114.333333,134.571429,101.52381,60.380952,36.857143,51.666667,64.52381,31.428571,19.190476,26.333333,20.47619,2.095238,4.571429,1.952381,0.47619,0.809524,5.428571,6.190476,829.285714,737.52381,272.190476,290.47619,98.190476,40.52381,35.238095,29.952381,32.095238,3.380952,65.47619,44.047619,1.190476,1.952381,6.761905,3.666667,35.095238,8.761905,16,22.428571,13.714286,0,0,0.666667,1.666667,3376.666667,,,,,,,,,,,,,,
OA,7.666667,24.666667,22.238095,21.666667,41.095238,16.47619,21.380952,30.952381,44.190476,13.142857,8.047619,14.52381,6.333333,4.380952,6.857143,5.428571,10.238095,10.761905,22.571429,30.857143,25.333333,14.238095,8.857143,9.428571,5.142857,126.761905,103.619048,60.142857,48.619048,16.761905,12.238095,9,6.333333,8.238095,1.619048,4.52381,41.47619,6.52381,13.619048,1.857143,3.714286,14.333333,2.619048,20.333333,7.142857,8.285714,0,0,2.619048,13.428571,960.285714,,,,,,,,,,,,,,
WS,17.666667,41.428571,24.142857,23.809524,141.047619,29.571429,63,215.47619,199.761905,88.761905,74.285714,44.666667,75.52381,67.047619,112.285714,85.857143,94.47619,89.571429,14.571429,14.619048,12.619048,5.238095,5.619048,13.952381,14.857143,736.047619,753.571429,253.095238,268.761905,95.857143,33.238095,16.857143,17.47619,27.761905,3.142857,16.380952,38.190476,4.047619,10.904762,2.761905,2.571429,23.52381,1.190476,12.714286,7.952381,24.666667,0,0,6.095238,11,3937.666667,,,,,,,,,,,,,,
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PC,9.095238,5.952381,3.095238,2.47619,21.714286,4.857143,48,51.333333,57.238095,10.52381,13.142857,15.809524,4.571429,3.857143,7.285714,3.857143,2.238095,3.285714,80.380952,34.761905,46.52381,9.380952,6.380952,16.380952,6.52381,93.952381,96.761905,106.095238,92.761905,40.190476,20.857143,12.761905,14.619048,14.571429,7.095238,0.238095,1.285714,17.238095,14.714286,6.52381,10.190476,17.285714,3.428571,0.857143,2.380952,5.095238,0,0,5.571429,21.619048,1074.761905,,,,,,,,,,,,,,
AN,10.571429,11.238095,4.571429,5.047619,45.428571,10.52381,102.666667,122.047619,168.666667,20.285714,19.285714,33,12.52381,7.761905,18.761905,5.333333,8.571429,8.714286,105.238095,57.285714,94.047619,15.095238,11,30.238095,16.904762,344.952381,318.428571,268.285714,289,102.47619,55.142857,42.619048,34.857143,42.333333,16.952381,1.428571,2.714286,17.857143,23.904762,17.809524,25.047619,88.714286,16.190476,1.142857,16.285714,11.428571,0,0,19.904762,17.047619,2719.333333,,,,,,,,,,,,,,
Entries,4303.142857,7228.52381,4446.380952,3836.142857,9416.761905,4889.238095,8649.52381,13526.761905,13646.666667,6717.238095,7223.571429,4336.285714,5795,5154.714286,4395.619048,2938.857143,4411.285714,5276.285714,5351.809524,7388.571429,6190,3360.52381,2780.904762,4998.142857,7484.952381,39545.095238,41651.714286,26784.380952,24091.714286,12787.857143,12262.380952,7491.142857,10814.52381,8443.857143,4338.571429,2706.238095,7884.714286,1935.714286,3583.571429,3364.619048,3423.857143,5628.428571,6074.428571,3232.571429,1009.52381,4036.333333,0,0,1212.714286,2870.904762,388921.761905,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
