Exit stations,Entry stations->,,WEEKDAY,,,Feb 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
LF,2.736842,1.789474,1.736842,0.368421,2.526316,1.105263,8.263158,5.315789,7.052632,1.368421,5.842105,2.263158,2.105263,0.842105,2.947368,0.157895,0.736842,0.105263,36.842105,11.263158,14.157895,2.263158,3.315789,7.263158,1.473684,19.315789,31.157895,19.894737,19.210526,6.315789,8.842105,1.315789,0.526316,1.315789,0.368421,0.210526,0.157895,2.263158,6.315789,0.105263,0.894737,2.947368,0.736842,0.105263,1.421053,0.684211,0,0.210526,5.526316,4,257.684211,,,,,,,,,,,,,
OR,2.578947,2.263158,0.368421,0.526316,1.368421,0.631579,5.315789,5.631579,8.052632,0.842105,11.789474,1.157895,1.631579,2.842105,1.210526,0.421053,0.210526,0.947368,9.789474,5,12.052632,2.473684,1.105263,4.631579,0.368421,18.578947,23,13.631579,11.052632,7.263158,3.789474,1.894737,0.421053,1.368421,0.157895,0.052632,0.052632,0.052632,2.947368,0.210526,0.421053,3.105263,1.210526,0.105263,1.684211,0,0.210526,0.315789,1.684211,2.157895,178.578947,,,,,,,,,,,,,
RR,5,6.157895,5,2.210526,1.473684,1.894737,8.526316,9.736842,14.210526,2.368421,16.736842,6.157895,6.526316,3.578947,3.157895,2.526316,1.947368,1.578947,15.315789,18.105263,15.473684,6.789474,7.526316,3.578947,5.631579,36.052632,37.789474,35,33,15.263158,8.473684,3.947368,5.947368,2.157895,0.157895,0.157895,2,3.263158,11.894737,1.263158,0.736842,4.684211,0.684211,0.052632,0.473684,0.263158,0.263158,0.789474,4.052632,7.894737,387.473684,,,,,,,,,,,,,
OW,10.736842,10.157895,2.105263,2.052632,11.421053,6.684211,13.894737,13.684211,19.368421,5.368421,40.526316,26.894737,12.789474,21.684211,10.315789,6.210526,2.947368,2.684211,7.105263,3.684211,4.052632,0.684211,0.210526,5.157895,7.105263,179.578947,154.105263,202.263158,155.526316,70.052632,50.736842,14.157895,18.315789,14.578947,5.421053,2.789474,9.842105,1.368421,4.210526,6.052632,6.421053,10.105263,5.105263,2.052632,1.210526,3.210526,0.684211,2.315789,3.789474,5.736842,1177.157895,,,,,,,,,,,,,
EM,84.947368,135.210526,47,31.421053,50.684211,37.684211,74.842105,94.052632,90.368421,86.052632,128.684211,84.052632,117.631579,87.789474,63.263158,52.210526,35.789474,29.105263,78.473684,80.631579,51.631579,23.789474,22.473684,39.526316,196.947368,15.105263,9.842105,35.315789,38.473684,68.315789,106.684211,66.421053,158.578947,119.736842,44.368421,38.210526,88.210526,24,79.473684,30.789474,24.421053,16.631579,14.473684,28.947368,7.368421,10,7.842105,12.157895,26,77.894737,2973.526316,,,,,,,,,,,,,
MT,99.052632,150.105263,47.368421,31.789474,45.789474,38.736842,83.368421,96.526316,99.315789,75.894737,141.684211,80.157895,122.578947,111.263158,51.105263,46.842105,37.578947,29.947368,85.578947,64.421053,58.789474,33.052632,23.578947,36.210526,185.684211,9.421053,11.631579,17.368421,34.315789,88.157895,152.315789,120.684211,290.526316,150.631579,65.210526,38.157895,54.947368,21.947368,96.789474,39.631579,46.842105,20.631579,23.842105,16.210526,3.631579,14.368421,9.947368,11.842105,20.368421,68.947368,3304.789474,,,,,,,,,,,,,
PL,99.052632,138.473684,49.105263,23.631579,46.684211,39.578947,94,85.894737,120.421053,86.052632,170.315789,91.736842,102.894737,87.263158,52.052632,40.263158,28.578947,23.315789,89.947368,73.473684,45.052632,16.105263,12.631579,29.842105,180.315789,42.894737,14.368421,16.894737,28.631579,148.631579,209.736842,154.315789,323.368421,213.578947,84.578947,36.421053,73.157895,22.894737,87,60.052632,63.315789,39.473684,29.473684,22.052632,4.736842,8.263158,5.473684,12.842105,28.263158,59.684211,3616.789474,,,,,,,,,,,,,
CC,75.368421,119.789474,41.789474,26.842105,43.315789,36.684211,90.578947,88.736842,79.684211,74.157895,169.157895,89.052632,74.684211,79.421053,42.105263,33.052632,31.421053,22.526316,89,58.263158,39,14.842105,10.947368,28.052632,157.789474,37.631579,29.315789,24.947368,15.894737,71.842105,113.210526,80.421053,201.736842,144.263158,67.210526,22.684211,57.105263,27.210526,69.736842,47.210526,39.894737,28.105263,39.473684,13,2.894737,6.315789,9.789474,13.684211,16.157895,64.052632,2860.052632,,,,,,,,,,,,,
16,60.473684,63.473684,15.105263,13.052632,24.263158,18.263158,50,45.947368,48.578947,39.210526,73.368421,36.684211,40.526316,35.526316,21.263158,21.052632,9.842105,9.526316,28.789474,24.842105,16,7.052632,6.210526,13.315789,71.157895,69.052632,81.894737,163.684211,90.947368,6.947368,27.263158,51.842105,114.894737,93.210526,47.421053,7.421053,19.578947,6.157895,41.842105,27.315789,31.315789,18,18.842105,5.894737,2.157895,3.684211,2.842105,3.684211,14.473684,30.105263,1774,,,,,,,,,,,,,
24,62.526316,66.684211,14.526316,15.421053,24,13,32.631579,31.157895,32.473684,28.105263,66.736842,39.736842,33.631579,24.368421,12.578947,14.894737,8.263158,7.526316,24,12.473684,12.105263,8.473684,4.578947,8.473684,54.631579,88.894737,127.947368,256.631579,141.842105,30.263158,13.263158,44.684211,90.315789,84.157895,41.105263,5.105263,8.578947,6.894737,36.421053,36.736842,34.736842,15.105263,23.263158,7.368421,3.263158,2.631579,2.157895,2.789474,13.210526,21.421053,1791.789474,,,,,,,,,,,,,
