Exit stations,Entry stations->,,WEEKDAY,,,Oct 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
LF,9.136364,10,7.954545,7.454545,74.863636,10.681818,54.818182,182.636364,142.045455,7.636364,15.136364,20.454545,6.454545,3.954545,5.409091,3.136364,4,5.954545,108.636364,59.863636,59.272727,15.636364,14.772727,76.363636,4.409091,905.727273,847.772727,278.545455,279.590909,60.318182,40.681818,21.5,15.090909,29.363636,5.727273,1.409091,1.409091,10.272727,25.090909,6.136364,9.363636,100.636364,13.090909,1.090909,29.681818,5,0,0,18.636364,17.863636,3634.681818,,,,,,,,,,,,,,
OR,8.818182,15.954545,6.227273,10.045455,49.590909,7.363636,49.727273,122.818182,130.772727,10.5,21.090909,17.772727,9.636364,2.5,6.5,2.363636,2.954545,8.818182,42.272727,34.954545,46.136364,20.590909,15.045455,67.136364,5.045455,828.909091,743.409091,248.454545,235.318182,64.045455,31.318182,29.363636,19.5,23.818182,2.636364,2.272727,2.818182,7.863636,11.318182,7.727273,8.772727,87.045455,12.090909,0.454545,17.727273,5.681818,0,0,8.363636,12.454545,3126,,,,,,,,,,,,,,
RR,26.045455,33.136364,27.727273,22.272727,47,13.409091,64.136364,190.272727,185.818182,28.818182,45.045455,27.954545,22.409091,9.227273,18.318182,10.136364,15.045455,18.045455,97.5,130.772727,151.727273,72.318182,70.545455,20,19.318182,1105.090909,1203.772727,578.454545,664.090909,222.454545,111.454545,48.909091,56.681818,44.363636,5.045455,6,10.363636,24.590909,36.409091,11.227273,13.272727,147,26.545455,5.045455,20.181818,10.636364,0,0,23.136364,36.818182,5778.545455,,,,,,,,,,,,,,
OW,26.545455,36.727273,13.136364,10.545455,70.363636,21.318182,49.454545,62,101.409091,28.636364,106.954545,100.636364,46.818182,42.681818,34.545455,17.318182,12.818182,13.181818,14.909091,9.272727,17.272727,4.227273,3.409091,19.727273,26.954545,1865.454545,1570.181818,1062.636364,916.318182,373.545455,222.818182,65.227273,86.090909,71.954545,14.818182,10,32.727273,6.090909,14.636364,15,24.409091,109.909091,36.5,9.5,10.227273,14.318182,0,0,11.318182,17.863636,7452.409091,,,,,,,,,,,,,,
EM,538.272727,1109.636364,769.045455,781.227273,1129.090909,954.409091,1416.181818,1909.681818,1739.363636,1270.090909,1269.818182,723.318182,1035.681818,888.909091,644.409091,542.454545,1092.181818,1631.636364,1082.136364,2178.727273,1698.045455,1052.681818,968.772727,1282.363636,2373.681818,195.727273,122.590909,488.681818,628.409091,1130.227273,1859.954545,1293.363636,1644.181818,1411.590909,907.227273,686.636364,2542.181818,474.181818,677.090909,686.5,670.727273,468.272727,1129.227273,1001.090909,164.772727,843.454545,0,0,165.409091,480.045455,49753.363636,,,,,,,,,,,,,,
MT,534.681818,1014.454545,670.136364,703.5,857.5,835,1209.636364,1575.5,1212.090909,1143.136364,1117.227273,605.045455,896.5,796.681818,610.045455,464.318182,858.045455,1228.363636,944.636364,1848.545455,1346.863636,775.136364,701.681818,1103,1790.545455,136.454545,178,169.363636,605.863636,1439.363636,2473.681818,1720.136364,2731.772727,2104.045455,1197.090909,602.681818,1943,410.590909,622.227273,882.909091,831.863636,467.409091,1634.727273,755.090909,107.409091,816.681818,0,0,128.5,399.318182,47200.454545,,,,,,,,,,,,,,
PL,390.318182,662.681818,331.045455,316.5,576.318182,377.454545,681.318182,818.181818,821.136364,615.863636,744.454545,484.318182,497.954545,443.409091,308.181818,208.5,300,369.681818,405.454545,511.772727,409.772727,211.272727,191.545455,424.954545,993.681818,711.5,305.909091,135.227273,328.409091,1169.454545,1567.136364,1064.863636,2023.227273,1245.363636,552.681818,235.090909,669.727273,204.954545,372.636364,420.681818,401.954545,1079.954545,676.5,273.181818,113.409091,257.272727,0,0,100.227273,245.181818,26250.318182,,,,,,,,,,,,,,
CC,351.772727,629.409091,394.045455,398,576.636364,485.545455,766,910.590909,760.772727,614.590909,763.227273,393.636364,471.545455,428.909091,295.409091,239.090909,322,339.909091,400.5,563.227273,404.636364,246.363636,196.727273,541.863636,933.772727,624.045455,615.409091,323.727273,88.954545,586.954545,959.636364,797.727273,1395.909091,876.181818,539.409091,238.090909,609.363636,207.909091,335.727273,431.5,376.818182,459.954545,627.363636,250.136364,61.863636,241.5,0,0,84.727273,234.045455,23395.136364,,,,,,,,,,,,,,
16,154.590909,223.863636,119.272727,145.818182,303.454545,220.954545,361.954545,442.818182,326.954545,244.181818,303.636364,159.227273,141.363636,146.636364,97.090909,77.136364,74.409091,89.045455,115,155.409091,90.863636,52.363636,59.045455,184.318182,377.727273,1160.636364,1508.818182,1398.136364,640.681818,37.227273,190.863636,329,634.636364,310.909091,156.318182,67.863636,185,51.363636,122.045455,138.227273,139.227273,202.454545,256.681818,71.454545,25.136364,62,0,0,32.090909,80.227273,12468.136364,,,,,,,,,,,,,,
24,161.681818,175.136364,63.5,100.272727,230.272727,121.318182,228.818182,310.909091,285.272727,144.863636,215.863636,136.136364,93.136364,84.409091,56.090909,46.590909,35.772727,31.363636,74.136364,73.954545,61.227273,36.090909,28.409091,100.954545,230.863636,1617.454545,2078.636364,1855.772727,1034.090909,209.954545,52.227273,267,604.636364,270.818182,134.272727,29.090909,74.363636,37.136364,102,92.818182,120.409091,176.590909,226.681818,35.318182,23.181818,28.681818,0,0,24.772727,59.909091,12282.863636,,,,,,,,,,,,,,
