Exit stations,Entry stations->,,WEEKDAY,,,Aug 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,,
LF,7.478261,9.173913,7.565217,8.173913,68.434783,10.086957,53.478261,164.304348,144.521739,9.782609,13.826087,49.652174,8.347826,3.130435,7.26087,3.434783,5.608696,6.565217,91.652174,57.956522,64.521739,13.26087,15.956522,70.521739,4.478261,899.304348,812.652174,244.478261,251,57.043478,37.391304,21.043478,14.043478,17.608696,4.869565,0.652174,1.652174,12.347826,26.521739,7.695652,9.565217,100.347826,13.695652,0.73913,28.434783,2.652174,0,0,11.869565,15.173913,3489.956522,,,,,,,,,,,,,,
OR,9.478261,12.521739,5.173913,8.043478,47.130435,7.521739,45.347826,112.73913,130.217391,7.869565,18.913043,41.434783,7.826087,3.347826,6.347826,2.347826,3.217391,9.913043,40.043478,31.956522,42.565217,22.73913,13.043478,60.434783,4.26087,818.391304,741.434783,239.173913,226.608696,67.521739,28.608696,30.73913,16.043478,17.086957,2.652174,1.826087,2.347826,8,11.956522,9.347826,8.26087,87.565217,12.130435,1,16,3.391304,0,0,6.478261,8.478261,3059.478261,,,,,,,,,,,,,,
RR,23.695652,34.217391,26.608696,16.434783,43.782609,12.565217,58.826087,179.695652,182.782609,30.73913,44.782609,66.043478,21.608696,9.565217,16,10.304348,14.391304,21.521739,84.26087,122.913043,149.913043,68.695652,58.26087,18.956522,18.869565,1130.782609,1151.478261,529.652174,601.347826,212.26087,108.26087,56.086957,37.608696,29.304348,5.391304,4.869565,10.565217,21.130435,32.869565,11.521739,15.130435,147.913043,24.782609,4.826087,22,9.26087,0,0,15.565217,31.869565,5549.913043,,,,,,,,,,,,,,
OW,21.434783,36.565217,11.565217,11.652174,67.565217,22.043478,46.304348,64.608696,101.043478,25.73913,96.695652,115.086957,38.695652,38.521739,32.217391,14.913043,14.043478,13.434783,15.652174,12.130435,16.695652,3.565217,3.565217,17.652174,25.782609,1835.173913,1513.391304,978.347826,837.565217,354.173913,218.913043,68.913043,74.043478,45.826087,13.086957,12.26087,33.782609,5.782609,13.521739,16.304348,27.130435,111.956522,33.782609,7.347826,10.73913,14.695652,0,0,8.217391,18.391304,7120.521739,,,,,,,,,,,,,,
EM,520.826087,1094.086957,727.043478,756.695652,1202.26087,928.391304,1334.043478,1804.173913,1637.913043,1213.521739,1160.478261,722.956522,998.956522,871.695652,593.869565,550.217391,1072.913043,1605.73913,1082.217391,2178.304348,1719.565217,1033.565217,958.173913,1256.26087,2283.217391,185.130435,126.652174,509.217391,628.130435,1129.347826,1819.217391,1392.347826,1833.73913,1471.521739,897.695652,686.130435,2587.521739,468.521739,668.217391,665.565217,649.434783,498.869565,1140.043478,987.130435,168,827.521739,0,0,134.130435,466.695652,49247.869565,,,,,,,,,,,,,,
MT,492.304348,993.26087,651.782609,631.26087,916.347826,807.608696,1153.434783,1484.086957,1160.782609,1103.826087,1019.26087,583.130435,865.73913,752.782609,577.347826,433.73913,829.782609,1194.826087,947.347826,1794.217391,1320.478261,742.347826,700.043478,1057.608696,1720.217391,140.913043,171.869565,183.130435,600.434783,1401.26087,2339.73913,1746.73913,2928.652174,2030.304348,1145.043478,559.913043,1875.608696,385.73913,620.086957,841.217391,771,490.652174,1553.086957,739.086957,112.695652,748.086957,0,0,102.565217,373.73913,45795.130435,,,,,,,,,,,,,,
PL,392.652174,640.173913,318.086957,325.043478,636.73913,364.869565,643.130435,784,773.434783,576.173913,729.130435,486.913043,467.391304,428.347826,277.826087,211.217391,279.826087,364.73913,394,470.913043,392.695652,182.913043,177.347826,394.043478,926.173913,739.304348,302.521739,122.26087,338.304348,1157.956522,1529.956522,1117.304348,2116.913043,1277.173913,540.347826,213.695652,627.695652,188.652174,372.608696,410,388.347826,1331.869565,636.695652,253,141.652174,229.043478,0,0,81.391304,227.608696,25982.086957,,,,,,,,,,,,,,
CC,330.565217,609.043478,364.173913,369.521739,588.956522,462.26087,752.26087,863.347826,726.434783,581.130435,754.913043,394.695652,462.695652,413.26087,286.130435,218.869565,297,321.565217,402.304348,544.521739,407.521739,217.521739,197.391304,515.521739,857.956522,637.086957,593.652174,312.043478,80,554.652174,916.347826,773,1445.478261,865.608696,505.652174,236.086957,616.043478,196.521739,343.695652,402.217391,372.521739,512.304348,623.521739,248.086957,69.130435,230.521739,0,0,77.434783,232.869565,22784.043478,,,,,,,,,,,,,,
16,158.391304,230.565217,115.26087,144.608696,292.826087,218.956522,345.391304,421.565217,292.434783,231.826087,294.173913,161.391304,134.478261,137.043478,93.130435,72.173913,69.608696,95.304348,113.826087,145.521739,100.521739,49.086957,57.043478,186.478261,361.695652,1152.652174,1463.217391,1376.826087,612.173913,34.26087,194.043478,322.304348,613.826087,298.086957,154.391304,66.130435,184.565217,53.26087,119.869565,124.391304,131.652174,211.217391,247.913043,72.608696,26.347826,60.565217,0,0,25.608696,77.826087,12147.043478,,,,,,,,,,,,,,
24,158.565217,177.043478,63.26087,87.695652,229,120.913043,206.043478,307.173913,277.956522,147.434783,202.217391,145.652174,89.565217,85.608696,57.304348,41.434783,32.391304,36.521739,77.086957,70.478261,65.217391,34.391304,28.130435,97.173913,226.130435,1605,1981,1842.521739,968.565217,207.043478,38.782609,261.565217,500.565217,233.695652,121.652174,27.73913,76.217391,34.304348,94.173913,98.26087,126.826087,184.217391,224.695652,39.478261,25.391304,28.73913,0,0,18.478261,59,11862.304348,,,,,,,,,,,,,,
